@relation 'Features-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,7'

@attribute Area numeric
@attribute Mean numeric
@attribute Mode numeric
@attribute Min numeric
@attribute Max numeric
@attribute Median numeric
@attribute Perimeter numeric
@attribute *Feret numeric
@attribute *Breadth numeric
@attribute *AspRatio numeric
@attribute *RFactor numeric
@attribute *ConvexArea numeric
@attribute *ConvexPerimeter numeric
@attribute *ArEquivD numeric
@attribute *PerEquivD numeric
@attribute *MinR numeric
@attribute *MaxR numeric
@attribute *avgR numeric
@attribute *VarianceR numeric
@attribute *EquivEllAr numeric
@attribute *ModRatio numeric
@attribute *HaralickRatio numeric
@attribute *ThinnessR numeric
@attribute *Roundness numeric
@attribute *Compactness numeric
@attribute *Solidity numeric
@attribute *Convexity numeric
@attribute *Concavity numeric
@attribute *ArBBox numeric
@attribute *Rectang numeric
@attribute *Sphericity numeric
@attribute *Elongation numeric
@attribute '*Bending Energy' numeric
@attribute *Jaggedness numeric
@attribute *Circularity numeric
@attribute *Endocarp numeric
@attribute 'Distance CM-FB' numeric
@attribute StD numeric
@attribute Skewness numeric
@attribute Kurtosis numeric
@attribute 'Intensity sum' numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute 'Smothness R' numeric
@attribute GLCM-Contrast numeric
@attribute GLCM-Correlation numeric
@attribute GLCM-Energy numeric
@attribute GLCM-Homogeneity numeric
@attribute 'Mean Red' numeric
@attribute 'Sqrt Mean Red' numeric
@attribute 'StD Red' numeric
@attribute 'Mean Green' numeric
@attribute 'Sqrt Mean Green' numeric
@attribute 'StD Green' numeric
@attribute 'Mean Blue' numeric
@attribute 'Sqrt Mean Blue' numeric
@attribute 'StD Blue' numeric
@attribute 'Mean RGB' numeric
@attribute 'Mean H' numeric
@attribute 'StD H' numeric
@attribute 'Mean S' numeric
@attribute 'StD S' numeric
@attribute 'Mean V' numeric
@attribute 'StD V' numeric
@attribute Label {Amaranthacea,Apiaceae,Asteraceae,Brassicaceae,Plantaginaceae,Solanaceae}

@data
23671,8026,0,85,250,0,1994.321,553.413,72.545,7.629,24.073,41853.5,1144.699,173.605,634.812,36.272,276.707,148.868,6646.612,31531.596,0.131,1.826,168.025,0.098,0.314,0.566,0.574,18182.5,40147.275,0.59,0.131,13.371,0.503,0.273,0.075,21676.679,16.754,15.207,8.356,68.294,2054773,0.972,0.178,0.004,40.356,0.992,0.53,0.977,254.195,15.943,7.041,3.084,1.756,25.927,3.139,1.772,26.379,86.806,1.828,15.611,251.876,26.301,254.586,3.649,Apiaceae
28554,9654,0,85,249,0,2262.713,629.327,73.693,8.54,28.903,57143,1304.45,190.673,720.244,36.847,314.663,155.121,7655.378,36424.48,0.117,1.773,179.305,0.092,0.303,0.5,0.576,28589,46377.089,0.616,0.117,14.269,0.453,0.265,0.07,26291.287,19.964,14.109,9.029,80.158,2471489,0.976,0.158,0.003,102.404,0.984,0.456,0.971,254.269,15.946,6.837,2.667,1.633,24.146,2.73,1.652,24.706,86.555,1.617,14.705,252.348,24.044,254.653,3.318,Apiaceae
28663,9634,0,85,248,0,2047.618,643.199,69.171,9.299,17.73,35826,1324.713,191.036,651.777,34.586,321.6,175.414,8254.541,34942.981,0.108,1.931,146.277,0.088,0.297,0.8,0.647,7163,44490.785,0.644,0.108,11.64,0.05,0.293,0.086,26615.382,20.711,11.664,11.094,121.963,2466453,0.984,0.11,0.002,51.652,0.974,0.782,0.982,254.537,15.954,5.38,1.788,1.337,19.82,1.825,1.351,20.222,86.05,1.048,11.991,253.201,19.976,254.769,2.717,Apiaceae
31668,10587,0,85,251,0,1597.388,505.035,96.872,5.213,142.16,225553.5,1076.383,200.801,508.464,48.436,252.517,134.661,5468.393,38424.687,0.192,1.821,80.575,0.158,0.398,0.14,0.674,193885.5,48923.832,0.647,0.192,6.412,0.379,0.395,0.156,30070.612,62.618,8.763,14.869,220.609,2710479,0.991,0.065,0.001,107.288,0.982,0.452,0.962,254.748,15.961,3.893,1.007,1.003,14.909,1.017,1.009,15.063,85.591,0.57,8.605,253.973,15.234,254.865,2.11,Apiaceae
32664,10933,0,85,248,0,1576.258,510.546,93.318,5.471,63.076,101169,1089.469,203.934,501.739,46.659,255.273,137.528,4961.22,37418.659,0.183,1.953,76.065,0.16,0.399,0.323,0.691,68505,47642.916,0.686,0.183,6.053,0.164,0.406,0.165,31087.742,112.459,9.442,13.72,187.51,2798943,0.989,0.075,0.001,92.257,0.984,0.476,0.97,254.69,15.959,4.373,1.179,1.086,16.129,1.198,1.094,16.383,85.689,0.692,9.599,253.815,16.225,254.844,2.259,Apiaceae
37273,12438,0,85,245,0,1409.415,448.698,124.268,3.611,33.583,47339.5,1009.858,217.847,448.631,62.134,224.349,140.098,3141.927,43792.772,0.277,2.499,53.295,0.236,0.486,0.787,0.717,10066.5,55758.689,0.668,0.277,4.241,0.305,0.486,0.236,35863.585,62.17,7.401,17.512,309.71,3184153,0.993,0.05,0.000842,63.401,0.968,0.783,0.981,254.798,15.962,3.928,0.742,0.861,12.76,0.744,0.862,12.774,85.428,0.378,6.944,254.282,12.355,254.905,1.821,Apiaceae
38312,12779,0,85,246,0,1904.824,654.083,84.971,7.698,21.355,43881.5,1366.512,220.863,606.324,42.485,327.042,170.891,8856.739,43650.829,0.13,1.816,94.705,0.114,0.338,0.873,0.717,5569.5,55577.961,0.689,0.13,7.536,9.526,0.364,0.133,36407.176,107.884,7.118,18.06,325.796,3271644,0.994,0.044,0.000779,54.933,0.971,0.787,0.981,254.822,15.963,3.297,0.676,0.822,12.162,0.687,0.829,12.367,85.395,0.397,7.237,254.308,12.471,254.904,1.785,Apiaceae
39348,13173,0,85,243,0,1645.797,521.464,108.566,4.803,27.569,45163.5,1105.102,223.829,523.874,54.283,260.732,139.469,4881.667,44463.939,0.208,1.996,68.838,0.184,0.429,0.871,0.671,5815.5,56613.245,0.695,0.208,5.478,0.005,0.427,0.183,37702.203,70.49,9.545,13.506,181.573,3372403,0.989,0.077,0.001,54.429,0.975,0.777,0.983,254.671,15.958,4.545,1.212,1.101,16.326,1.238,1.113,16.686,85.707,0.728,9.836,253.789,16.341,254.841,2.262,Apiaceae
39459,13158,0,85,242,0,1691.964,565.227,100.155,5.644,24.736,43923.5,1197.746,224.145,538.569,50.078,282.613,153.052,5454.087,44461.672,0.177,2.072,72.55,0.157,0.397,0.898,0.708,4464.5,56610.359,0.697,0.177,5.773,0.732,0.416,0.173,37767.036,95.429,6.861,18.752,351.585,3368486,0.994,0.042,0.000723,45.517,0.977,0.782,0.982,254.827,15.963,3.312,0.631,0.794,11.776,0.643,0.802,12.012,85.367,0.379,7.116,254.368,11.818,254.914,1.671,Apiaceae
40737,13617,0,85,247,0,1781.888,571.463,103.644,5.514,25.852,46412,1212.84,227.745,567.192,51.822,285.732,155.236,5998.212,46517.944,0.181,2.004,77.942,0.159,0.399,0.878,0.681,5675,59228.486,0.688,0.181,6.202,5.865,0.402,0.161,38955.112,90.694,8.65,15.076,226.651,3486051,0.991,0.063,0.001,47.509,0.976,0.783,0.982,254.743,15.961,3.993,0.98,0.99,14.727,1,1,15.021,85.574,0.576,8.771,254.022,14.717,254.877,1.962,Apiaceae
69542,23189,0,85,251,0,1630.455,489.412,221.076,2.214,60.773,93441,1154.254,297.563,518.99,110.538,244.706,154.498,2333.163,84977.819,0.452,3.199,38.227,0.37,0.608,0.744,0.708,23899,108197.12,0.643,0.452,3.042,6.461,0.573,0.329,67911.545,13.413,6.784,18.906,362.733,5936433,0.994,0.042,0.000707,111.332,0.981,0.454,0.96,254.819,15.963,3.775,0.625,0.791,11.545,0.65,0.806,11.992,85.365,0.329,6.782,254.377,11.529,254.916,1.676,Apiaceae
69705,23270,0,85,245,0,1867.787,454.736,223,2.039,53.78,76830,1105.939,297.911,594.535,111.5,227.368,159.411,1541.996,79644.219,0.49,4.06,50.048,0.429,0.655,0.907,0.592,7125,101406.17,0.687,0.49,3.983,0.236,0.501,0.251,67837.213,42.021,7.879,17.082,291.705,5957172,0.993,0.051,0.000954,50.877,0.981,0.733,0.98,254.829,15.963,3.171,0.783,0.885,13.312,0.776,0.881,13.181,85.463,0.379,6.826,254.221,13.257,254.912,1.612,Apiaceae
72285,24092,0,85,242,0,1746.626,453.436,229.99,1.972,56.498,80482.5,1113.666,303.375,555.968,114.995,226.718,165.437,1618.318,81905.955,0.507,4.112,42.204,0.448,0.669,0.898,0.638,8197.5,104285.901,0.693,0.507,3.358,0.111,0.546,0.298,70538.374,10.264,6.449,20.031,402.424,6167622,0.995,0.039,0.000639,49.328,0.98,0.739,0.98,254.846,15.964,3.267,0.562,0.75,11.165,0.563,0.75,11.186,85.324,0.297,6.094,254.45,10.962,254.926,1.539,Apiaceae
75085,24957,0,85,228,0,1581.641,468.113,233.144,2.008,57.966,85246,1161.974,309.194,503.452,116.572,234.057,164.743,1703.337,85716.686,0.498,3.992,33.317,0.436,0.661,0.881,0.735,10161,109137.874,0.688,0.498,2.651,0.04,0.614,0.377,73503.359,46.612,3.319,36.273,1321.709,6389133,0.998,0.013,0.000169,57.127,0.963,0.808,0.979,254.937,15.967,2.309,0.166,0.407,5.975,0.173,0.416,6.224,85.092,0.103,3.709,254.847,5.532,254.976,0.892,Apiaceae
75882,25200,0,85,228,0,1268.479,449.16,237.361,1.892,56.802,80152,1099.574,310.831,403.77,118.68,224.58,165.98,1270.504,83733.656,0.528,4.657,21.205,0.479,0.692,0.947,0.867,4270,106613.002,0.712,0.528,1.687,0.699,0.77,0.593,74613.521,31.705,1.497,87.52,7682.243,6451272,1,0.002,0.000034,55.179,0.962,0.816,0.98,254.994,15.969,0.583,0.029,0.171,2.543,0.029,0.169,2.489,85.017,0.012,1.137,254.969,2.661,254.996,0.354,Apiaceae
76762,25727,0,85,254,0,2040.182,521.429,245.348,2.125,62.074,101684.5,1205.254,312.628,649.41,122.674,260.714,170.76,2271.851,100477.321,0.471,3.583,54.224,0.359,0.6,0.755,0.591,24922.5,127931.698,0.6,0.471,4.315,0.149,0.481,0.232,74721.818,12.236,10.505,13.173,173.202,6586237,0.988,0.085,0.002,122.262,0.979,0.456,0.963,254.782,15.962,3.353,1.313,1.146,17.169,1.307,1.143,17.078,85.801,0.609,9.086,253.639,17.789,254.861,2.074,Apiaceae
78538,26113,0,85,232,0,1980.778,442.254,264.309,1.673,63.435,88136,1128.805,316.224,630.501,132.155,221.127,163.488,778.665,91806.777,0.598,5.859,49.956,0.511,0.715,0.891,0.57,9598,116892.019,0.672,0.598,3.975,0.093,0.502,0.252,76557.222,32.965,3.773,32.098,1037.49,6685034,0.998,0.016,0.000219,51.881,0.981,0.724,0.98,254.93,15.967,2.368,0.211,0.459,6.694,0.215,0.464,6.819,85.119,0.118,3.935,254.787,6.8,254.963,1.179,Apiaceae
79301,26331,0,85,216,0,1316.036,448.59,248.848,1.803,59.528,83892.5,1116.258,317.756,418.907,124.424,224.295,166.037,1303.166,87674.673,0.555,4.599,21.84,0.502,0.708,0.945,0.848,4591.5,111630.861,0.71,0.555,1.738,0.206,0.759,0.575,77984.964,33.536,0.761,163.1,26656.956,6740956,1,0.00067,0.000009,51.534,0.965,0.822,0.981,254.997,15.969,0.432,0.008,0.091,1.344,0.008,0.092,1.372,85.005,0.005,0.814,254.992,1.307,254.999,0.201,Apiaceae
85045,28266,0,85,223,0,1614.143,470.933,249.629,1.887,88.627,131122,1171.579,329.063,513.798,124.815,235.467,173.546,1408.095,92330.281,0.53,4.625,30.636,0.488,0.699,0.649,0.726,46077,117558.565,0.723,0.53,2.438,0.053,0.64,0.41,83430.857,62.242,3.298,37.463,1405.384,7236327,0.999,0.012,0.000167,120.038,0.98,0.447,0.961,254.955,15.967,1.72,0.152,0.39,5.694,0.157,0.397,5.88,85.088,0.099,3.722,254.84,5.98,254.975,0.952,Apiaceae
94829,31506,0,85,217,0,1722.937,470.865,283.115,1.663,69.223,102399.5,1198.378,347.477,548.428,141.557,235.433,180.726,1072.957,104700.567,0.601,5.517,31.304,0.545,0.738,0.926,0.696,7570.5,133308.902,0.711,0.601,2.491,0.338,0.634,0.401,93106.063,26.95,2.566,46.082,2127.872,8065758,0.999,0.008,0.000101,113.037,0.981,0.452,0.961,254.964,15.968,1.679,0.1,0.316,4.579,0.104,0.322,4.765,85.056,0.065,2.99,254.901,4.568,254.983,0.796,Apiaceae
94870,33272,0,85,248,0,4173.48,478.127,398.761,1.199,98.526,147993.5,1377.455,347.552,1328.46,199.38,239.063,176.82,972.403,149742.607,0.834,5.67,183.598,0.528,0.727,0.641,0.33,53123.5,190658.208,0.498,0.834,14.61,48.081,0.262,0.068,90696.52,49.769,23.895,4.848,21.795,8517832,0.924,0.449,0.009,100.376,0.981,0.509,0.967,252.302,15.884,14.373,8.415,2.901,41.867,8.636,2.939,42.941,89.784,4.768,24.566,246.83,40.882,253.797,6.214,Apiaceae
98376,32681,0,85,240,0,1404.285,448.361,288.951,1.552,74.471,104897.5,1182.191,353.916,446.998,144.476,224.181,182.39,825.062,101751.991,0.644,6.35,20.046,0.623,0.789,0.938,0.842,6521.5,129554.658,0.759,0.644,1.595,0.022,0.792,0.627,96971.715,19.344,2.424,54.688,3023.508,8366369,0.999,0.006,0.00009,50.794,0.982,0.716,0.979,254.982,15.968,1.11,0.077,0.277,4.128,0.075,0.275,4.062,85.045,0.038,2.307,254.925,4.055,254.991,0.573,Apiaceae
99832,33170,0,85,248,0,1390.545,449.445,289,1.555,77.777,109819.5,1178.187,356.525,442.624,144.5,224.723,186.141,458.818,102015.106,0.643,8.69,19.369,0.629,0.793,0.909,0.847,9987.5,129889.667,0.769,0.643,1.541,0.012,0.805,0.649,98441.455,44.074,2.935,49.332,2449.094,8491704,0.999,0.007,0.000132,79.248,0.979,0.61,0.969,254.99,15.968,0.771,0.098,0.312,4.765,0.092,0.304,4.494,85.06,0.024,1.514,254.906,4.573,254.994,0.423,Apiaceae
99872,33211,0,85,245,0,1397.918,448.322,290.662,1.542,79.578,112082,1176.155,356.596,444.971,145.331,224.161,184.901,468.298,102345.315,0.648,8.544,19.567,0.633,0.795,0.891,0.841,12210,130310.103,0.766,0.648,1.557,0.637,0.801,0.642,98474.082,17.69,4.315,33.076,1099.008,8502227,0.998,0.015,0.000286,79.829,0.979,0.61,0.969,254.977,15.968,1.121,0.213,0.462,6.985,0.204,0.452,6.686,85.131,0.049,2.258,254.79,6.889,254.985,0.645,Apiaceae
100462,36725,0,85,255,0,3340.526,467.462,335.063,1.395,86.868,127572,1329.738,357.648,1063.323,167.531,233.731,178.844,899.309,123016.29,0.717,5.964,111.078,0.585,0.765,0.787,0.398,27110,156629.205,0.641,0.717,8.839,1.993,0.336,0.113,97121.474,107.266,33.13,3.653,11.559,9401846,0.877,0.719,0.017,112.625,0.981,0.467,0.965,251.725,15.866,14.814,14.415,3.797,55.346,14.619,3.823,56.111,93.586,7.488,30.35,240.835,54.853,253.547,6.288,Apiaceae
100789,33465,0,85,85,0,1305.45,450.09,301.959,1.491,82.236,116281.5,1181.312,358.23,415.538,150.98,225.045,184.746,571.017,106742.602,0.671,7.731,16.909,0.633,0.796,0.867,0.905,15492.5,135908.902,0.742,0.671,1.346,0.28,0.862,0.743,99483.55,39.79,0,?,?,8567065,1,-0,0,75.499,0.985,0.531,0.969,255,15.969,0,0,0,0,0,0,0,85,0,0,255,0,255,0,Apiaceae
100891,33692,0,85,248,0,2186.608,441.257,320,1.379,101.219,140315.5,1217.716,358.411,696.019,160,220.629,182.233,510.226,110900.054,0.725,8.068,47.39,0.66,0.812,0.719,0.557,39424.5,141202.334,0.715,0.725,3.771,0.049,0.515,0.265,98704.392,8.119,8.52,17.416,302.77,8625195,0.993,0.049,0.001,116.731,0.98,0.459,0.964,254.948,15.967,1.615,0.788,0.887,13.658,0.735,0.857,12.734,85.49,0.161,3.53,254.251,12.993,254.967,0.923,Apiaceae
101205,33631,0,85,233,0,1983.513,522.961,288.119,1.815,67.033,110130,1277.116,358.968,631.372,144.059,261.48,186.446,1580.391,118339.748,0.551,4.69,38.875,0.471,0.686,0.919,0.644,8925,150674.847,0.672,0.551,3.094,0.469,0.569,0.323,99221.487,49.359,2.972,41.738,1750.395,8609670,0.999,0.01,0.000136,119.921,0.98,0.45,0.961,254.961,15.967,1.682,0.126,0.354,5.203,0.129,0.359,5.326,85.072,0.074,3.133,254.875,5.209,254.981,0.823,Apiaceae
102768,34293,0,85,251,0,1403.859,449.579,297,1.514,75.028,105968.5,1193.69,361.73,446.862,148.5,224.789,188.145,619.828,104870.189,0.661,7.557,19.177,0.647,0.805,0.97,0.85,3200.5,133524.871,0.77,0.661,1.526,0.048,0.809,0.655,101364.141,32.583,8.053,18.914,356.515,8779018,0.994,0.041,0.000996,49.664,0.982,0.715,0.979,254.984,15.968,0.758,0.672,0.82,12.714,0.621,0.788,11.731,85.426,0.093,2.164,254.371,11.891,254.988,0.478,Apiaceae
104203,34603,0,85,229,0,1343.09,449.722,300,1.499,77.441,109411.5,1194.411,364.246,427.519,150,224.861,186.267,542.703,105963.282,0.667,7.996,17.311,0.656,0.81,0.952,0.889,5208.5,134916.641,0.772,0.667,1.378,0.149,0.852,0.726,102859.91,7.402,1.275,102.655,10577.531,8858554,1,0.002,0.000025,77.359,0.98,0.604,0.969,254.995,15.969,0.54,0.021,0.146,2.167,0.021,0.146,2.176,85.012,0.013,1.415,254.978,2.216,254.997,0.295,Apiaceae
104268,34620,0,85,207,0,1286.153,453.584,296,1.532,74.564,106251.5,1195.719,364.36,409.395,148,226.792,191.024,533.599,105448.122,0.653,8.27,15.865,0.645,0.803,0.981,0.93,1983.5,134260.719,0.777,0.653,1.262,0.09,0.89,0.792,102981.847,22.065,0.378,322.901,104263,8862902,1,0.000174,0.000002,78.321,0.979,0.608,0.969,254.999,15.969,0.201,0.002,0.045,0.663,0.002,0.046,0.669,85.001,0.001,0.403,254.998,0.697,255,0.121,Apiaceae
105905,35166,0,85,212,0,1487.107,514.864,300.439,1.714,69.215,111954.5,1281.53,367.209,473.361,150.22,257.432,193.185,1541.47,121489.672,0.584,4.92,20.882,0.509,0.713,0.946,0.862,6049.5,154685.455,0.685,0.584,1.662,0.279,0.776,0.602,104417.893,60.458,0.888,133.327,17817.714,9002632,1,0.001,0.000012,111.028,0.981,0.45,0.961,254.996,15.969,0.555,0.012,0.109,1.59,0.012,0.11,1.621,85.007,0.007,0.99,254.988,1.63,254.998,0.294,Apiaceae
109791,36523,0,85,250,0,1568.889,454.216,322.946,1.406,180.801,257995.5,1237.583,373.885,499.393,161.473,227.108,191.168,499.982,115208.002,0.711,8.549,22.419,0.678,0.823,0.426,0.789,148204.5,146687.385,0.748,0.711,1.784,0.233,0.749,0.561,108222.111,31.574,4.772,29.821,896.045,9349967,0.998,0.019,0.00035,117.875,0.98,0.459,0.963,254.961,15.967,1.486,0.267,0.517,7.869,0.256,0.506,7.53,85.161,0.086,2.964,254.736,7.763,254.977,0.822,Apiaceae
112577,37539,0,85,253,0,1521.859,443.041,330,1.343,84.814,118048,1240.382,378.599,484.423,165,221.52,193.752,340.812,114827.888,0.745,10.495,20.573,0.73,0.855,0.954,0.815,5471,146203.408,0.77,0.745,1.637,0.076,0.782,0.611,111055.141,11.905,7.212,19.896,396.371,9610020,0.995,0.039,0.000799,118.07,0.98,0.453,0.959,254.941,15.967,1.572,0.577,0.759,11.397,0.575,0.758,11.358,85.364,0.268,7.206,254.399,11.879,254.954,1.101,Apiaceae
113456,37750,0,85,227,0,1978.535,584.477,294.277,1.986,89.067,163544,1442.197,380.075,629.787,147.138,292.238,194.862,3893.864,135086.942,0.503,3.123,34.503,0.423,0.65,0.694,0.729,50088,171998.036,0.66,0.503,2.746,3.363,0.603,0.364,111477.465,39.202,4.62,25.794,666.28,9664142,0.997,0.024,0.000328,62.585,0.981,0.643,0.972,254.88,15.965,3.124,0.323,0.568,8.283,0.336,0.58,8.627,85.18,0.205,5.266,254.692,7.919,254.95,1.322,Apiaceae
