 ,Area,Mean,Mode,Min,Max,Median,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
24,44471,14791,0,85,240,0,Asteraceae,1239.675,358.660,186.214,1.926,49.275,55521.000,916.470,237.954,394.601,93.107,179.330,126.379,1584.967,52454.665,0.519,3.174,34.557,0.440,0.663,0.801,0.739,11050.000,66787.354,0.666,0.519,2.750,0.009,0.603,0.364,43231.325,115.104,4.146,28.618,833.093,3786587,0.997,0.020,2.643E-4,118.332,0.978,0.447,0.938,254.923,15.966,2.245,0.261,0.511,7.306,0.258,0.508,7.230,85.147,0.129,3.936,254.692,8.605,254.936,1.856
25,30076,10013,0,85,233,0,Asteraceae,1000.337,314.892,136.517,2.307,50.432,49890.000,763.375,195.688,318.417,68.258,157.446,102.447,1192.558,33762.768,0.434,2.967,33.272,0.386,0.621,0.603,0.763,19814.000,42988.092,0.700,0.434,2.648,18.660,0.615,0.378,29075.663,60.198,5.419,23.159,541.060,2563576,0.996,0.030,4.514E-4,110.924,0.979,0.454,0.941,254.928,15.966,2.006,0.403,0.635,9.202,0.378,0.615,8.610,85.237,0.121,3.906,254.562,10.022,254.933,1.851
26,49520,16463,0,85,251,0,Asteraceae,1004.958,297.015,235.020,1.264,80.343,74968.500,817.326,251.099,319.888,117.510,148.508,125.437,122.080,54824.290,0.791,11.353,20.395,0.715,0.845,0.661,0.813,25448.500,69804.454,0.709,0.791,1.623,0.014,0.785,0.616,48515.042,9.986,3.881,35.062,1245.590,4214759,0.998,0.014,2.316E-4,114.606,0.978,0.453,0.939,254.974,15.968,1.068,0.186,0.431,6.396,0.177,0.421,6.089,85.112,0.041,1.847,254.803,6.764,254.977,0.949
27,31779,10564,0,85,213,0,Asteraceae,1072.781,290.988,175.483,1.658,46.421,42436.500,726.912,201.152,341.477,87.742,145.494,103.065,305.064,40105.215,0.603,5.901,36.214,0.478,0.691,0.749,0.678,10657.500,51063.546,0.622,0.603,2.882,0.072,0.589,0.347,30706.219,30.291,3.425,32.892,1087.926,2704547,0.998,0.015,1.804E-4,107.703,0.979,0.456,0.942,254.936,15.967,2.118,0.190,0.436,6.183,0.188,0.434,6.136,85.105,0.102,3.540,254.780,7.156,254.952,1.604
28,29794,9920,0,85,231,0,Asteraceae,967.710,274.935,150.343,1.829,37.785,32636.500,700.014,194.769,308.032,75.172,137.467,95.690,584.004,32464.077,0.547,3.960,31.431,0.502,0.708,0.913,0.723,2842.500,41334.546,0.721,0.547,2.501,1.543,0.632,0.400,28826.290,75.256,5.293,22.218,497.335,2539652,0.996,0.032,4.306E-4,111.460,0.979,0.447,0.939,254.884,15.965,2.695,0.420,0.648,9.203,0.417,0.646,9.146,85.240,0.235,6.032,254.507,10.806,254.902,2.254
29,24117,8066,0,85,225,0,Asteraceae,1065.367,295.657,115.804,2.553,31.240,29017.000,681.584,175.233,339.117,57.902,147.828,97.833,761.297,26890.617,0.392,3.546,47.062,0.351,0.593,0.831,0.640,4900.000,34238.197,0.704,0.392,3.745,0.889,0.517,0.267,23051.633,17.661,8.753,14.012,194.903,2064976,0.990,0.068,0.001,102.684,0.980,0.463,0.945,254.845,15.964,2.258,1.052,1.025,14.756,0.975,0.988,13.686,85.624,0.103,1.615,253.889,15.580,254.845,2.242
30,31627,10523,0,85,224,0,Asteraceae,895.217,261.964,172.439,1.519,50.943,41925.000,683.631,200.671,284.957,86.220,130.982,99.631,212.196,35478.667,0.658,6.840,25.340,0.587,0.766,0.754,0.764,10298.000,45172.841,0.700,0.658,2.016,1.296,0.704,0.496,30731.783,16.619,4.606,26.105,683.270,2693898,0.997,0.023,3.261E-4,109.901,0.979,0.466,0.942,254.947,15.967,1.599,0.300,0.548,7.790,0.284,0.533,7.373,85.177,0.046,2.081,254.670,8.575,254.949,1.506
31,69972,23912,0,85,246,0,Asteraceae,2051.128,468.961,210.584,2.227,60.095,88536.500,1106.681,298.481,652.894,105.292,234.480,153.959,1588.578,77562.635,0.449,3.863,60.126,0.405,0.636,0.790,0.540,18564.500,98755.814,0.709,0.449,4.785,0.310,0.457,0.209,67920.872,23.579,17.793,7.049,47.908,6121477,0.962,0.228,0.005,205.454,0.967,0.316,0.888,254.613,15.957,3.002,4.095,2.024,29.302,3.745,1.935,26.792,87.484,0.366,2.675,250.923,29.157,254.613,3.002
32,73342,24382,0,85,232,0,Asteraceae,1491.374,454.041,200.000,2.270,65.317,93169.500,1113.475,305.585,474.719,100.000,227.020,168.428,1804.431,71320.554,0.440,3.965,30.326,0.453,0.673,0.787,0.747,19827.500,90808.149,0.808,0.440,2.413,0.007,0.644,0.414,71850.626,53.794,3.518,32.937,1091.535,6241957,0.998,0.015,1.903E-4,139.503,0.976,0.383,0.922,254.946,15.967,1.791,0.189,0.435,6.176,0.187,0.432,6.094,85.107,0.085,3.437,254.772,7.431,254.952,1.586
33,54963,18315,0,85,245,0,Asteraceae,1325.516,425.319,180.951,2.350,59.009,78846.000,977.771,264.539,421.925,90.475,212.659,135.884,1506.477,60445.543,0.425,3.501,31.967,0.387,0.622,0.697,0.738,23883.000,76961.656,0.714,0.425,2.544,0.036,0.627,0.393,53637.484,28.437,6.177,20.287,412.114,4688651,0.995,0.036,5.865E-4,208.422,0.967,0.344,0.882,254.924,15.966,1.741,0.514,0.717,10.375,0.479,0.692,9.668,85.306,0.083,2.498,254.461,10.884,254.928,1.591
34,50207,16676,0,85,233,0,Asteraceae,1101.266,351.232,191.260,1.836,58.293,64322.000,912.529,252.835,350.544,95.630,175.616,130.521,1080.973,52760.387,0.545,3.970,24.156,0.518,0.720,0.781,0.829,14115.000,67176.612,0.747,0.545,1.922,0.463,0.721,0.520,49105.734,106.906,1.967,66.106,4426.902,4269110,1.000,0.004,5.947E-5,208.771,0.967,0.351,0.881,254.993,15.968,0.628,0.051,0.226,3.320,0.047,0.217,3.037,85.030,0.010,0.758,254.946,3.485,254.993,0.601
35,40610,13603,0,85,246,0,Asteraceae,1007.810,372.839,152.540,2.444,45.898,53760.500,857.045,227.390,320.796,76.270,186.420,119.149,1415.512,44667.927,0.409,3.167,25.011,0.372,0.610,0.755,0.850,13150.500,56872.971,0.714,0.409,1.990,0.096,0.709,0.502,39602.190,53.620,9.974,13.236,173.733,3482373,0.989,0.077,0.002,223.922,0.965,0.344,0.878,254.919,15.966,1.358,1.244,1.115,16.490,1.093,1.045,14.488,85.752,0.139,2.199,253.837,15.433,254.919,1.355
36,55347,18385,0,85,252,0,Asteraceae,968.531,323.110,238.736,1.353,62.839,63786.500,873.180,265.462,308.293,119.368,161.555,133.542,152.452,60583.981,0.739,10.816,16.949,0.675,0.822,0.868,0.902,8439.500,77137.921,0.718,0.739,1.349,0.010,0.861,0.741,54378.469,26.628,2.302,60.140,3665.747,4706645,0.999,0.005,8.152E-5,218.667,0.966,0.336,0.880,254.992,15.968,0.619,0.064,0.254,3.789,0.060,0.245,3.553,85.039,0.018,1.244,254.934,3.893,254.993,0.535
37,39855,13268,0,85,226,0,Asteraceae,1195.065,289.807,204.098,1.420,68.275,62161.500,782.541,225.266,380.401,102.049,144.903,113.573,198.901,46455.608,0.704,8.053,35.834,0.604,0.777,0.641,0.655,22306.500,59149.117,0.674,0.704,2.852,0.019,0.592,0.351,38659.935,35.764,4.894,21.794,478.076,3396699,0.996,0.033,3.682E-4,223.780,0.965,0.325,0.879,254.830,15.963,3.724,0.421,0.649,9.074,0.427,0.654,9.199,85.226,0.279,6.131,254.512,10.518,254.879,2.639
38,32193,10774,0,85,220,0,Asteraceae,1250.320,303.595,169.782,1.788,88.084,84012.000,738.611,202.458,397.989,84.891,151.798,104.748,446.231,40483.294,0.559,4.959,48.560,0.445,0.667,0.383,0.591,51819.000,51544.931,0.625,0.559,3.864,0.215,0.509,0.259,30942.680,8.595,8.512,12.566,157.251,2758252,0.987,0.088,0.001,228.196,0.964,0.334,0.876,254.505,15.953,6.315,1.265,1.125,15.817,1.266,1.125,15.835,85.679,0.749,9.683,253.574,17.861,254.659,4.328
