@relation FeaturesBW

@attribute Area numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}
@attribute Perimeter numeric
@attribute *Feret numeric
@attribute *Breadth numeric
@attribute *AspRatio numeric
@attribute *RFactor numeric
@attribute *ConvexArea numeric
@attribute *ConvexPerimeter numeric
@attribute *ArEquivD numeric
@attribute *PerEquivD numeric
@attribute *MinR numeric
@attribute *MaxR numeric
@attribute *avgR numeric
@attribute *VarianceR numeric
@attribute *EquivEllAr numeric
@attribute *ModRatio numeric
@attribute *HaralickRatio numeric
@attribute *ThinnessR numeric
@attribute *Roundness numeric
@attribute *Compactness numeric
@attribute *Solidity numeric
@attribute *Convexity numeric
@attribute *Concavity numeric
@attribute *ArBBox numeric
@attribute *Rectang numeric
@attribute *Sphericity numeric
@attribute *Elongation numeric
@attribute '*Bending Energy' numeric
@attribute *Jaggedness numeric
@attribute *Circularity numeric
@attribute *Endocarp numeric
@attribute 'Distance CM-FB' numeric

@data
1366,'Amorpha fruticosa',200.51,84095,26261,3202,12037,3180,186.069,41.704,63824,13.13,42048,26225,96.747,1734465,312,2.666,29432,0.246,496,0.43,0.928,1814,2208.39,619,312,2342,3952,653,0.427,1165.49,5119
1936,'Amorpha fruticosa',237.48,98.127,32551,3015,8815,2717.5,222037,49.649,75592,16275,49.064,30.106,148968,2508677,332,2467,29131,256,506,0.712,935,781.5,3194147,606,332,2318,12.361,657,431,1698.52,8.847
2807,'Amorpha fruticosa',286.09,114.403,38.46,2975,11298,4060.5,255.339,59783,91065,19.23,57201,35615,162.47,3455.731,336,2.794,29158,273,523,691,893,1253.5,4399974,638,336,2.32,319,0.656,431,2520.91,38884
2519,'Amorpha fruticosa',255563,107331,37878,2.834,9965,3360,241449,56633,81348,18939,53.666,30788,153885,3193008,353,2.482,25928,278,528,0.75,945,841,4065.464,0.62,353,2063,441,696,485,2263437,9683
2244,'Amorpha fruticosa',246.191,103.407,33853,3055,10.594,3441.5,230.319,53452,78365,16927,51703,30483,133694,2749433,327,2636,27.01,267,517,652,0.936,1197.5,3500687,0.641,327,2149,85,682,465,1997809,8416
2273,'Amorpha fruticosa',248392,103005,35759,2.881,11037,3571.5,229.966,53797,79066,17.88,51.502,30.113,132907,2892913,0.347,2612,27.144,273,522,636,0.926,1298.5,3683.371,617,0.347,2.16,3033,0.68,0.463,2024608,3395
2039,'Amorpha fruticosa',254877,105119,32404,3.244,10738,3546,230.009,50952,81.13,16202,52559,32059,128435,2675288,308,2.829,31.86,235,485,575,902,1507,3406283,599,308,2535,3082,628,0.394,1784.123,8.19
2070,'Amorpha fruticosa',238593,99045,34435,2.876,9032,2810.5,218542,51338,75946,17218,49523,31064,117072,2678737,348,2.871,27.501,0.269,518,737,0.916,740.5,3410.674,607,348,2188,19,0.676,457,1831.407,5.967
1506,'Amorpha fruticosa',215.823,85376,28.458,3,8523,2286,193097,43.789,68699,14.229,42688,26549,102943,1908223,0.333,2617,30.929,263,513,659,895,780,2429625,0.62,0.333,2461,514,637,406,1290177,9061
2162,'Amorpha fruticosa',256149,103.73,34022,3049,9.608,3131,231.694,52467,81535,17011,51865,29029,130173,2771.731,0.328,2544,30.348,256,506,691,905,969,3529078,613,0.328,2415,2.04,643,414,1905851,5.201
