@relation FeaturesColour

@attribute MeanIntensityR numeric
@attribute StdDevR numeric
@attribute MeanSqrtR numeric
@attribute MeanIntensityG numeric
@attribute StdDevG numeric
@attribute MeanSqrtG numeric
@attribute MeanIntensityB numeric
@attribute StdDevB numeric
@attribute MeanSqrtB numeric
@attribute MeanIntensityH numeric
@attribute StdDevH numeric
@attribute MeanSqrtH numeric
@attribute MeanIntensityS numeric
@attribute StdDevS numeric
@attribute MeanSqrtS numeric
@attribute MeanIntensityV numeric
@attribute StdDevV numeric
@attribute MeanSqrtV numeric
@attribute label {'Amorpha fruticosa_All.jpg','Anagyris foetida_All.jpg','Anthyllis barba-jovis_All.jpg','Anthyllis cytisoides_All.jpg','Astragalus glycyphyllos_All.jpg','Calicotome villosa_All.jpg','Caragana arborescens_All.jpg','Ceratonia siliqua_All.jpg','Colutea arborescens_All.jpg','Cytisus purgans_All.jpg','Cytisus scoparius_All.jpg','Dorycnium pentaphyllum_All.jpg','Dorycnium rectum_All.jpg','Hedysarum coronarium_All.jpg','Lathyrus aphaca_All.jpg','Lathyrus ochrus_All.jpg','Medicago sativa_All.jpg','Melilotus officinalis_All.jpg','Pisum sativum subsp. elatius_All.jpg','Senna alexandrina_All.jpg','Spartium junceum_All.jpg','Trifolium angustifolium_All.jpg','Vicia faba_All.jpg'}

@data
112.535264,54.190799,10.608264,85.259094,46.541651,9.233585,55.793615,37.795676,7.469512,0.147343,0.174297,0.383852,0.587807,0.237898,0.766685,0.452159,0.202233,0.672428,'Amorpha fruticosa_All.jpg'
100.553559,45.505299,10.02764,72.713531,42.116436,8.527223,48.545102,38.008819,6.967432,0.127334,0.148672,0.356839,0.613351,0.255031,0.783167,0.405052,0.169722,0.636437,'Amorpha fruticosa_All.jpg'
113.86165,42.321067,10.670597,83.230583,38.651503,9.12308,53.545307,37.132993,7.317466,0.114128,0.109188,0.337829,0.588544,0.248477,0.767166,0.454862,0.159008,0.674435,'Amorpha fruticosa_All.jpg'
88.993467,45.478411,9.433635,60.172724,39.920509,7.757108,39.040016,34.382342,6.248201,0.148299,0.205672,0.385096,0.653084,0.255687,0.808136,0.359322,0.171268,0.599435,'Amorpha fruticosa_All.jpg'
119.187781,44.582294,10.917316,91.663971,41.95015,9.57413,57.650045,38.20002,7.592763,0.118857,0.091839,0.344757,0.573751,0.242257,0.757463,0.474869,0.169448,0.689108,'Amorpha fruticosa_All.jpg'
106.115693,45.100071,10.301247,80.336197,43.224487,8.963046,54.908362,38.043086,7.410018,0.128377,0.138527,0.358297,0.559875,0.256393,0.748248,0.426151,0.170836,0.652802,'Amorpha fruticosa_All.jpg'
98.814888,47.658869,9.940568,72.438076,43.781094,8.511056,48.72332,38.559372,6.980209,0.131728,0.152368,0.362943,0.599127,0.265678,0.774033,0.398243,0.180229,0.631065,'Amorpha fruticosa_All.jpg'
103.41139,48.511638,10.169139,81.694305,43.605172,9.03849,50.440547,38.249761,7.102151,0.141426,0.135997,0.376066,0.602624,0.250251,0.776289,0.415683,0.18254,0.644735,'Amorpha fruticosa_All.jpg'
88.262515,42.606302,9.394813,60.74458,37.871308,7.793881,40.813559,33.887309,6.388549,0.146591,0.199273,0.382872,0.638401,0.25184,0.799,0.358308,0.159604,0.598588,'Amorpha fruticosa_All.jpg'
113.782067,51.923484,10.666868,93.557601,43.819645,9.672518,63.881235,39.65045,7.992574,0.1572,0.135029,0.396484,0.522877,0.248331,0.723102,0.463234,0.18925,0.680613,'Amorpha fruticosa_All.jpg'
