@relation FeaturesGray_RGB

@attribute Mean numeric
@attribute Min numeric
@attribute Max numeric
@attribute Mode numeric
@attribute StD numeric
@attribute Skewness numeric
@attribute Kurtosis numeric
@attribute IntensitySum numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute SmothnessR numeric
@attribute GLCM_Contrast numeric
@attribute GLCM_Correlation numeric
@attribute GLCM_Energy numeric
@attribute GLCM_Homogeneity numeric
@attribute MeanIntensityR numeric
@attribute StdDevR numeric
@attribute MeanSqrtR numeric
@attribute MeanIntensityG numeric
@attribute StdDevG numeric
@attribute MeanSqrtG numeric
@attribute MeanIntensityB numeric
@attribute StdDevB numeric
@attribute MeanSqrtB numeric
@attribute MeanIntensityH numeric
@attribute StdDevH numeric
@attribute MeanSqrtH numeric
@attribute MeanIntensityS numeric
@attribute StdDevS numeric
@attribute MeanSqrtS numeric
@attribute MeanIntensityV numeric
@attribute StdDevV numeric
@attribute MeanSqrtV numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
88.051335,0,229,105,2.996,48.374,2338,199300,0.999,5,0.000138,427204,932,155,0.72,105.767454,46.987621,10.28433,85.334189,40.92206,9.237651,55.606776,36.266864,7.456995,0.143503,0.128131,0.378818,0.561637,0.239365,0.749424,0.428556,0.173098,0.654642,'Amorpha fruticosa'
103.167352,1,230,121,0,21416,458.424,135405,1,-0,0,384259,0.942,196,737,128.535526,54.67109,11.337351,98.175573,50.296538,9.908359,62.254844,42.664429,7.890174,0.125991,0.123789,0.354953,0.58904,0.245319,0.767489,0.513067,0.204653,0.716287,'Amorpha fruticosa'
78.19057,0,213,12,6.002,21416,458.424,116664,996,0.026,0.000554,333865,0.949,0.178,731,100.196464,55.755252,10.009818,72.660773,48.488884,8.524129,48.943026,38.799532,6.995929,0.154122,0.203234,0.392583,0.627922,0.253794,0.792415,0.404461,0.208239,0.635972,'Amorpha fruticosa'
90.820433,2,195,98,18654,7375,53.204,149047,0.964,0.21,5,345754,948,201,752,108.29257,47.259304,10.406372,88.344427,44.685542,9.399172,57.736842,39.38818,7.598476,0.137831,0.11883,0.371257,0.555132,0.248603,0.745072,0.436259,0.177751,0.660499,'Amorpha fruticosa'
82.470914,1,242,7,0,22603,510284,139060,1,-0,0,400.237,0.939,0.186,741,100.711219,56.708838,10.035498,78.801939,48.021647,8.877046,53.397507,39.886932,7.30736,0.146234,0.156062,0.382406,0.594514,0.251281,0.771047,0.409429,0.211148,0.639867,'Amorpha fruticosa'
94.589139,1,249,127,0,22603,510284,116110,1,-0,0,369.638,0.944,193,0.756,113.856735,47.063952,10.670367,91.843516,43.800736,9.583502,58.142908,37.811092,7.62515,0.129549,0.103501,0.359929,0.560113,0.236042,0.748407,0.456531,0.178521,0.675671,'Amorpha fruticosa'
98.474838,1,252,113,0,22603,510284,164560,1,-0,0,344043,907,55,639,124.75629,45.741117,11.169436,92.412653,42.504556,9.61315,60.667146,38.819073,7.788912,0.108138,0.094948,0.328844,0.563802,0.238292,0.750867,0.495259,0.173855,0.703747,'Amorpha fruticosa'
90.075724,0,205,127,0,22603,510284,238595,1,-0,0,380.544,943,205,0.75,112.535264,54.190799,10.608264,85.259094,46.541651,9.233585,55.793615,37.795676,7.469512,0.147343,0.174297,0.383852,0.587807,0.237898,0.766685,0.452159,0.202233,0.672428,'Amorpha fruticosa'
78.290345,1,250,94,0,22603,510284,214115,1,-0,0,414.87,937,0.178,728,100.553559,45.505299,10.02764,72.713531,42.116436,8.527223,48.545102,38.008819,6.967432,0.127334,0.148672,0.356839,0.613351,0.255031,0.783167,0.405052,0.169722,0.636437,'Amorpha fruticosa'
89.010922,1,203,84,0,22603,510284,190740,1,-0,0,350846,0.947,0.234,0.756,113.86165,42.321067,10.670597,83.230583,38.651503,9.12308,53.545307,37.132993,7.317466,0.114128,0.109188,0.337829,0.588544,0.248477,0.767166,0.454862,0.159008,0.674435,'Amorpha fruticosa'
