@relation FeaturesBW_RGB

@attribute Area numeric
@attribute Perimeter numeric
@attribute x_Feret numeric
@attribute x_Breadth numeric
@attribute x_AspRatio numeric
@attribute x_RFactor numeric
@attribute x_ConvexArea numeric
@attribute x_ConvexPerimeter numeric
@attribute x_ArEquivD numeric
@attribute x_PerEquivD numeric
@attribute x_MinR numeric
@attribute x_MaxR numeric
@attribute x_avgR numeric
@attribute x_VarianceR numeric
@attribute x_EquivEllAr numeric
@attribute x_ModRatio numeric
@attribute x_HaralickRatio numeric
@attribute x_ThinnessR numeric
@attribute x_Roundness numeric
@attribute x_Compactness numeric
@attribute x_Solidity numeric
@attribute x_Convexity numeric
@attribute x_Concavity numeric
@attribute x_ArBBox numeric
@attribute x_Rectang numeric
@attribute x_Sphericity numeric
@attribute x_Elongation numeric
@attribute x_BendingEnergy numeric
@attribute x_Jaggedness numeric
@attribute x_Circularity numeric
@attribute x_Endocarp numeric
@attribute DistanceCM_FB numeric
@attribute MeanIntensityR numeric
@attribute StdDevR numeric
@attribute MeanSqrtR numeric
@attribute MeanIntensityG numeric
@attribute StdDevG numeric
@attribute MeanSqrtG numeric
@attribute MeanIntensityB numeric
@attribute StdDevB numeric
@attribute MeanSqrtB numeric
@attribute MeanIntensityH numeric
@attribute StdDevH numeric
@attribute MeanSqrtH numeric
@attribute MeanIntensityS numeric
@attribute StdDevS numeric
@attribute MeanSqrtS numeric
@attribute MeanIntensityV numeric
@attribute StdDevV numeric
@attribute MeanSqrtV numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
2360,264534,105309,37215,2.83,10922,3613.5,238885,54816,84204,18608,52655,31.856,147939,3078052,353,2.619,29.652,271,521,653,903,1253.5,3919097,602,353,2.36,10.847,0.651,424,2095466,14064,106.420695,56.196937,10.316041,80.412387,48.800633,8.967295,56.445619,41.669878,7.51303,0.149942,0.17747,0.387223,0.571093,0.268888,0.755707,0.430742,0.209587,0.656309,'Amorpha fruticosa'
2343,243078,100603,36429,2762,9464,2991,224625,54619,77374,18.214,50302,30.591,113851,2878.35,0.362,2867,25219,295,0.543,0.783,924,648,3664829,639,0.362,2.007,3168,706,498,2099922,6006,105.767454,46.987621,10.28433,85.334189,40.92206,9.237651,55.606776,36.266864,7.456995,0.143503,0.128131,0.378818,0.561637,0.239365,0.749424,0.428556,0.173098,0.654642,'Amorpha fruticosa'
1593,214593,91285,28505,3202,8895,2551,199.186,45036,68307,14252,45643,26123,110177,2043.653,312,2489,28908,243,493,624,0.928,958,2602.059,612,312,2.3,1.602,659,435,1378.407,4769,128.535526,54.67109,11.337351,98.175573,50.296538,9.908359,62.254844,42.664429,7.890174,0.125991,0.123789,0.354953,0.58904,0.245319,0.767489,0.513067,0.204653,0.716287,'Amorpha fruticosa'
1368,230.936,92.13,27.727,3323,7129,2063.5,203.664,41735,73509,13864,46065,30.883,128486,2006316,301,2725,38985,205,0.453,0.663,882,695.5,2554.52,536,301,3102,19347,568,322,1137.064,14305,100.196464,55.755252,10.009818,72.660773,48.488884,8.524129,48.943026,38.799532,6.995929,0.154122,0.203234,0.392583,0.627922,0.253794,0.792415,0.404461,0.208239,0.635972,'Amorpha fruticosa'
1703,226.35,89.157,31.798,2804,11446,3206,200.469,46565,72.05,15.899,44.579,29229,86163,2226623,0.357,3.149,30085,273,522,531,0.886,1503,2835.024,601,0.357,2394,1014,0.646,418,1476.65,9914,108.29257,47.259304,10.406372,88.344427,44.685542,9.399172,57.736842,39.38818,7.598476,0.137831,0.11883,0.371257,0.555132,0.248603,0.745072,0.436259,0.177751,0.660499,'Amorpha fruticosa'
1636,205238,84.172,30837,2.73,16392,4334.5,191588,45.64,65329,15419,42.086,26.47,101757,2038.61,366,2.624,25747,294,542,377,0.933,2698.5,2595639,0.63,366,2049,12534,0.699,488,1430.762,7987,100.711219,56.708838,10.035498,78.801939,48.021647,8.877046,53.397507,39.886932,7.30736,0.146234,0.156062,0.382406,0.594514,0.251281,0.771047,0.409429,0.211148,0.639867,'Amorpha fruticosa'
1366,200.51,84095,26261,3202,12037,3180,186.069,41.704,63824,13.13,42048,26225,96.747,1734465,312,2.666,29432,0.246,496,0.43,0.928,1814,2208.39,619,312,2342,3952,653,0.427,1165.49,5119,113.856735,47.063952,10.670367,91.843516,43.800736,9.583502,58.142908,37.811092,7.62515,0.129549,0.103501,0.359929,0.560113,0.236042,0.748407,0.456531,0.178521,0.675671,'Amorpha fruticosa'
1936,237.48,98.127,32551,3015,8815,2717.5,222037,49.649,75592,16275,49.064,30.106,148968,2508677,332,2467,29131,256,506,0.712,935,781.5,3194147,606,332,2318,12.361,657,431,1698.52,8.847,124.75629,45.741117,11.169436,92.412653,42.504556,9.61315,60.667146,38.819073,7.788912,0.108138,0.094948,0.328844,0.563802,0.238292,0.750867,0.495259,0.173855,0.703747,'Amorpha fruticosa'
2807,286.09,114.403,38.46,2975,11298,4060.5,255.339,59783,91065,19.23,57201,35615,162.47,3455.731,336,2.794,29158,273,523,691,893,1253.5,4399974,638,336,2.32,319,0.656,431,2520.91,38884,112.535264,54.190799,10.608264,85.259094,46.541651,9.233585,55.793615,37.795676,7.469512,0.147343,0.174297,0.383852,0.587807,0.237898,0.766685,0.452159,0.202233,0.672428,'Amorpha fruticosa'
2519,255563,107331,37878,2.834,9965,3360,241449,56633,81348,18939,53.666,30788,153885,3193008,353,2.482,25928,278,528,0.75,945,841,4065.464,0.62,353,2063,441,696,485,2263437,9683,100.553559,45.505299,10.02764,72.713531,42.116436,8.527223,48.545102,38.008819,6.967432,0.127334,0.148672,0.356839,0.613351,0.255031,0.783167,0.405052,0.169722,0.636437,'Amorpha fruticosa'
