Area,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB
1987,Senna alexandrina,205.279,62201.0,46.92100000000001,1.3259999999999998,13.986,2733.0,170.87099999999995,50298.0,65342.0,23.46,31101.0,25745.0,8259.0,2292206.0,754.0,8958.0,21.208,654.0,809.0,727.0,0.8320000000000001,746.0,2918527.0,0.6809999999999999,754.0,1.6880000000000002,163.0,0.77,593.0,1781721.0,6566.0
1450,Senna alexandrina,182894.0,53254.0,37287.0,1.4280000000000002,10.601,1773.5,149201.0,42967.0,58217.0,18.644,26627.0,22.144,7495.0,1559.572,0.7,8088.0,23.069000000000006,0.6509999999999999,807.0,818.0,816.0,323.5,1985.708,0.73,0.7,1.836,436.0,738.0,545.0,1267106.0,6.3820000000000014
1573,Senna alexandrina,191037.0,56.4,39.712,1.42,12583.0,2229.5,153719.0,44753.0,60809.0,19.856,28.2,22781.0,9.803,1759105.0,0.7040000000000001,7276.0,23201.0,0.63,0.7929999999999999,706.0,805.0,656.5,2239762.0,0.7020000000000001,0.7040000000000001,1.846,0.29,736.0,542.0,1381963.0,2.24
2018,Senna alexandrina,194.066,63032.0,46468.0,1.356,13168.0,2607.5,168872.0,50.68899999999999,61773.0,23234.0,31516.0,25408.0,7689.0,2300411.0,737.0,9163.0,18663.0,647.0,804.0,774.0,0.87,589.5,2928974.0,0.6890000000000001,737.0,1485.0,281.0,821.0,0.6729999999999999,1823934.0,4676.0
1933,Senna alexandrina,181238.0,57.428,48.0,1196.0,14198.0,2561.5,164583.0,49.61,57.69,24.0,28.714,24.868,3577.0,2164993.0,836.0,13148.0,16993.0,746.0,0.8640000000000001,755.0,0.908,628.5,2756554.0,701.0,836.0,1.352,0.02,0.86,0.74,1751.7620000000004,1943.0
2063,Senna alexandrina,205037.0,60407.0,46977.0,1286.0,13.906,2639.0,172547.0,51.25100000000001,65265.0,23489.0,30.203000000000007,25979.0,8502.0,2228769.0,778.0,8.91,20378.0,0.72,848.0,782.0,0.8420000000000001,576.0,2837756.0,727.0,778.0,1.622,204.0,785.0,617.0,1857963.0,7.74
1997,Senna alexandrina,195865.0,60.44,45.0,1.3430000000000002,14912.0,2831.5,172.02599999999995,50425.0,62.346,22.5,30.22,25.53,10.720999999999998,2136.128,745.0,7.7970000000000015,19.21,696.0,0.8340000000000001,705.0,878.0,834.5,2719802.0,0.7340000000000001,745.0,1.529,583.0,809.0,654.0,1801135.0,1635.0
1518,Senna alexandrina,196451.0,54644.0,38.87300000000001,1406.0,10.06,1727.0,150.63,43963.0,62532.0,19437.0,27322.0,22.738000000000003,7192.0,1668335.0,711.0,8478.0,25424.0,647.0,805.0,879.0,767.0,209.0,2124.19,715.0,711.0,2023.0,2.12,703.0,494.0,1321549.0,3252.0
1747,Senna alexandrina,200593.0,58412.0,45.20399999999999,1.2919999999999998,12.149,2229.5,160715.0,47.163,63.851000000000006,22.602,29206.0,23.758000000000006,7.3610000000000015,2073841.0,774.0,8757.0,23.032,652.0,807.0,784.0,0.8009999999999999,482.5,2640.496,662.0,774.0,1.833,0.03,0.7390000000000001,546.0,1546.4070000000004,5.3889999999999985
1630,Senna alexandrina,195137.0,53151.0,39641.0,1341.0,16212.0,2707.0,156216.0,45.556,62114.0,19.82,26575.0,23746.0,5.9460000000000015,1654.792,746.0,9738.0,23361.0,735.0,857.0,602.0,0.8009999999999999,1077.0,2106946.0,774.0,746.0,1859.0,111.0,733.0,0.5379999999999999,1434.8629999999996,9229.0
