Area,Perimeter,x_Feret,x_Breadth,x_AspRatio,x_RFactor,x_ConvexArea,x_ConvexPerimeter,x_ArEquivD,x_PerEquivD,x_MinR,x_MaxR,x_avgR,x_VarianceR,x_EquivEllAr,x_ModRatio,x_HaralickRatio,x_ThinnessR,x_Roundness,x_Compactness,x_Solidity,x_Convexity,x_Concavity,x_ArBBox,x_Rectang,x_Sphericity,x_Elongation,x_BendingEnergy,x_Jaggedness,x_Circularity,x_Endocarp,DistanceCM_FB,MeanIntensityR,StdDevR,MeanSqrtR,MeanIntensityG,StdDevG,MeanSqrtG,MeanIntensityB,StdDevB,MeanSqrtB,MeanIntensityH,StdDevH,MeanSqrtH,MeanIntensityS,StdDevS,MeanSqrtS,MeanIntensityV,StdDevV,MeanSqrtV,Label
2684,204.40900000000002,70937.0,49.501999999999995,1433.0,16645.0,3709.5,195588.0,58458.0,65065.0,24.750999999999998,35468.0,29.000999999999998,17289.0,2757923.0,698.0,6975.0,15567.0,679.0,0.8240000000000001,0.7240000000000001,0.9570000000000001,1025.5,3511.4959999999996,764.0,698.0,1239.0,285.0,898.0,807.0,2479591.0,8413.0,165.595276609511,37.9739933619987,12.868382828060101,109.51666127466801,28.047312615753604,10.465020844445,69.51180847622129,39.8358863069599,8.337374195525909,0.0911884854787096,0.11526928816356899,0.30197431261401897,0.58927711845348,0.218059009545141,0.7676438747580029,0.6516198197169489,0.14451244365490398,0.807229719297394,Spartium junceum
2348,186894.0,66242.0,44379.0,1493.0,15245.0,3172.5,183.55900000000003,54677.0,59.49,22.19,33121.0,26.410999999999998,17328.0,2308884.0,0.67,6345.0,14876.0,0.6809999999999999,825.0,0.74,982.0,824.5,2939762.0,799.0,0.67,1.1840000000000002,61.0,919.0,845.0,2161106.0,14224.0,163.956301914048,38.912407715027,12.804542237583101,94.104008667389,35.2665943266254,9.70072206938169,75.2246298302636,44.48057753160771,8.67321335090194,0.205355497557302,0.348805958710808,0.45316166823475,0.5535027039163071,0.24188396855362804,0.743977623263164,0.644971285733507,0.148662145705758,0.803101043290013,Spartium junceum
2385,187924.0,63008.0,51381.0,1226.0,16454.0,3257.0,180.61,55106.0,59.818000000000005,25691.0,31504.0,27.66,4.5,2542.66,815.0,13038.0,14807.0,765.0,875.0,732.0,961.0,872.0,3237415.0,737.0,815.0,1178.0,0.14400000000000002,0.9209999999999999,0.8490000000000001,2197076.0,13.520999999999999,115.197887542715,38.6001677157021,10.7330278832543,52.2497670083877,41.1798537701829,7.22840003101569,55.282385834109995,42.6786826622375,7.43521256146117,0.533998170367526,0.46096389448768,0.7307517843751908,0.612818035198582,0.26727993679290896,0.7828269509914572,0.457892781219356,0.142885563560072,0.6766777528627321,Spartium junceum
2458,186.51,60.803000000000004,52.88399999999999,1.15,16313.0,3116.0,181125.0,55.943000000000005,59368.0,26.441999999999997,30401.0,27934.0,2.6069999999999998,2525442.0,0.87,17.3,14.152000000000001,847.0,0.92,789.0,971.0,658.0,3215493.0,764.0,0.87,1126.0,0.21100000000000002,0.9420000000000001,888.0,2271.49,4.611000000000001,111.730533270411,42.665381906951296,10.5702664711165,50.37706465313829,45.6087651097435,7.097680230408971,53.81453515809339,42.715565141331204,7.33583909025365,0.5795663917393791,0.44996707764174604,0.7612925795903821,0.630555399282595,0.265562402792658,0.7940751849054309,0.44730311190072997,0.156069337547224,0.668807230747942,Spartium junceum
2262,181.43900000000002,63.891000000000005,48.806000000000004,1.3090000000000002,15195.0,3050.0,176.56799999999998,53.666000000000004,57754.0,24.403000000000002,31945.0,26.89,8154.0,2449069.0,764.0,9417.0,14.552999999999999,706.0,0.84,742.0,973.0,788.0,3118.2509999999997,725.0,764.0,1158.0,0.018000000000000002,929.0,863.0,2080561.0,6026.0,113.038572014772,42.735488679849,10.6319599328991,53.473533032416896,42.2638787208683,7.31255995068874,54.8124743537136,45.4162797355339,7.4035447154531004,0.451990626242235,0.452156947166284,0.672302481210827,0.611762123916865,0.27970326501304904,0.7821522383250369,0.45403139507752294,0.15495566511134198,0.673818517909328,Spartium junceum
2418,189.43900000000002,61847.0,50548.0,1224.0,17916.0,3481.0,182.68400000000003,55.486000000000004,60.3,25274.0,30.923000000000002,28025.0,4141.0,2455342.0,0.8170000000000001,13772.0,14842.0,805.0,897.0,695.0,0.9640000000000001,1063.0,3126238.0,773.0,0.8170000000000001,1181.0,253.0,0.92,847.0,2228561.0,5021.0,164.351145038168,42.605557862636,12.8199510544373,97.7665729208517,39.4829289644136,9.88769805975343,72.4668541582965,42.137195132241104,8.51274656960352,0.0961375093929905,0.19019033158767498,0.310060493118666,0.5668600390635921,0.230303817506005,0.752901081858429,0.646836669581455,0.162784156593171,0.80426156788787,Spartium junceum
2353,185.43900000000002,60465.0,49.0,1234.0,18.785999999999998,3568.5,178.40900000000002,54735.0,59027.0,24.5,30232.0,27.999000000000002,3781.0,2326.9610000000002,0.81,14398.0,14614.0,0.8190000000000001,905.0,659.0,0.9620000000000001,1215.5,2962778.0,794.0,0.81,1163.0,275.0,927.0,0.86,2167561.0,4337.0,164.585885486019,45.9660689937503,12.829103066310502,82.6915224145584,39.2689445183734,9.09348791248762,62.3923657345761,44.270217951403396,7.898883828401081,0.127055304712555,0.27055705792462,0.35644817956128605,0.632275595415711,0.238587178055499,0.795157591560133,0.6478699424732179,0.17524344565956101,0.8049036852153291,Spartium junceum
2319,181296.0,61911.0,46.0,1.3459999999999999,19293.0,3752.5,178.37400000000002,54338.0,57708.0,23.0,30956.0,28608.0,2549.0,2236748.0,743.0,17.92,14.174000000000001,0.77,878.0,618.0,0.9840000000000001,1433.5,2847.9159999999997,0.8140000000000001,743.0,1128.0,77.0,0.9420000000000001,887.0,2137.7039999999997,23.206999999999997,86.28278322925959,38.5137000806366,9.288852632551539,42.418376449598604,40.3105059086187,6.51293915598776,50.00892060660129,40.9837628604395,7.071698565875191,0.752464910417947,0.356128326112073,0.867447353110232,0.6284498215915489,0.292493609455924,0.792748271263678,0.35416032603942604,0.137906955744307,0.595113708495634,Spartium junceum
2770,205238.0,72.67,49341.0,1473.0,18828.0,4298.5,199.22,59387.0,65329.0,24671.0,36335.0,29276.0,23246.0,2816.1690000000003,679.0,6072.0,15207.0,0.6679999999999999,0.8170000000000001,644.0,971.0,1528.5,3585658.0,773.0,679.0,1.21,165.0,909.0,826.0,2564762.0,9.79,92.54425749817119,44.520308454973495,9.619992593457189,50.991587417703,45.2307285985293,7.14083940567935,55.3496708119971,43.9801693108408,7.439735936980361,0.632529555071688,0.417070030616258,0.7953172669266569,0.5811640392266441,0.293757844677646,0.762341156718332,0.37741153520662,0.16254006149347303,0.614338290526172,Spartium junceum
3202,215.68099999999998,73539.0,55.0,1337.0,21.74,5022.5,209889.0,63.851000000000006,68653.0,27.5,36.77,33006.0,7894.0,3176.6609999999996,748.0,11748.0,14.527999999999999,754.0,868.0,638.0,973.0,1820.5,4044651.0,792.0,748.0,1156.0,214.0,0.93,865.0,2986.3190000000004,19895.0,91.8916398713826,39.7879005330935,9.58601272017634,46.805466237942106,40.7801190654465,6.84145205624816,52.807395498392296,39.4810646313774,7.2668697180004695,0.7210189156911451,0.38281205739782603,0.8491283269866491,0.602386842143008,0.280604759826327,0.776135840006766,0.373967593468254,0.143801449331818,0.61152889831001,Spartium junceum
2934,207.53900000000002,73.23899999999999,49.0,1495.0,18.519000000000002,4261.0,202.89700000000002,61.12,66062.0,24.5,36.62,32.3,6354.0,2818.58,669.0,12814.0,14.68,696.0,835.0,0.6890000000000001,978.0,1327.0,3588.7270000000003,818.0,669.0,1168.0,21.0,925.0,856.0,2726461.0,37334.0,116.767336357745,50.03155875197479,10.8058935936712,56.068373298768606,49.9221909104022,7.48788176314027,56.705119896305895,46.494689259847,7.5302802003847,0.475287335829133,0.45923434341274394,0.689410861409314,0.614392190518146,0.266053269938358,0.7838317361003871,0.46563862097009795,0.187309549191162,0.682377183799472,Spartium junceum
2694,195.82299999999998,67476.0,52848.0,1.2770000000000001,19926.0,4224.0,192.13,58567.0,62333.0,26424.0,33738.0,28998.0,9262.0,2800716.0,0.7829999999999999,9.527999999999999,14.234000000000002,753.0,868.0,638.0,981.0,1530.0,3565982.0,755.0,0.7829999999999999,1133.0,85.0,0.94,883.0,2498177.0,7402.0,86.10158572844401,40.6488412742462,9.27909401441994,44.6357779980178,39.49851290843029,6.68100127211617,51.509910802775,40.0651694067979,7.17704053233469,0.735150265586698,0.35954729621397996,0.85740904216523,0.600511159642121,0.279466177171605,0.774926551127345,0.358572844400398,0.14236374729886,0.598809522636705,Spartium junceum
2800,201.43900000000002,66.4,54.0,1.23,23878.0,4981.0,194705.0,59708.0,64.12,27.0,33.2,30485.0,3034.0,2816136.0,813.0,17.500999999999998,14492.0,809.0,899.0,562.0,0.9670000000000001,2181.0,3585616.0,0.7809999999999999,813.0,1153.0,379.0,0.9309999999999999,867.0,2598561.0,18058.0,88.52081218274108,40.4150834159584,9.40854995112111,36.1593908629442,38.1481447806354,6.01326790214307,40.8893401015228,37.0325334755427,6.3944773126130405,0.692097092485396,0.409659840980548,0.831923729968917,0.685536120824867,0.267282922192797,0.8279710869498209,0.358610530506619,0.148091699938796,0.5988409893340789,Spartium junceum
2366,190.06599999999997,67119.0,45.708999999999996,1.4680000000000002,18261.0,3850.5,184.59799999999998,54886.0,60.5,22855.0,33.56,26.673000000000002,17.432000000000002,2409576.0,0.6809999999999999,6.388999999999999,15.267999999999999,669.0,818.0,614.0,971.0,1484.5,3067967.0,0.7709999999999999,0.6809999999999999,1215.0,0.011000000000000001,907.0,823.0,2175.9339999999997,14172.0,107.343518114361,46.8229437061766,10.360671701890801,51.510257529463104,45.005669264173605,7.177064687562949,53.9991270187691,44.4621128065244,7.34840982926028,0.50488789806492,0.45663638060511796,0.7105546411535991,0.620914912663853,0.272409090656642,0.787981543352288,0.430081906180195,0.17232095102026299,0.655806302333391,Spartium junceum
2349,189.48,65215.0,46852.0,1392.0,20.27,4153.0,181192.0,54.68899999999999,60313.0,23426.0,32.608000000000004,26.695999999999998,13368.0,2399755.0,718.0,7.3020000000000005,15284.0,703.0,0.8390000000000001,0.5660000000000001,956.0,1804.0,3055.4629999999997,769.0,718.0,1216.0,0.14400000000000002,907.0,0.8220000000000001,2159.52,11.734000000000002,106.947619047619,46.0888603652104,10.3415481939417,52.867965367965404,49.0518623616082,7.271036058772191,55.97705627705629,47.9646351964559,7.48178162452342,0.550766182215732,0.451123909058505,0.7421362288796659,0.6143966008304879,0.30146623167264003,0.783834549398333,0.4307529072234961,0.167929676316178,0.6563176877271371,Spartium junceum
2383,184267.0,60.44,51.0,1185.0,23404.0,4444.0,178917.0,55083.0,58.653999999999996,25.5,30.22,27.848000000000003,2783.0,2420945.0,0.8440000000000001,16.692999999999998,14249.0,831.0,0.9109999999999999,536.0,971.0,2061.0,3082.4429999999998,773.0,0.8440000000000001,1.1340000000000001,43.0,0.9390000000000001,882.0,2198.7329999999997,14502.0,160.279069767442,50.563086010317,12.660137035887198,86.54558139534879,43.1552169137154,9.30298776712884,57.9255813953488,39.5223934910414,7.61088571687611,0.116041265333032,0.21963026865463198,0.340648301526709,0.653216300548524,0.230498702817882,0.808217978362598,0.631772001823986,0.192532517392817,0.7948408657234391,Spartium junceum
2277,182167.0,58941.0,50.0,1179.0,21359.0,3955.0,175274.0,53.843999999999994,57985.0,25.0,29.47,27123.0,2332.0,2314594.0,848.0,17762.0,14.574000000000002,835.0,914.0,0.5760000000000001,0.9620000000000001,1678.0,2947032.0,773.0,848.0,1.16,0.04,929.0,862.0,2094833.0,5814.0,119.525110486139,42.5666995078477,10.9327540211119,61.1169144234632,49.5396207745705,7.817730771999201,62.959823222177604,49.2648772244792,7.93472263045014,0.533433760323008,0.46243183616334604,0.730365497763283,0.568086920112913,0.298132744515117,0.7537154105581979,0.47607433491677204,0.15699089315988798,0.6899814018629581,Spartium junceum
2152,176.85299999999998,57723.0,49.0,1178.0,23.403000000000002,4244.0,171945.0,52345.0,56294.0,24.5,28862.0,26.298000000000002,4728.0,2221.46,0.8490000000000001,12.094000000000001,14534.0,0.8220000000000001,907.0,507.0,972.0,2092.0,2828.45,0.7609999999999999,0.8490000000000001,1157.0,457.0,0.93,865.0,1975.1470000000002,4718.0,117.05427905427901,46.5256806312305,10.819162585629199,54.3859473859474,46.7971713407576,7.37468286680501,48.8498168498168,44.5510556338945,6.9892643997646,0.25986339096249,0.3894332413341,0.509767977576554,0.6648162901987479,0.277493293496098,0.815362674028403,0.466691478456185,0.17215591736931,0.6831482111929921,Spartium junceum
2045,172.51,59908.0,45.0,1331.0,22916.0,4313.0,168989.0,51027.0,54912.0,22.5,29954.0,26025.0,6369.0,2117333.0,0.7509999999999999,10.312000000000001,14552.0,725.0,852.0,474.0,0.98,2268.0,2695.8720000000003,759.0,0.7509999999999999,1158.0,55.0,929.0,0.8640000000000001,1872.49,15.81,117.998906705539,27.2519669658385,10.8627301681271,71.8826530612245,24.334213039972703,8.47836381981951,47.8319970845481,26.002408471525303,6.916068036431401,0.106068575389703,0.171773945270514,0.325681708712207,0.606615365860272,0.197397288710466,0.778855163596077,0.46678957297205204,0.0992996346156835,0.683220003345959,Spartium junceum
2187,177882.0,60.836000000000006,44.0,1383.0,23713.0,4532.0,174426.0,52769.0,56622.0,22.0,30.418000000000003,27.718000000000004,4146.0,2102.3360000000002,723.0,13613.0,14468.0,752.0,867.0,483.0,981.0,2345.0,2676777.0,0.8170000000000001,723.0,1151.0,331.0,932.0,0.8690000000000001,2009118.0,15.08,111.94840871021799,48.951417806589205,10.580567504166199,51.9731993299833,49.2544749533593,7.209244019311821,53.4726968174204,48.1512363628146,7.31250277384019,0.517877238852855,0.457992239130577,0.7196368798587629,0.624452738089531,0.293573914685294,0.790223220419098,0.447308437612901,0.1829418802796,0.6688112122362341,Spartium junceum
3206,218024.0,73.23899999999999,54.0,1.3559999999999999,25551.0,5879.0,210593.0,63.891000000000005,69399.0,27.0,36.62,33351.0,5.9910000000000005,3106.19,737.0,13626.0,14827.0,0.7609999999999999,872.0,545.0,966.0,2673.0,3954.9240000000004,0.8109999999999999,737.0,1.18,2377.0,0.9209999999999999,848.0,2987.9759999999997,36399.0,159.49234954097201,49.1460446013103,12.629028052109598,82.45256715402921,50.5345865030409,9.08033959464233,62.2658959537572,45.9435473968083,7.89087421986672,0.12445737112434299,0.254384206715781,0.352785162846091,0.633673113553596,0.248351027397203,0.79603587453933,0.628544379329428,0.18732572486416102,0.792807908215747,Spartium junceum
3086,214.85299999999998,74324.0,52.0,1429.0,22553.0,5266.0,206838.0,62683.0,68.39,26.0,37162.0,32954.0,8.06,3035429.0,0.7,11.607000000000001,14958.0,711.0,843.0,586.0,963.0,2180.0,3864828.0,0.7979999999999999,0.7,1.19,207.0,917.0,0.84,2871147.0,21.048000000000002,91.61997940267771,41.248594369985206,9.57183260419224,46.5441125986955,37.0105910996806,6.8223245744171,52.3412289735668,35.96871168952929,7.23472383533517,0.6998856677791129,0.398271609583845,0.8365916971731859,0.598234380322261,0.25253401420769395,0.773456126953728,0.372197653520728,0.147989007020079,0.610080038618482,Spartium junceum
3025,213338.0,74847.0,53.0,1412.0,21.258000000000003,4998.5,206.05900000000003,62.06100000000001,67908.0,26.5,37423.0,32.236999999999995,10329.0,3115.5679999999998,708.0,10.03,15046.0,688.0,0.8290000000000001,605.0,966.0,1973.5,3966865.0,763.0,708.0,1197.0,222.0,914.0,835.0,2811.6620000000003,23822.0,107.006422924901,44.624931776821796,10.3443908919231,47.1086956521739,38.529803622079,6.863577467485451,51.4486166007905,40.0021171963566,7.1727691027099505,0.6174411294947679,0.44181103099628394,0.7857742229767841,0.628159119185916,0.24753405558544897,0.792564899037243,0.43086685266992203,0.16212363133986402,0.656404488611955,Spartium junceum
2819,204.30900000000003,69051.0,52324.0,1.32,17711.0,3842.0,197.12900000000002,59.91,65033.0,26162.0,34525.0,30.078000000000003,11025.0,2837.65,758.0,9058.0,14807.0,753.0,868.0,0.7340000000000001,965.0,1023.0,3613008.0,0.78,758.0,1178.0,85.0,0.9209999999999999,0.8490000000000001,2614.6910000000003,6.0,145.440661478599,45.1193106661441,12.059878170139198,69.89785992217901,40.1924479390127,8.36049399988894,54.2830739299611,42.1984839096025,7.367704793893489,0.171445252167997,0.316723667395194,0.414059479022033,0.6499542195132549,0.2604294218484,0.806197382477303,0.5738460364690621,0.171555163219895,0.757526261240534,Spartium junceum
3127,212.85299999999998,74202.0,55246.0,1.3430000000000002,25904.0,6038.5,207.15400000000002,63098.0,67753.0,27623.0,37101.0,32217.0,10.3,3219.6420000000003,745.0,10039.0,14489.0,723.0,0.85,518.0,973.0,2911.5,4099375.0,763.0,745.0,1153.0,0.08800000000000001,0.9309999999999999,867.0,2914147.0,4928.0,170.595588235294,39.690315662793296,13.0612246070303,114.888655462185,29.356081857248,10.718612571699,67.265406162465,36.132131627501,8.20154900994105,0.0984149434228339,0.111452216824188,0.31371156086895197,0.609875059896128,0.19994790055489997,0.780944978789241,0.671528807601479,0.15017584556548402,0.8194686129446809,Spartium junceum
2700,200.65200000000002,68118.0,53628.0,1.27,25299.0,5414.0,194053.0,58632.0,63869.0,26814.0,34059.0,29546.0,10432.0,2869.0409999999997,787.0,9148.0,14912.0,741.0,861.0,499.0,0.9670000000000001,2714.0,3652.9770000000003,0.7390000000000001,787.0,1187.0,0.037000000000000005,0.9179999999999999,843.0,2499348.0,4.83,111.936580882353,38.3434000338344,10.5800085483119,55.0805759803922,39.0406006339553,7.42162893038935,62.5885416666667,39.7590059088585,7.9112920352283,0.800108359943562,0.34217554757701596,0.8944877639987941,0.56323564078113,0.239463888458855,0.7504902669463008,0.446443675509424,0.140700004037296,0.668164407544598,Spartium junceum
2456,192.06599999999997,67082.0,50205.0,1.3359999999999999,20608.0,4343.0,186.15,55.92,61137.0,25.101999999999997,33541.0,27.578000000000003,12032.0,2645.0840000000003,748.0,7.9510000000000005,15.02,695.0,0.8340000000000001,0.5660000000000001,0.9690000000000001,1887.0,3367.8259999999996,0.7290000000000001,748.0,1195.0,126.0,915.0,0.8370000000000001,2263.9339999999997,17532.0,112.88364389233999,44.5616052535463,10.624671472207499,56.158592132505206,46.2018295653279,7.49390366447989,58.7850931677019,44.675992078145796,7.66714374247033,0.558161620220834,0.45250497540224605,0.747102148451491,0.586162638773292,0.26698562381847896,0.7656125905268879,0.451474038890919,0.164116556624385,0.671918178717408,Spartium junceum
2744,199196.0,68015.0,54.0,1.26,27.796999999999997,5939.5,194.09799999999998,59.108000000000004,63.406000000000006,27.0,34007.0,29913.0,7845.0,2884.6059999999998,794.0,10.68,14.46,755.0,0.8690000000000001,462.0,0.9740000000000001,3195.5,3672.7940000000003,747.0,794.0,1151.0,293.0,932.0,0.8690000000000001,2544804.0,25829.0,125.65458015267201,46.692596071949204,11.2095753778933,60.1331106870229,46.7114325343602,7.754554190088741,61.79389312977101,45.969445916990004,7.86090917959055,0.572235444373256,0.4617993777142829,0.756462454040685,0.591330899598089,0.243454001977023,0.7689804286183679,0.49754527765304496,0.176028434036722,0.7053688947303,Spartium junceum
2617,198267.0,70178.0,51.226000000000006,1.37,26346.0,5808.5,190.72099999999998,57724.0,63.11,25.613000000000003,35089.0,28.56,13382.0,2823491.0,0.73,7807.0,15.020999999999999,677.0,823.0,451.0,0.9620000000000001,3191.5,3594.98,728.0,0.73,1195.0,0.27899999999999997,915.0,0.8370000000000001,2418.7329999999997,7914.0,133.596774193548,37.557542618893706,11.5584070785532,67.79539170506911,32.3830744422947,8.23379570459877,53.1119815668203,40.176993091187896,7.2877967566899295,0.23248961455662,0.365995228639021,0.48217176872627104,0.627495654518286,0.256522144636948,0.792146233039258,0.5271871329176829,0.142648665799862,0.7260765337880601,Spartium junceum
