@relation FeaturesGray

@attribute Skewness numeric
@attribute Kurtosis numeric
@attribute 'Intensity sum' numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute 'Smothness R' numeric
@attribute GLCM-Contrast numeric
@attribute GLCM-Correlation numeric
@attribute GLCM-Energy numeric
@attribute GLCM-Homogeneity numeric
@attribute Mean numeric
@attribute Mode numeric
@attribute Min numeric
@attribute Max numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
23979,573002,49271,997,0.018,0.000529,149827,0.95,344,0.842,192,0,85,226,'Anthyllis barba-jovis'
?,?,49810,1,-0,0,223192,917,0.351,0.844,194,0,85,85,'Anthyllis barba-jovis'
25476,647002,55562,997,17,0.000475,328.47,0.901,327,0.822,217,0,85,227,'Anthyllis barba-jovis'
?,?,98005,1,-0,0,307.62,902,321,821,382,0,85,85,'Anthyllis barba-jovis'
11.576,132764,138920,985,87,2,370972,0.906,0.19,0.8,542,0,85,246,'Anthyllis barba-jovis'
22.673,514385,86979,996,0.022,0.000589,295457,0.9,348,831,339,0,85,234,'Anthyllis barba-jovis'
21518,464879,116301,996,0.026,0.000493,419.169,895,0.1,0.72,454,0,85,220,'Anthyllis barba-jovis'
5836,32118,101731,946,289,0.009,437733,0.908,96,0.729,397,0,85,248,'Anthyllis barba-jovis'
20881,436798,73455,995,0.026,0.000654,526572,887,63,0.63,286,0,85,231,'Anthyllis barba-jovis'
21193,447.18,77143,996,25,0.00078,379.882,0.926,81,655,301,0,85,238,'Anthyllis barba-jovis'
6439,39576,70160,955,231,0.007,399912,915,68,636,274,0,85,242,'Anthyllis barba-jovis'
12454,153119,40751,987,65,2,425895,912,66,608,159,0,85,241,'Anthyllis barba-jovis'
19.821,391.266,101029,995,0.03,0.000654,456194,895,69,669,394,0,85,220,'Anthyllis barba-jovis'
25377,645107,108644,997,0.018,0.000438,399655,917,69,634,424,0,85,229,'Anthyllis barba-jovis'
21845,476783,81130,996,24,0.000705,279165,0.911,324,831,316,0,85,241,'Anthyllis barba-jovis'
35707,1273001,108785,998,0.009,0.000289,556518,0.901,0.09,643,424,0,85,240,'Anthyllis barba-jovis'
20271,409941,105140,995,0.029,0.000734,760568,885,0.181,0.68,410,0,85,232,'Anthyllis barba-jovis'
?,?,91120,1,-0,0,766.917,885,192,0.686,355,0,85,85,'Anthyllis barba-jovis'
19578,382.891,65163,995,0.029,0.000958,748345,889,0.17,0.671,254,0,85,249,'Anthyllis barba-jovis'
14.146,198.7,69017,0.99,55,2,728847,0.891,0.186,0.676,269,0,85,242,'Anthyllis barba-jovis'
24.819,614002,52779,997,17,0.000668,1244598,818,254,639,206,0,85,249,'Anthyllis barba-jovis'
33734,1136001,97110,998,0.01,0.000211,418904,925,98,0.67,379,0,85,210,'Anthyllis barba-jovis'
?,?,119170,1,-0,0,939926,0.859,322,0.707,465,0,85,85,'Anthyllis barba-jovis'
25087,627979,107472,997,19,0.000502,931941,0.849,386,735,419,0,85,233,'Anthyllis barba-jovis'
34.044,1157001,98896,998,0.01,0.00021,372774,935,0.108,0.68,386,0,85,211,'Anthyllis barba-jovis'
20715,429.929,108507,995,0.028,0.000606,814943,0.854,0.458,772,423,0,85,228,'Anthyllis barba-jovis'
21.054,441.859,75812,996,25,0.000528,959422,0.834,0.437,753,296,0,85,213,'Anthyllis barba-jovis'
8709,74055,61109,975,136,4,868587,841,0.472,782,238,0,85,236,'Anthyllis barba-jovis'
?,?,54400,1,-0,0,711367,0.88,0.412,0.75,212,0,85,85,'Anthyllis barba-jovis'
?,?,49555,1,-0,0,984.083,828,0.437,0.761,193,0,85,85,'Anthyllis barba-jovis'
?,?,102170,1,-0,0,851291,0.86,413,745,399,0,85,85,'Anthyllis barba-jovis'
?,?,108290,1,-0,0,986672,0.854,307,696,423,0,85,85,'Anthyllis barba-jovis'
?,?,83810,1,-0,0,692245,888,0.394,741,327,0,85,85,'Anthyllis barba-jovis'
19.9,394.021,68125,995,0.028,0.000837,624797,899,384,741,266,0,85,233,'Anthyllis barba-jovis'
?,?,61795,1,-0,0,788.526,877,355,722,241,0,85,85,'Anthyllis barba-jovis'
