@relation FeaturesBW_Gray

@attribute Area numeric
@attribute Perimeter numeric
@attribute x_Feret numeric
@attribute x_Breadth numeric
@attribute x_AspRatio numeric
@attribute x_RFactor numeric
@attribute x_ConvexArea numeric
@attribute x_ConvexPerimeter numeric
@attribute x_ArEquivD numeric
@attribute x_PerEquivD numeric
@attribute x_MinR numeric
@attribute x_MaxR numeric
@attribute x_avgR numeric
@attribute x_VarianceR numeric
@attribute x_EquivEllAr numeric
@attribute x_ModRatio numeric
@attribute x_HaralickRatio numeric
@attribute x_ThinnessR numeric
@attribute x_Roundness numeric
@attribute x_Compactness numeric
@attribute x_Solidity numeric
@attribute x_Convexity numeric
@attribute x_Concavity numeric
@attribute x_ArBBox numeric
@attribute x_Rectang numeric
@attribute x_Sphericity numeric
@attribute x_Elongation numeric
@attribute x_BendingEnergy numeric
@attribute x_Jaggedness numeric
@attribute x_Circularity numeric
@attribute x_Endocarp numeric
@attribute DistanceCM_FB numeric
@attribute Mean numeric
@attribute Min numeric
@attribute Max numeric
@attribute Mode numeric
@attribute StD numeric
@attribute Skewness numeric
@attribute Kurtosis numeric
@attribute IntensitySum numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute SmothnessR numeric
@attribute GLCM_Contrast numeric
@attribute GLCM_Correlation numeric
@attribute GLCM_Energy numeric
@attribute GLCM_Homogeneity numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
1408,238894,99045,28338,3495,7475,2326,217114,42341,76042,14169,49523,28885,199.991,2204.378,0.286,2043,40533,183,0.427,605,909,918,2806.701,502,0.286,3.226,1.782,557,0.31,1169106,11842,98.291807,0,211,137,3091,37.483,1403001,119796,0.999,8,0.000147,284212,882,84,706,'Amorpha fruticosa'
2360,264534,105309,37215,2.83,10922,3613.5,238885,54816,84204,18608,52655,31.856,147939,3078052,353,2.619,29.652,271,521,653,903,1253.5,3919097,602,353,2.36,10.847,0.651,424,2095466,14064,85.457704,0,223,92,0,48.374,2338,200600,1,-0,0,375.387,0.933,0.101,0.7,'Amorpha fruticosa'
2343,243078,100603,36429,2762,9464,2991,224625,54619,77374,18.214,50302,30.591,113851,2878.35,0.362,2867,25219,295,0.543,0.783,924,648,3664829,639,0.362,2.007,3168,706,498,2099922,6006,88.051335,0,229,105,2.996,48.374,2338,199300,0.999,5,0.000138,427204,932,155,0.72,'Amorpha fruticosa'
1593,214593,91285,28505,3202,8895,2551,199.186,45036,68307,14252,45643,26123,110177,2043.653,312,2489,28908,243,493,624,0.928,958,2602.059,612,312,2.3,1.602,659,435,1378.407,4769,103.167352,1,230,121,0,21416,458.424,135405,1,-0,0,384259,0.942,196,737,'Amorpha fruticosa'
1368,230.936,92.13,27.727,3323,7129,2063.5,203.664,41735,73509,13864,46065,30.883,128486,2006316,301,2725,38985,205,0.453,0.663,882,695.5,2554.52,536,301,3102,19347,568,322,1137.064,14305,78.19057,0,213,12,6.002,21416,458.424,116664,996,0.026,0.000554,333865,0.949,0.178,731,'Amorpha fruticosa'
1703,226.35,89.157,31.798,2804,11446,3206,200.469,46565,72.05,15.899,44.579,29229,86163,2226623,0.357,3.149,30085,273,522,531,0.886,1503,2835.024,601,0.357,2394,1014,0.646,418,1476.65,9914,90.820433,2,195,98,18654,7375,53.204,149047,0.964,0.21,5,345754,948,201,752,'Amorpha fruticosa'
1636,205238,84.172,30837,2.73,16392,4334.5,191588,45.64,65329,15419,42.086,26.47,101757,2038.61,366,2.624,25747,294,542,377,0.933,2698.5,2595639,0.63,366,2049,12534,0.699,488,1430.762,7987,82.470914,1,242,7,0,22603,510284,139060,1,-0,0,400.237,0.939,0.186,741,'Amorpha fruticosa'
1366,200.51,84095,26261,3202,12037,3180,186.069,41.704,63824,13.13,42048,26225,96.747,1734465,312,2.666,29432,0.246,496,0.43,0.928,1814,2208.39,619,312,2342,3952,653,0.427,1165.49,5119,94.589139,1,249,127,0,22603,510284,116110,1,-0,0,369.638,0.944,193,0.756,'Amorpha fruticosa'
1936,237.48,98.127,32551,3015,8815,2717.5,222037,49.649,75592,16275,49.064,30.106,148968,2508677,332,2467,29131,256,506,0.712,935,781.5,3194147,606,332,2318,12.361,657,431,1698.52,8.847,98.474838,1,252,113,0,22603,510284,164560,1,-0,0,344043,907,55,639,'Amorpha fruticosa'
2807,286.09,114.403,38.46,2975,11298,4060.5,255.339,59783,91065,19.23,57201,35615,162.47,3455.731,336,2.794,29158,273,523,691,893,1253.5,4399974,638,336,2.32,319,0.656,431,2520.91,38884,90.075724,0,205,127,0,22603,510284,238595,1,-0,0,380.544,943,205,0.75,'Amorpha fruticosa'
2519,255563,107331,37878,2.834,9965,3360,241449,56633,81348,18939,53.666,30788,153885,3193008,353,2.482,25928,278,528,0.75,945,841,4065.464,0.62,353,2063,441,696,485,2263437,9683,78.290345,1,250,94,0,22603,510284,214115,1,-0,0,414.87,937,0.178,728,'Amorpha fruticosa'
2244,246.191,103.407,33853,3055,10.594,3441.5,230.319,53452,78365,16927,51703,30483,133694,2749433,327,2636,27.01,267,517,652,0.936,1197.5,3500687,0.641,327,2149,85,682,465,1997809,8416,89.010922,1,203,84,0,22603,510284,190740,1,-0,0,350846,0.947,0.234,0.756,'Amorpha fruticosa'
2273,248392,103005,35759,2.881,11037,3571.5,229.966,53797,79066,17.88,51.502,30.113,132907,2892913,0.347,2612,27.144,273,522,636,0.926,1298.5,3683.371,617,0.347,2.16,3033,0.68,0.463,2024608,3395,66.387097,0,199,34,0,22603,510284,193205,1,-0,0,415751,938,218,735,'Amorpha fruticosa'
2039,254877,105119,32404,3.244,10738,3546,230.009,50952,81.13,16202,52559,32059,128435,2675288,308,2.829,31.86,235,485,575,902,1507,3406283,599,308,2535,3082,628,0.394,1784.123,8.19,96.026056,3,217,128,5972,22603,510284,173854,996,24,0.000548,406414,0.939,207,745,'Amorpha fruticosa'
2070,238593,99045,34435,2.876,9032,2810.5,218542,51338,75946,17218,49523,31064,117072,2678737,348,2.871,27.501,0.269,518,737,0.916,740.5,3410.674,607,348,2188,19,0.676,457,1831.407,5.967,85.147766,1,202,105,3077,45464,2065,176090,0.999,6,0.000146,424.982,937,271,0.75,'Amorpha fruticosa'
1506,215.823,85376,28.458,3,8523,2286,193097,43.789,68699,14.229,42688,26549,102943,1908223,0.333,2617,30.929,263,513,659,895,780,2429625,0.62,0.333,2461,514,637,406,1290177,9061,77.621212,0,219,126,6959,19824,397224,128546,995,32,0.000744,366.56,945,228,755,'Amorpha fruticosa'
2162,256149,103.73,34022,3049,9.608,3131,231.694,52467,81535,17011,51865,29029,130173,2771.731,0.328,2544,30.348,256,506,691,905,969,3529078,613,0.328,2415,2.04,643,414,1905851,5.201,84.62369,0,235,96,6601,20895,436786,184455,995,0.029,0.00067,378301,0.942,177,732,'Amorpha fruticosa'
2904,301647,116499,40305,2.89,12.892,4718.5,259.826,60.807,96.017,20153,58.249,34365,154828,3687837,0.346,2762,31.333,272,522,615,861,1814.5,4695499,618,0.346,2.493,5343,633,401,2602353,39042,66.697674,0,214,56,2988,53.861,2899,247001,0.999,4,0.000137,351.257,945,183,721,'Amorpha fruticosa'
1764,270534,112161,31.312,3582,8798,3100,239705,47.392,86.114,15.656,56.08,30.833,193205,2758285,0.279,2218,41.49,179,423,569,0.886,1336,3511958,502,0.279,3302,0.19,0.55,303,1493.466,10036,96.221496,1,229,95,0,50695,2568,149940,1,-0,0,412575,938,0.22,738,'Amorpha fruticosa'
2573,290.333,118258,39409,3.001,9.18,3410.5,256878,57.237,92416,19705,59129,33875,170.897,3660308,0.333,2591,32.761,0.234,484,754,885,837.5,4660.449,552,0.333,2.607,9833,619,384,2282667,6856,81.265817,0,201,93,2326,50695,2568,218823,0.999,5,0.000307,368.646,0.944,237,0.744,'Amorpha fruticosa'
2472,265848,111866,36765,3043,12775,4489.5,248234,56102,84.622,18383,55933,33496,165.598,3230176,0.329,2603,28.59,252,502,551,934,2017.5,4112787,601,0.329,2275,774,0.663,0.44,2206152,13481,83.005388,1,211,101,2253,49.689,2467,210232,0.999,5,0.000307,375413,941,192,737,'Amorpha fruticosa'
2001,261948,103.856,34.307,3.027,14952,4878.5,228076,50475,83381,17153,51.928,30366,163313,2798.35,0.33,2376,34291,0.236,486,0.41,871,2877.5,3562.97,562,0.33,2.729,23.223,605,366,1739.052,10.889,83.88117,0,253,8,4.469,25.863,668.516,170431,997,19,0.000307,341398,0.947,201,747,'Amorpha fruticosa'
1377,205238,86585,28,3092,24646,6704,189.79,41872,65329,14,43293,24.667,115.847,1904108,0.323,2292,30.59,0.234,484,205,925,5327,2424386,568,0.323,2434,12.654,0.641,0.411,1171762,6.27,69.222524,0,198,96,2614,37.068,1372001,117142,0.999,0.009,0.000105,319147,0.949,187,0.761,'Amorpha fruticosa'
1706,201.439,83726,30,2.791,16842,4430,190.557,46606,64.12,15,41863,29789,75836,1972741,358,3.421,23785,0.31,557,385,946,2724,2511772,679,358,1893,1965,727,528,1504.561,34596,95.982111,1,226,111,3.414,41.267,1701001,145151,0.999,0.007,0.000179,374365,0.94,183,0.756,'Amorpha fruticosa'
2019,239.823,99639,33,3.019,9399,2942,221.03,50702,76.338,16.5,49.82,30638,103555,2582467,331,3011,28487,259,509,0.686,922,923,3288099,614,331,2267,205,664,441,1779.177,18186,91.418919,1,213,108,0,44294,1960001,171615,1,-0,0,362.618,937,0.112,0.717,'Amorpha fruticosa'
1965,238894,97329,32467,2998,10725,3279.5,219423,50019,76042,16233,48665,30439,111398,2481842,0.334,2884,29044,264,514,599,0.918,1314.5,3159.979,622,0.334,2311,0.404,0.658,433,1726106,7.997,78.973935,0,216,95,2842,44294,1960001,167151,0.999,6,0.000124,332719,0.944,125,0.71,'Amorpha fruticosa'
1546,205095,85726,29272,2929,9244,2489.5,194513,44367,65.284,14636,42863,29.598,70859,1970876,341,3516,27.208,268,518,621,948,943.5,2509397,616,341,2165,0.57,0.68,462,1340905,14838,93.666118,1,218,106,0,89.437,7997,131410,1,-0,0,315478,935,161,764,'Amorpha fruticosa'
15502,489931,170,114794,1.481,29934,15987,463661,140491,155.95,57397,85,72596,90162,15326965,675,7645,15.484,0.683,826,0.97,946,485,19514898,794,675,1232,0.018,0.901,812,15012069,8.966,145.528157,3,212,195,0,89.437,7997,1317670,1,-0,0,35842,0.984,675,955,'Anagyris foetida'
15172,475931,169169,114852,1473,29.157,15495.5,455594,138988,151494,57426,84584,72176,63618,15259.76,679,9049,14929,675,0.822,0.979,0.957,323.5,19429.33,0.781,679,1188,4,917,0.842,14696069,12.266,114.789256,4,213,110,0,89.437,7997,1289620,1,-0,0,38046,0.984,672,956,'Anagyris foetida'
8677,367505,134183,82287,1631,21.606,9108,351226,105109,116.98,41144,67.091,51518,84307,8672,613,5.611,15565,614,0.783,953,956,431,11041.533,0.786,613,1239,3,899,807,8309495,21639,83.204261,1,180,84,0,89.437,7997,737545,1,-0,0,38856,0.984,685,0.96,'Anagyris foetida'
8002,353647,133454,76717,1.74,20043,8403,339.71,100.938,112569,38.358,66727,49.55,106.653,8041.048,575,4798,15.629,0.572,0.756,0.952,961,401,10238.18,782,575,1244,17,897,804,7648353,1203,87.324899,2,159,90,1051,89.437,7997,680264,1,2,3,39635,983,0.69,961,'Anagyris foetida'
7974,369789,127945,79182,1.616,20621,8288.5,336916,100.761,117.707,39591,63973,49089,81785,7956831,619,5428,17149,0.62,0.788,0.962,0.911,314.5,10130952,787,619,1365,66,856,733,7604.211,4489,82.548661,1,156,111,13.916,8235,65.886,691085,972,157,3,41227,982,0.692,0.96,'Anagyris foetida'
7925,343.22,118.95,83.9,1.418,22517,8414.5,328.771,100.451,109.25,41.95,59475,51.889,35342,7838174,705,8728,14864,713,0.844,0.942,958,489.5,9979873,794,705,1183,17,919,845,7581.78,6.378,114.532828,9,200,162,0,61254,3750215,673625,1,-0,0,44.13,982,684,0.959,'Anagyris foetida'
7509,339907,118596,77.761,1525,21.931,8171,324612,97779,108196,38.88,59298,51441,44132,7243026,0.656,7.743,15386,0.68,0.824,919,955,662,9222107,0.814,0.656,1224,6,904,0.817,7169.093,4.8,126.061149,14,199,151,1183,61254,3750215,638410,0.999,4,0,40817,983,695,0.962,'Anagyris foetida'
11720,433.002,152611,96949,1574,26.452,12682,404347,122.157,137829,48475,76305,61137,104949,11620331,635,5968,15998,0.641,0.8,924,934,962,14795465,792,635,1273,15,0.886,0.786,11286998,10.469,138.493853,0,200,166,2052,54.209,2940.481,996644,0.999,5,0,84764,982,259,0.869,'Anagyris foetida'
9648,380.617,136033,89.332,1.523,26289,11235,366037,110834,121154,44.666,68017,54.384,84.83,9544269,657,5905,15015,664,815,0.859,0.962,1587,12152.141,794,657,1195,8,915,0.837,9267383,15542,144.565237,15,202,129,1.981,50287,2565.58,820466,0.999,6,0,85566,983,235,0.86,'Anagyris foetida'
