 ,Area,Mean,Mode,Min,Max,Median,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
11,3404,95.885,112,1,241,93,191_011,307.907,124.680,42.648,2.923,9.945,3895.500,277.719,65.834,98.010,21.324,62.340,37.157,158.042,4176.260,0.342,2.956,27.851,0.279,0.528,0.874,0.902,491.500,5317.379,0.640,0.342,2.216,0.432,0.672,0.451,3096.093,6.620,49.319,0.513,-0.189,326391,0.006,7.509,0.036,786.246,0.892,0.019,0.380,213.286,14.604,67.111,27.197,5.215,48.175,16.159,4.020,33.672,85.547,8.025,18.219,226.626,51.817,213.908,66.607
12,3944,93.921,106,1,243,92,201_011,336.191,137.419,46.748,2.940,10.894,4703.000,306.288,70.864,107.013,23.374,68.710,43.631,218.085,5045.459,0.340,2.954,28.657,0.266,0.516,0.839,0.911,759.000,6424.078,0.614,0.340,2.280,0.067,0.662,0.439,3607.809,6.916,55.431,0.399,-0.441,370423,0.006,7.639,0.045,521.417,0.939,0.011,0.364,210.067,14.494,73.649,27.446,5.239,51.949,18.216,4.268,39.335,85.243,13.158,35.653,222.218,59.670,211.256,72.771
13,3176,91.212,15,0,240,91,211_011,297.806,119.403,41.896,2.850,9.992,3748.000,271.480,63.591,94.795,20.948,59.701,38.753,149.320,3928.956,0.351,3.171,27.925,0.284,0.533,0.847,0.912,572.000,5002.502,0.635,0.351,2.222,0.090,0.671,0.450,2878.194,13.747,60.463,0.457,-0.536,289689,0.006,7.618,0.053,492.117,0.951,0.010,0.389,198.616,14.093,84.387,25.357,5.036,49.475,17.478,4.181,38.179,80.484,17.255,45.503,222.218,58.517,199.764,83.467
14,3567,97.214,122,0,236,100,221_011,311.179,130.096,44.649,2.914,10.224,4178.500,290.541,67.392,99.051,22.324,65.048,39.315,208.420,4562.089,0.343,2.723,27.147,0.268,0.518,0.854,0.934,611.500,5808.632,0.614,0.343,2.160,4.245,0.680,0.463,3255.821,7.752,53.776,0.201,-0.570,346762,0.006,7.598,0.043,464.905,0.940,0.006,0.355,211.197,14.533,70.749,30.697,5.540,54.183,19.774,4.447,38.476,87.223,11.668,31.026,220.576,59.344,211.972,70.101
15,3369,94.657,91,0,242,90,231_011,328.174,134.807,42.302,3.187,9.791,4146.500,299.627,65.495,104.461,21.151,67.404,39.966,268.137,4478.876,0.314,2.441,31.967,0.236,0.486,0.812,0.913,777.500,5702.682,0.591,0.314,2.544,0.255,0.627,0.393,3040.826,16.490,55.657,0.459,-0.426,318898,0.006,7.639,0.045,490.284,0.926,0.019,0.495,210.690,14.515,73.527,25.362,5.036,48.683,16.100,4.012,37.333,84.051,10.710,26.383,225.481,57.847,211.688,72.766
16,3117,103.240,104,1,240,104,241_011,283.463,112.606,42.057,2.677,10.147,3589.500,260.859,62.998,90.229,21.028,56.303,32.793,150.495,3719.519,0.373,2.673,25.778,0.313,0.559,0.868,0.920,472.500,4735.839,0.658,0.373,2.051,1.436,0.698,0.487,2833.537,10.998,54.195,0.149,-0.598,321798,0.006,7.641,0.043,539.957,0.915,0.017,0.429,215.288,14.673,66.721,30.805,5.550,55.097,20.620,4.541,40.841,88.905,9.448,22.790,220.342,60.371,216.142,66.008
17,3247,90.755,82,1,245,83,251_011,295.362,119.854,43.827,2.735,9.922,3736.000,272.533,64.298,94.017,21.913,59.927,34.704,183.467,4125.568,0.366,2.562,26.868,0.288,0.536,0.869,0.923,489.000,5252.837,0.618,0.366,2.138,0.470,0.684,0.468,2951.638,13.675,50.859,0.754,0.108,294680,0.006,7.497,0.038,779.457,0.903,0.018,0.396,209.293,14.467,71.613,25.346,5.035,44.750,14.913,3.862,31.644,83.184,8.372,17.763,225.331,54.426,209.785,71.238
18,3511,91.308,105,0,249,88,261_011,306.718,122.147,45.516,2.684,10.701,4106.500,283.381,66.861,97.631,22.758,61.074,38.003,206.154,4366.544,0.373,2.647,26.795,0.300,0.547,0.855,0.924,595.500,5559.657,0.632,0.373,2.132,2.046,0.685,0.469,3204.282,12.857,52.732,0.514,-0.260,320583,0.006,7.573,0.041,527.717,0.931,0.015,0.449,212.944,14.593,71.147,23.206,4.817,45.299,14.147,3.761,32.415,83.433,8.664,24.858,228.674,52.498,213.418,70.758
19,2966,70.389,14,1,244,55,271_011,291.362,119.921,39.756,3.016,9.058,3412.500,263.967,61.453,92.744,19.878,59.960,34.286,183.562,3744.414,0.332,2.531,28.622,0.263,0.512,0.869,0.906,446.500,4767.536,0.622,0.332,2.278,0.242,0.663,0.439,2674.638,7.011,56.444,1.317,0.933,208775,0.008,7.286,0.047,711.844,0.932,0.013,0.421,188.290,13.722,91.825,16.211,4.026,32.836,10.084,3.176,26.831,71.529,13.450,38.505,228.639,52.132,189.171,91.227
20,3194,97.375,94,0,246,94,281_011,303.220,118.343,41.938,2.822,9.928,3691.000,268.298,63.771,96.518,20.969,59.171,36.987,156.704,3897.936,0.354,2.955,28.786,0.290,0.539,0.865,0.885,497.000,4963.006,0.644,0.354,2.291,1.207,0.661,0.437,2890.780,17.345,52.980,0.527,-0.137,311016,0.006,7.565,0.041,1026.694,0.872,0.013,0.348,213.626,14.616,68.064,27.098,5.206,48.964,17.261,4.155,35.645,85.995,8.597,19.949,222.885,57.781,214.307,67.505
