Var1,Area,Perimeter,x_Feret,x_Breadth,x_AspRatio,x_RFactor,x_ConvexArea,x_ConvexPerimeter,x_ArEquivD,x_PerEquivD,x_MinR,x_MaxR,x_avgR,x_VarianceR,x_EquivEllAr,x_ModRatio,x_HaralickRatio,x_ThinnessR,x_Roundness,x_Compactness,x_Solidity,x_Convexity,x_Concavity,x_ArBBox,x_Rectang,x_Sphericity,x_Elongation,x_BendingEnergy,x_Jaggedness,x_Circularity,x_Endocarp,DistanceCM_FB,Mean,Min,Max,Mode,StD,Skewness,Kurtosis,IntensitySum,Uniformity,Entropy,SmothnessR,GLCM_Contrast,GLCM_Correlation,GLCM_Energy,GLCM_Homogeneity,MeanIntensityR,StdDevR,MeanSqrtR,MeanIntensityG,StdDevG,MeanSqrtG,MeanIntensityB,StdDevB,MeanSqrtB,MeanIntensityH,StdDevH,MeanSqrtH,MeanIntensityS,StdDevS,MeanSqrtS,MeanIntensityV,StdDevV,MeanSqrtV,Label
178,1028,131.397,43.829,33093,1324,49.193,6773.5,121889,36179,41825,16546,21915,18746,4448,1139.159,755,8889,16795,0.681,825,152,0.928,5745.5,1450.423,0.709,755,1.336,341,865,748,896.603,14.299,109.095595126523,1,237,93,3.68,32016,1023.001,87498,998,0.011,0.0002083,506092,907,461,0.796,153.849109653233,42.6937994655991,12.4035926107412,95.9137769447048,36.4773705516579,9.79355793083927,59.5388940955951,43.6445339445975,7.7161450281598,0.0949516653705055,0.138208282543006,0.308142281049689,0.611128037956513,0.265218330499552,0.781746786342299,0.605428450667989,0.164184794846434,0.778092829081459,Hedysarum coronarium
179,1087,146752,42942,35,1227,40299,5436.5,124.3,37202,46713,17.5,21471,18.501,4882,1180425,815,8373,19813,0.751,866,0.2,847,4349.5,1502964,723,815,1577,154,0.796,634,940248,6817,103.000951474786,6,221,107,0,34828,1211001,92395,1,-0,0,556619,0.896,474,0.801,144.431969552807,47.2666185017858,12.0179852534777,90.2873453853473,46.4859141153187,9.50196534330384,59.7497621313035,47.7485795095671,7.72979703040795,0.109595831915142,0.168454238253724,0.331052612004712,0.609713244681279,0.274121318709515,0.780841369729652,0.570690845320049,0.180369341732933,0.755440828470403,Hedysarum coronarium
180,1216,136225,47927,34,1.41,10.361,1560,131.15,39348,43.362,17,23.964,19.999,7.242,1279.821,0.709,7432,15261,674,821,779,963,344,1629519,746,0.709,1214,113,907,823,1079775,7981,70.966033966034,1,206,27,4416,34828,1211001,103514,998,0.01,0.0002998,875.777,867,0.29,0.71,104.352647352647,50.0100641419756,10.2153143540787,56.9260739260739,47.8445245505745,7.54493697296895,55.7052947052947,49.3353429291625,7.46359797318255,0.462242663590873,0.442070184541133,0.679884301621146,0.588961703462795,0.303260933372132,0.767438403692957,0.41999177293295,0.184069609118582,0.648067722489671,Hedysarum coronarium
181,1335,148225,47927,36,1331,11.234,1691.5,138.038,41228,47.182,18,23.964,21.091,7651,1355105,0.751,7625,16458,0.74,0.86,789,0.931,356.5,1725.373,774,0.751,1.31,0.923,0.874,764,1186775,11.361,66.3632183908046,1,203,29,4792,26005,678.126,113722,997,0.018,0.0003531,814664,0.874,306,723,102.982375478927,49.0903495526299,10.1480232301137,50.7210727969349,51.1972493037618,7.12187284335622,50.823754789272,49.7412280980331,7.12907811636764,0.469823608296326,0.440693445474919,0.685436801095714,0.642423116706585,0.316767124805199,0.801513017178501,0.415244534595448,0.18226226004755,0.644394704040503,Hedysarum coronarium
182,1306,150.853,50448,36,1401,10.484,1661.5,137252,40778,48018,18,25224,21115,6568,1426.383,0.714,8.239,17425,653,0.808,0.786,0.91,355.5,1816128,0.719,0.714,1.387,1.872,0.849,721,1155147,5666,147.903225806452,7,218,194,2905,36097,1301001,111115,998,0.009,0.0001298,913018,862,0.286,711,189.568548387097,51.3820825224982,13.7683894623553,141.207661290323,44.0324073592949,11.8830829876056,72.9304435483871,40.6323403751754,8.53993229179173,0.106792750177005,0.0439851814924852,0.32679160053007,0.624865628725986,0.193622991206863,0.790484426618252,0.745026881720429,0.198755304428279,0.86314939710367,Hedysarum coronarium
183,1168,131983,45222,36,1256,38897,5526,127.481,38564,42011,18,22611,19.693,3665,1278613,0.796,10287,14.914,727,853,0.211,966,4358,1627.98,0.717,0.796,1187,139,0.918,843,1036017,10.02,154.904052936311,50,222,160,3628,34132,1163001,99404,998,0.01,0.0002024,587582,0.901,409,0.761,196.295285359801,42.0036617680644,14.0105419366919,146.733664185277,29.7919140973824,12.113367169589,88.2597187758478,34.3117820049897,9.39466437803117,0.100675073666259,0.048903317646553,0.317293355849534,0.544159218667227,0.17541044482589,0.737671484244326,0.772004086994599,0.160317536385996,0.878637631219264,Hedysarum coronarium
184,1206,139296,47.634,35255,1351,41324,6184,130875,39186,44339,17628,23.817,20197,4419,1318951,0.74,9.607,16.089,677,823,195,0.94,4978,1679.341,718,0.74,1.28,99,884,0.781,1066704,7.582,93.4267161410019,2,188,131,0,35468,1256001,102510,1,-0,0,569235,899,0.448,0.776,126.184601113173,43.7514107943746,11.2331919378765,82.4990723562152,38.3976348877075,9.08289999703923,63.4935064935065,37.2289891956854,7.96828127600341,0.108033347596599,0.176200692383911,0.328684267339645,0.535484922914302,0.227149357197177,0.731768353315653,0.500920368147259,0.163222616983434,0.707757280532852,Hedysarum coronarium
185,1187,135296,46228,37119,1245,10752,1561.5,128858,38876,43066,18559,23114,19329,5831,1347675,0.803,8005,15421,0.707,841,0.76,0.952,374.5,1715.913,0.692,0.803,1227,192,903,815,1051704,4043,141.416666666667,6,219,148,0,35468,1256001,100895,1,-0,0,750698,878,373,763,187.314102564103,49.649010349779,13.6862742396937,132.988247863248,41.3142498590827,11.5320530636677,64.3226495726496,38.9339569677264,8.02014024644517,0.110683481266165,0.0874203754394735,0.33269127019831,0.658727211522961,0.200262645140701,0.811620115277437,0.737384782973018,0.188811810390807,0.85871111729907,Hedysarum coronarium
186,1261,142711,46325,36,1287,49191,7159,133.163,40069,45426,18,23162,20063,4.108,1309807,777,9899,16151,748,865,0.176,0.933,5898,1667.698,0.756,777,1285,0.208,882,778,1118289,9411,65.7260273972603,0,203,25,3605,35468,1256001,107313,998,0.009,0.0001998,602182,895,436,778,97.6583400483481,46.9339716033935,9.88222343647158,52.3190975020145,46.4398643182182,7.23319414242522,50.9355358581789,45.5085497361499,7.13691360870922,0.376688212320111,0.434050138142612,0.613749307388702,0.596093392309869,0.289806631256436,0.772070846690813,0.391635461598016,0.175268626518943,0.625807847184754,Hedysarum coronarium
187,1053,133296,43863,34,1.29,10417,1435.5,121.69,36616,42.43,17,21932,18485,3833,1171309,775,9442,16.874,0.697,835,0.734,0.913,382.5,1491356,706,775,1.343,0.227,863,745,919704,4157,95.8953393295176,2,218,34,0,34438,1184001,89505,1,-0,0,578495,898,0.44,777,142.385936222404,51.7720662103756,11.9325578239707,79.4832379394931,51.0209786958748,8.9153372308339,58.4309076042518,51.2974534745403,7.64401122475967,0.191071450437548,0.318866966797424,0.437117204463,0.632575477481123,0.285496096337225,0.795346136899604,0.562660125374761,0.196056196415791,0.750106742653845,Hedysarum coronarium
188,1189,139.64,46065,35839,1285,38.43,5561.5,130016,38909,44449,17919,23033,20024,3.52,1296636,778,10672,16.4,713,845,214,0.931,4372.5,1650.929,0.72,778,1305,87,875,0.766,1049.36,7.302,70.5606469002695,1,202,28,3103,34438,1184001,101172,998,0.01,0.0001481,650.277,889,409,764,103.993710691824,56.1241634503265,10.1977306638205,56.544474393531,53.6754673852641,7.51960599988663,55.0503144654088,51.7249851124487,7.41958991221272,0.400178081683916,0.431571191928589,0.632596302300223,0.61710355483865,0.302318380911344,0.785559389759075,0.421158148794109,0.207260701759913,0.648966985904606,Hedysarum coronarium
189,1026,132711,42.72,31,1.378,17.26,2316.5,120807,36143,42243,15.5,21.36,18594,3239,1040119,726,10332,17166,716,846,0.443,0.91,1290.5,1324.321,775,726,1.366,1138,856,732,893289,9.48,78.6529680365297,2,177,62,0,11.652,134491,87210,1,-0,0,575376,893,0.471,807,122.108675799087,38.8697735258225,11.050279444389,61.916894977169,36.6446126919706,7.86872893021287,50.9022831050228,40.6646173081165,7.13458359717109,0.238884895197524,0.36638176927851,0.488758524424408,0.614638239150551,0.275838130303191,0.783988672845821,0.485701495209956,0.144013106452237,0.696922876084547,Hedysarum coronarium
190,1173,136.61,45177,37.318,1.211,21771,3090,127993,38646,43.484,18.659,22.589,19408,5334,1324.143,826,8404,15.91,732,855,0.38,937,1917,1685951,696,826,1266,138,889,0.79,1036.39,3.52,64.58109360519,2,224,28,0,11.652,134491,99705,1,-0,0,777955,0.876,361,754,95.6209453197405,41.0997244892762,9.7785962857529,51.0213160333642,44.7013228557814,7.14292069348136,52.855421686747,45.9101672421215,7.27017342893187,0.448621520929987,0.442120035786019,0.669792147557723,0.585254332323959,0.312629890465394,0.765019171213349,0.386309037053191,0.150730459250977,0.621537639289199,Hedysarum coronarium
191,1417,152125,53.6,37941,1413,14294,2407,142238,42.476,48423,18.97,26.8,20835,11468,1597219,708,6152,16332,628,792,589,935,990,2033642,0.697,708,1.3,0.236,877,769,1264875,2924,69.4421906693712,1,194,29,0,11.652,134491,120445,1,-0,0,731668,889,0.197,642,101.891480730223,45.5928949451594,10.0941310042134,55.6135902636917,40.1271301806962,7.45745199539975,55.3995943204868,41.0195516071111,7.44309037433288,0.39024171478979,0.438903208797811,0.624693296578241,0.554264907620754,0.258067560468324,0.744489696114563,0.40806984051227,0.170679618208222,0.638803444349097,Hedysarum coronarium
192,1157,132225,42544,37,1.15,11455,1531,125741,38381,42089,18.5,21272,19.42,2238,1236.32,0.87,12.982,15.111,0.814,902,0.756,951,374,1574132,735,0.87,1203,121,912,0.832,1024775,2253,64.9247211895911,2,191,34,0,11.652,134491,98345,1,-0,0,696637,887,371,0.761,98.1663568773234,43.1067169224425,9.90789366501899,51.1217472118959,43.9855901469142,7.14994735728144,48.7044609665428,43.841151090254,6.97885814202744,0.380308493585097,0.426093206631108,0.616691570872423,0.613545150108921,0.29548351560916,0.783291229434443,0.396169545885269,0.157217493035417,0.629420007534928,Hedysarum coronarium
193,1093,127154,42544,34,1251,54592,7296.5,123.73,37305,40.474,17,21272,19.106,2465,1136078,799,12169,14793,769,877,0.15,973,6203.5,1446499,0.756,799,1177,111,922,0.85,965846,10.984,124.187042842215,8,230,123,11083,11.652,134491,93942,985,84,2,614479,0.891,446,0.783,160.876698014629,47.6651439971119,12.6837178309291,114.829676071055,36.8224741099936,10.7158609579938,75.969696969697,38.670371298071,8.71605971581752,0.108557846338414,0.0988178040740244,0.329481177517645,0.531821829652249,0.226119698332207,0.729261153258728,0.637031573339889,0.177527583810397,0.798142577074979,Hedysarum coronarium
194,1284,146711,49578,38749,1.279,34468,5368.5,136387,40433,46699,19375,24789,20046,6551,1508845,782,7.832,16.763,665,816,239,0.93,4084.5,1921121,0.668,782,1334,215,866,0.75,1137289,1.688,125.133398247322,14,221,125,5466,25303,638641,109417,997,0.018,0.0004592,773.59,0.88,317,743,173.873417721519,41.3948507535911,13.1861069964383,112.32035053554,27.9316487627575,10.5981295772198,63.222005842259,38.2840438602855,7.95122668789282,0.0892239442769804,0.0940815228939598,0.298703773456213,0.623298907154373,0.229673380273498,0.78949281640454,0.68349466368826,0.159259578442288,0.826737360767167,Hedysarum coronarium
195,1135,126569,47202,34648,1.362,43.142,6397.5,126.407,38015,40.288,17324,23601,19039,6.833,1284484,0.734,7.283,14114,649,805,177,0.999,5262.5,1635455,0.694,0.734,1123,301,0.944,0.89,1008431,4.924,72.6323308270677,0,189,25,0,18.59,353.427,96475,1,-0,0,606.397,895,425,0.766,110.218045112782,51.492040388919,10.4984782284282,57.0902255639098,46.4194503106452,7.55580740648607,54.0977443609023,45.1633544794369,7.35511688288516,0.333203889034226,0.421805606834961,0.577238156252881,0.612523260108016,0.276388432566559,0.782638652321757,0.439481055580127,0.193157844680442,0.662933673590449,Hedysarum coronarium
196,1278,140711,46755,38,1.23,53117,7802,134016,40339,44.79,19,23377,20373,3.961,1395399,813,10237,15493,0.744,863,0.164,0.952,6524,1776.678,0.719,813,1.233,0.27,0.901,0.811,1137289,19795,78.6962794229309,1,197,76,7584,18.59,353.427,109165,0.994,0.037,0.0008837,693.089,889,366,759,115.249050873197,42.4378529284947,10.7354110714586,63.8230827638573,38.3550420937741,7.98893502063055,59.3113135914958,38.8946472886804,7.70138387508997,0.299285105753206,0.414646264211492,0.547069562078906,0.536118776427479,0.238163005434403,0.732201322333878,0.456849345660816,0.159849435931453,0.675906314263165,Hedysarum coronarium
197,1395,153439,47.634,40741,1169,14.354,2148,139933,42145,48841,20371,23.817,21.203,3237,1524192,855,11784,16877,0.783,885,649,912,753,1940662,0.719,855,1.343,2114,863,745,1241.561,13698,60.369095276221,2,202,18,5479,26.49,702096,118864,997,17,0.0004614,679717,897,0.219,0.64,100.803042433947,47.7015926973553,10.0400718341029,44.0096076861489,44.0766003962442,6.63397374777357,38.5316253002402,41.6655352487475,6.20738473918285,0.263994266778582,0.386122908478304,0.513803723982789,0.707225173059501,0.290058727926788,0.840966808536164,0.402069106265405,0.181131513265398,0.634089194250623,Hedysarum coronarium
198,1328,141882,46239,40,1156,14195,2062,135109,41.12,45.163,20,23119,20642,3.401,1452626,865,11193,15159,0.791,889,644,0.952,734,1849.54,718,865,1206,0.013,0.91,0.829,1186118,10165,59.8358333333333,1,218,7,0,20641,425861,112880,1,-0,0,704342,0.891,165,655,87.2933333333333,53.2467836793834,9.34309013835002,48.5666666666667,47.2538145696378,6.96897888263888,45.8725,43.9943840955103,6.77292403618998,0.336780001298582,0.402983083639754,0.580327494866977,0.637885503318164,0.309877448312848,0.798677346190665,0.357424836601308,0.196454963876685,0.597850179059359,Hedysarum coronarium
199,1285,147539,45.31,38597,1.174,12069,1718,134844,40449,46963,19298,22655,20.62,2695,1373.512,852,12.56,16.94,797,893,748,914,433,1748.81,735,852,1348,0.19,861,742,1137461,1815,70.8652766639936,1,217,35,0,20641,425861,109225,1,-0,0,667012,895,158,0.666,102.281475541299,50.5137824436226,10.1134304536739,58.0400962309543,47.1725768064344,7.61840509758797,54.3656776263031,45.7695502089126,7.37330845864346,0.23400082164228,0.36675879583626,0.483736314165352,0.571682142272646,0.278738531985191,0.756096648764327,0.408497256159882,0.189983557530115,0.639137900738082,Hedysarum coronarium
200,1369,142468,49.406,39,1.267,11387,1767.5,138.41,41.75,45349,19.5,24.703,20.562,7841,1513.347,789,7343,14.826,0.714,845,775,972,398.5,1926.853,0.71,789,1.18,0.16,0.921,848,1226532,16116,81.5472027972028,1,203,45,0,20641,425861,116365,1,-0,0,614123,895,111,0.646,115.600524475524,39.540364877778,10.7517684347983,68.5026223776224,39.9156809464411,8.2766311007331,59.2237762237762,45.1030773692589,7.6956985533333,0.273129702635419,0.378767965625445,0.522618123140998,0.54522645956061,0.295467377358456,0.738394514850029,0.460808309337721,0.146117756191882,0.678828630316755,Hedysarum coronarium
201,1181,143681,46.4,36425,1274,29135,4247,128907,38778,45735,18212,23.2,19.034,8585,1327421,785,6496,17.48,698,836,278,897,3066,1690125,0.699,785,1391,107,848,0.719,1037319,2.624,120.339688041594,18,228,97,0,20641,425861,100385,1,-0,0,900.536,0.864,271,0.702,163.045060658579,36.6616660781173,12.7689099244446,110.162045060659,31.595265401862,10.4958108338831,60.6143847487002,45.2731270049449,7.78552405100005,0.0935330656085496,0.0717738835915694,0.305831760300577,0.628827505258648,0.265471716720973,0.792986447083838,0.641135691711693,0.14073923107861,0.800709492707369,Hedysarum coronarium
202,1284,144368,44.944,38639,1163,12.072,1704.5,134072,40433,45.954,19.32,22.472,20255,2752,1363931,0.86,12.21,16232,809,0.9,753,929,420.5,1736611,0.739,0.86,1.292,1.644,0.88,774,1139632,2677,75.2595486111111,2,193,81,0,20641,425861,109140,1,-0,0,633382,0.901,161,645,117.230034722222,35.9851794089869,10.827281963735,58.5277777777778,37.5900322193422,7.650344945019,51.2960069444444,39.0324339017165,7.16212307520922,0.213990687908346,0.359341565977195,0.462591275218573,0.6017583369821,0.264058234917968,0.775730840551089,0.463868464052288,0.137085828631857,0.681078897083361,Hedysarum coronarium
203,1161,145539,44407,37505,1.184,39789,5551,128597,38448,46327,18752,22204,19174,2369,1308.06,845,12457,18244,0.75,866,209,884,4390,1665474,0.697,845,1452,158,0.83,0.689,1015461,4.264,76.6332781456954,1,195,29,0,20641,425861,98685,1,-0,0,750752,884,327,0.744,112.200331125828,45.4710184734962,10.5924657717563,62.3940397350993,40.4949334243883,7.89898979206198,56.5943708609271,42.3939315986294,7.5229230263859,0.305736813404734,0.402294345186284,0.552934727978569,0.562751814405925,0.274191247880293,0.750167857486526,0.449535774574731,0.169266451280911,0.670474290763435,Hedysarum coronarium
204,1270,145196,46755,37716,1.24,56.531,8303.5,134186,40.212,46217,18858,23377,20197,3.939,1384967,807,10176,16.6,0.74,0.86,153,924,7033.5,1763395,0.72,807,1321,193,0.87,757,1124.804,1896,191.170018281536,117,229,209,6393,20641,425861,108344,995,0.028,0.0006281,872079,868,257,672,218.950639853748,34.3000567945591,14.7969807681752,192.486288848263,22.9427798807455,13.8739428011025,111.387568555759,14.8968268289511,10.5540309150466,0.133421803745445,0.0330431820668639,0.365269494682276,0.483563030077557,0.10223957181856,0.695386964270655,0.863304297953183,0.125348587494539,0.929141699609475,Hedysarum coronarium
205,1340,142468,47011,39,1205,38639,5706.5,135.52,41305,45349,19.5,23505,20728,2.14,1439961,0.83,14171,15147,772,879,235,951,4366.5,1833415,731,0.83,1205,218,0.911,0.83,1197532,11055,79.6574977817214,1,189,52,0,36497,1330001,113900,1,-0,0,594849,0.906,152,0.683,121.349600709849,41.1587950467252,11.0158794796353,63.416149068323,41.3308342064991,7.96342571186063,53.9627329192547,44.3237166805235,7.34593308703902,0.255854956408763,0.382003511634353,0.505821071534948,0.592331323430684,0.286167347586089,0.769630640912044,0.480714024740331,0.1563051314738,0.693335434505068,Hedysarum coronarium
206,1047,125397,41773,33541,1245,41213,5408.5,121.857,36.511,39915,16771,20.887,18524,2.666,1100434,0.803,11.346,15019,764,0.874,0.194,972,4361.5,1401116,747,0.803,1195,96,915,0.837,921.603,5374,169.721123829344,69,223,197,0,36497,1330001,88995,1,-0,0,697002,887,0.37,763,212.40790842872,38.777303551497,14.5742206799787,165.060353798127,33.9735267567464,12.8475816322811,81.5379812695109,34.6181380637927,9.02983838556986,0.112898536646095,0.0326559045791198,0.336003774749771,0.612599778517881,0.172950512186545,0.782687535685781,0.834661606578115,0.148346540716355,0.913598164719104,Hedysarum coronarium
207,938,118912,41437,28,1.48,48146,6267.5,115.457,34559,37851,14,20.718,18381,1.467,911.241,0.676,15.174,15075,696,0.834,0.15,971,5329.5,1160228,0.808,0.676,1.2,75,0.913,0.834,819.088,7.677,74.2032288698955,3,206,46,0,36497,1330001,79730,1,-0,0,550187,0.896,0.471,0.811,112.119658119658,34.6583943584058,10.5886570498651,59.7996201329535,35.2212010535962,7.73302141035142,48.8024691358025,40.4962199989302,6.98587640427473,0.210338835675565,0.332451582447211,0.458627120519017,0.59650694596827,0.295444245269876,0.772338621310801,0.446105431726347,0.128864992570046,0.667911245395933,Hedysarum coronarium
208,1335,146953,47011,38,1237,38.788,5728.5,137059,41228,46777,19,23505,20788,5011,1403039,0.808,9287,16176,769,877,233,0.933,4393.5,1786404,747,0.808,1287,32,0.881,777,1188047,12.21,158.725694444444,52,220,143,3312,36497,1330001,113596,0.999,0.009,0.0001686,584818,0.908,156,0.658,204.22337962963,36.9955665461272,14.2906745687399,148.994212962963,28.7466451479011,12.2063185671587,89.2719907407407,33.0177992339363,9.44838561558221,0.0931056862441546,0.0330625060912563,0.305132243861829,0.560179328097894,0.154714947609953,0.748451286389364,0.801933551198257,0.142656902433205,0.895507426657231,Hedysarum coronarium
1,1134,125154,44407,34,1306,8544,1192,124542,37.998,39838,17,22204,19299,4377,1185.83,0.766,9225,13.813,732,856,951,995,58,1509845,0.751,0.766,1099,142,0.954,0.91,1008846,14019,75.4106175514626,1,150,98,0,23239,539538,96390,1,-0,0,155444,895,0.014,442,105.437703141928,39.0172547614794,10.2682862806765,63.7930660888407,31.2330383577623,7.98705615911399,56.4062838569881,31.5279142156124,7.51041169690371,0.219953755023384,0.348985803371803,0.46899227608073,0.530205294009561,0.235272593455978,0.728151971781689,0.420402353790921,0.144284586889477,0.648384418220334,Lathyrus aphaca
2,1173,126811,41785,36,1161,9412,1235.5,125126,38646,40365,18,20893,19.556,0.751,1181448,862,22.562,13.709,855,925,0.949,987,62.5,1504266,0.78,862,1091,0.101,0.957,917,1046.189,5.549,59.6374881065652,1,131,22,0,23239,539538,99705,1,-0,0,162276,0.916,0.018,465,83.4243577545195,39.8809028942244,9.13369354393498,49.7259752616556,36.0076589852156,7.05166471562961,48.3672692673644,35.2893918238598,6.95465809852393,0.365320354366768,0.410149777774912,0.604417367691207,0.576870591257171,0.287233137619032,0.759519974231864,0.34360926102125,0.142158712078514,0.58618193508607,Lathyrus aphaca
3,1099,122912,41593,34,1.223,8916,1165,121.658,37407,39124,17,20.797,19128,1075,1110687,0.817,18.45,13.746,809,899,943,0.99,66,1414171,777,0.817,1094,276,956,914,976.088,2718,104.991869918699,3,157,130,0,23239,539538,93415,1,-0,0,126245,0.808,0.013,434,137.526648599819,34.2155168719666,11.7271756446222,95.2475158084914,28.1733554480961,9.75948337815539,69.710027100271,29.8795944010709,8.34925308637072,0.0960085136848914,0.12170160405457,0.309852406291917,0.51065321545564,0.190379067161917,0.714600038801874,0.544194696848928,0.126559345004109,0.737695531265392,Lathyrus aphaca
4,1098,122225,40162,36,1.116,9293,1172.5,121352,37.39,38906,18,20081,18795,604,1135559,0.896,24189,13606,867,0.931,0.936,993,74.5,1445838,759,0.896,1083,188,961,924,975775,6.576,116.213747645951,1,195,175,0,23239,539538,93330,1,-0,0,143701,914,16,462,148.851224105461,53.2414564031899,12.2004599956502,109.129943502825,50.3383843457986,10.4465278204208,66.9651600753296,45.4531867693139,8.18322430801757,0.127005678141134,0.143091234130635,0.356378560159185,0.595349945861412,0.249046668502776,0.771589233894183,0.590484103245818,0.198617252628504,0.768429634544255,Lathyrus aphaca
5,1061,119.74,41881,35,1197,8645,1137.5,120045,36755,38.114,17.5,20.94,18514,1893,1151258,836,13458,13513,0.77,878,0.933,1003,76.5,1465.827,0.724,836,1075,287,0.964,0.93,941.26,21233,94.383445945946,1,173,132,0,23239,539538,90185,1,-0,0,202176,898,19,0.459,120.414695945946,51.0342184137705,10.9733630189631,87.4442567567568,47.5612371287323,9.35116339054969,61.7677364864865,40.7654894357729,7.85924528733431,0.140205265844342,0.193098073090726,0.374439936230555,0.571736402305442,0.255681898979015,0.75613252959084,0.48038222045575,0.188981333395962,0.693096111990069,Lathyrus aphaca
6,1095,121.497,41049,35,1173,9.053,1167.5,121385,37339,38674,17.5,20524,19152,589,1128386,853,24963,13481,0.827,0.91,938,0.999,72.5,1436.706,762,853,1073,155,965,932,973503,9182,50.7127071823204,1,138,27,0,23239,539538,93075,1,-0,0,198857,903,21,0.468,79.5303867403315,38.8045616734756,8.91798109105035,37.8931860036832,32.2161995140698,6.15574414702912,41.0847145488029,34.7841031313985,6.40973591880375,0.533592251691024,0.430566736045988,0.730473991111952,0.645794935222241,0.285991024301426,0.803613672869148,0.328776225038819,0.137413762742441,0.573390115923547,Lathyrus aphaca
7,1100,120811,39925,35,1141,9264,1162,120.886,37424,38455,17.5,19962,18918,1.408,1097494,877,15943,13.268,879,937,0.947,1001,62,1397.373,787,877,1056,0.056,973,0.947,979189,8112,137.262013729977,4,208,181,0,23239,539538,93500,1,-0,0,238.17,0.896,0.022,0.471,161.145308924485,46.6467623944699,12.6943022228276,136.696796338673,41.6888140593421,11.6917405179329,77.5171624713959,37.9810081340766,8.80438313974329,0.134882328113899,0.0702221898578291,0.367263295353482,0.552849900941024,0.185110858286203,0.743538768956283,0.638479831291784,0.17163826151044,0.799049329698601,Lathyrus aphaca
8,1013,118912,41.11,34,1209,8467,1093.5,117.909,35914,37851,17,20555,18413,1.539,1097772,0.827,14842,13.959,763,0.874,0.926,992,80.5,1397727,725,0.827,1111,66,0.949,0.9,894.088,11.109,85.6469408224674,1,179,104,0,23239,539538,86105,1,-0,0,131042,868,0.013,431,108.23370110331,34.5166066143764,10.4035427188679,77.8004012036108,26.6530075429368,8.82045357130861,66.7251755265797,26.1454208268894,8.16854794480511,0.136200258967703,0.221903432323381,0.369053192599256,0.432170104520384,0.177472282306745,0.657396459163254,0.434428776525656,0.123250012095979,0.659112112258344,Lathyrus aphaca
9,1153,125154,41.11,36,1.142,12.482,1612,124098,38315,39838,18,20555,19544,0.394,1162347,0.876,31.148,13585,0.869,932,715,992,459,1479.946,779,0.876,1081,159,0.962,925,1027846,11.39,68.4034582132565,0,163,27,0,23239,539538,98005,1,-0,0,705446,887,0.351,0.702,104.059558117195,48.8490837977692,10.2009586861821,54.6272814601345,43.8241830983425,7.39102709101614,45.7070124879923,39.7747460322699,6.76069615409481,0.299697036169572,0.392005882495003,0.547445920771698,0.658703073430612,0.28872093944641,0.811605244826949,0.416778738392571,0.180919421426498,0.645584028916896,Lathyrus aphaca
10,1054,119.497,40804,34,1.2,11.83,1516.5,119539,36633,38037,17,20402,18.749,0.891,1089622,833,19866,13548,0.806,898,695,1,462.5,1387.35,0.76,833,1078,0.03,963,0.928,934503,10918,79.0292044310171,0,153,25,0,23239,539538,89590,1,-0,0,617.022,905,258,672,114.622356495468,43.9475652524546,10.7061830964853,66.7321248741188,40.2557943286774,8.16897330599867,48.8690835850957,37.0272755403036,6.99064257311842,0.145925486337728,0.254129998152822,0.382001945463276,0.635526975489151,0.266939197278845,0.797199457782775,0.454751890685781,0.165169098121109,0.674352942223715,Lathyrus aphaca
11,1077,121154,42059,34,1237,11095,1466,120459,37031,38565,17,21.03,18855,1.36,1123137,0.808,16165,13.629,775,0.88,735,0.994,389,1430.022,753,0.808,1085,96,0.96,922,955846,8.563,66.5953079178886,1,158,26,5284,23239,539538,91790,996,21,0.0004292,692.589,892,0.32,0.692,104.695014662757,48.5825990263526,10.2320581831202,52.3294232649071,43.0414398275237,7.23390788335787,39.9677419354839,36.2327485839134,6.32200458205179,0.235131855881333,0.349224097136699,0.484903965627559,0.695479948816104,0.266689051562475,0.833954404518679,0.419826346961072,0.178376814423812,0.647940079761294,Lathyrus aphaca
12,1029,118811,41617,33941,1226,11262,1472.5,118185,36196,37819,16971,20809,17896,2676,1109405,816,10939,13718,0.756,0.87,0.699,995,443.5,1412.538,728,816,1092,158,0.957,0.916,910189,3617,58.072759538598,2,161,23,0,10.809,115.717,87465,1,-0,0,662.749,897,0.291,0.68,92.9103815439219,43.3962488304475,9.63900314057019,44.1881100266193,38.1915584103846,6.64741378482033,38.0931677018634,35.4253175538814,6.17196627517223,0.242864415514909,0.368639312075367,0.492812759082908,0.675751451674304,0.26964582135103,0.822041027975066,0.37353724098335,0.159711978822387,0.611176930997359,Lathyrus aphaca
13,1055,121255,43.139,33988,1.269,11002,1491,120.409,36.651,38597,16994,21.57,18.522,2931,1151573,0.788,10819,13936,722,0.85,708,993,436,1466229,0.72,0.788,1109,49,0.95,902,933745,3278,96.1321626617375,1,213,126,10929,10.809,115.717,90740,983,94,2,698812,892,297,674,135.626617375231,44.0253601272971,11.6458841388377,83.3780036968577,41.0824670563227,9.13115566053157,58.0129390018484,41.1286402622147,7.61662254558071,0.126300929303233,0.213090883770838,0.355388420328003,0.608141924667255,0.261226260521154,0.779834549547053,0.536522779167119,0.164114290875955,0.732477152658784,Lathyrus aphaca
