Var1,Area,Perimeter,x_Feret,x_Breadth,x_AspRatio,x_RFactor,x_ConvexArea,x_ConvexPerimeter,x_ArEquivD,x_PerEquivD,x_MinR,x_MaxR,x_avgR,x_VarianceR,x_EquivEllAr,x_ModRatio,x_HaralickRatio,x_ThinnessR,x_Roundness,x_Compactness,x_Solidity,x_Convexity,x_Concavity,x_ArBBox,x_Rectang,x_Sphericity,x_Elongation,x_BendingEnergy,x_Jaggedness,x_Circularity,x_Endocarp,DistanceCM_FB,Mean,Min,Max,Mode,StD,Skewness,Kurtosis,IntensitySum,Uniformity,Entropy,SmothnessR,GLCM_Contrast,GLCM_Correlation,GLCM_Energy,GLCM_Homogeneity,MeanIntensityR,StdDevR,MeanSqrtR,MeanIntensityG,StdDevG,MeanSqrtG,MeanIntensityB,StdDevB,MeanSqrtB,MeanIntensityH,StdDevH,MeanSqrtH,MeanIntensityS,StdDevS,MeanSqrtS,MeanIntensityV,StdDevV,MeanSqrtV,Label
21,2156,254.492,106104,34.114,3.11,8101,2700.5,231417,52394,81007,17.057,53052,31215,163.941,2842.85,322,2438,30.04,244,494,0.798,909,544.5,3619.629,596,322,2391,0.572,647,418,1901.508,8512,89.8263995891115,2,208,93,0,54.194,2935,183260,1,-0,0,312282,894,81,718,108.091936312275,43.8843578865189,10.396727192356,87.6959424756035,39.6129916164186,9.36461117588998,52.803800719055,36.8021923631063,7.26662237350029,0.139502077098338,0.104470384327801,0.373499768538533,0.583115363620125,0.245518252293607,0.76361990782072,0.436595264710917,0.163818332654952,0.660753558227966,Amorpha fruticosa
22,2940,290.919,117456,40.362,2.91,11495,4241.5,260.679,61183,92602,20.181,58728,35382,161234,3723369,344,2786,28787,271,521,693,0.896,1301.5,4740.74,0.62,344,2291,10967,0.661,0.437,2649.081,9435,84.9104674127716,0,212,93,3025,54.194,2935,250064,0.999,4,0.0001407,425.646,924,0.104,0.694,102.265306122449,52.2792244905038,10.1126310188026,82.0618828176432,45.6257776154438,9.0588014007176,54.056616194865,38.2830207516385,7.35232046328675,0.15209765723346,0.156862830070716,0.389996996441588,0.574069138710157,0.247632615170304,0.757673504030699,0.414333475325614,0.196112457689166,0.643687404976681,Amorpha fruticosa
23,2333,268.333,102.45,37421,2738,9459,3044.5,236.77,54.502,85413,18.71,51225,31301,160166,3011005,365,2.473,30.863,0.283,532,0.766,882,711.5,3833.73,609,365,2456,5083,638,0.407,2064667,16127,87.3386786401539,0,229,56,2.422,48.27,2328,198422,0.999,5,0.0003358,358.989,935,0.104,0.707,108.9409878127,56.2049509858923,10.4374799550802,82.5753688261706,50.4831146173183,9.08709903248394,55.1334188582425,42.1048285955882,7.42518813621867,0.151481952626156,0.188768285819056,0.389206824999455,0.599198215044855,0.257910737751652,0.774078946261204,0.438561672263517,0.210076271983463,0.662239890269015,Amorpha fruticosa
24,1781,217.279,90.25,32235,2.8,9828,2786.5,201851,47.62,69.162,16118,45125,25104,96.72,2284885,0.357,2553,26.508,278,528,639,929,1005.5,2909.206,612,0.357,2109,531,0.689,474,1563721,11429,81.1143003587904,0,233,19,4.674,29796,885913,151664,998,0.014,0.0003358,383151,0.93,0.103,0.712,104.56176319836,52.9110056291166,10.2255446406712,75.2665299846233,48.2012522680607,8.67562850660534,49.6950281906715,40.327019266997,7.04947006452765,0.125342958404679,0.156321592576578,0.354038074795182,0.612253089520405,0.259404274126257,0.782466030905115,0.418084240359393,0.201462285153794,0.646594339875778,Amorpha fruticosa
25,1408,238894,99045,28338,3495,7475,2326,217114,42341,76042,14169,49523,28885,199.991,2204.378,0.286,2043,40533,183,0.427,605,909,918,2806.701,502,0.286,3.226,1.782,557,0.31,1169106,11842,98.2918065815984,0,211,137,3091,37.483,1403001,119796,0.999,8,0.0001469,284212,882,84,706,118.659838817999,48.759025130228,10.8931096945729,95.1903962390866,43.9771257201758,9.75655657694284,60.8858294157152,37.1617007055469,7.80293723002532,0.135872132998838,0.129455179847987,0.368608373479005,0.55048767805119,0.231102451717788,0.741948568332866,0.474749469969315,0.183935863142069,0.68902066004534,Amorpha fruticosa
26,2360,264534,105309,37215,2.83,10922,3613.5,238885,54816,84204,18608,52655,31.856,147939,3078052,353,2.619,29.652,271,521,653,903,1253.5,3919097,602,353,2.36,10.847,0.651,424,2095466,14064,85.4577039274924,0,223,92,0,48.374,2338,200600,1,-0,0,375.387,0.933,0.101,0.7,106.420694864048,56.1969371652754,10.3160406583169,80.4123867069486,48.8006328476648,8.96729539532119,56.4456193353474,41.6698781945291,7.51302997034801,0.149941637455334,0.177469768805059,0.387222981569191,0.571093448459407,0.268887953186673,0.755707250500752,0.430741662223802,0.209586677822448,0.656309120936013,Amorpha fruticosa
27,2343,243078,100603,36429,2762,9464,2991,224625,54619,77374,18.214,50302,30.591,113851,2878.35,0.362,2867,25219,295,0.543,0.783,924,648,3664829,639,0.362,2.007,3168,706,498,2099922,6006,88.0513347022587,0,229,105,2.996,48.374,2338,199300,0.999,5,0.000138,427204,932,155,0.72,105.767453798768,46.9876206613389,10.2843304983245,85.3341889117043,40.9220603040304,9.2376506164557,55.6067761806982,36.2668644904176,7.45699511738463,0.143503440899897,0.128130752341775,0.378818480145699,0.561636603832769,0.239364996149519,0.749424181510557,0.428556186334904,0.173098063753707,0.654642029154029,Amorpha fruticosa
28,1593,214593,91285,28505,3202,8895,2551,199.186,45036,68307,14252,45643,26123,110177,2043.653,312,2489,28908,243,493,624,0.928,958,2602.059,612,312,2.3,1.602,659,435,1378.407,4769,103.167351732237,1,230,121,0,21416,458.424,135405,1,-0,0,384259,0.942,196,737,128.535525543159,54.6710900295609,11.3373509050024,98.175572519084,50.2965384159349,9.90835871974183,62.254844392249,42.6644285683163,7.89017391394188,0.125991436107145,0.12378896729505,0.354952723763525,0.589039700191894,0.245318715542001,0.767489218290325,0.513066906151773,0.2046530025041,0.716286888161282,Amorpha fruticosa
29,1368,230.936,92.13,27.727,3323,7129,2063.5,203.664,41735,73509,13864,46065,30.883,128486,2006316,301,2725,38985,205,0.453,0.663,882,695.5,2554.52,536,301,3102,19347,568,322,1137.064,14305,78.1905697445973,0,213,12,6.002,21416,458.424,116664,996,0.026,0.0005538,333865,0.949,0.178,731,100.196463654224,55.7552521249569,10.0098183626989,72.66077275704,48.4888840289163,8.52412885619639,48.9430255402751,38.7995321885263,6.99592921206862,0.154121608436262,0.203233975198676,0.392583250325663,0.627921884503708,0.25379402170482,0.79241522228167,0.404460880619439,0.208238688107799,0.635972389824778,Amorpha fruticosa
30,1703,226.35,89.157,31.798,2804,11446,3206,200.469,46565,72.05,15.899,44.579,29229,86163,2226623,0.357,3.149,30085,273,522,531,0.886,1503,2835.024,601,0.357,2394,1014,0.646,418,1476.65,9914,90.8204334365325,2,195,98,18654,7375,53.204,149047,0.964,0.21,5,345754,948,201,752,108.292569659443,47.2593042136152,10.4063715895332,88.3444272445821,44.6855415308187,9.39917162544562,57.7368421052632,39.3881804326741,7.59847630155304,0.137831467446767,0.118829930766946,0.371256605930139,0.555131966720984,0.248602567259656,0.745071786287055,0.436259333454745,0.177751150350655,0.660499306172796,Amorpha fruticosa
