Area,Mean,Mode,Min,Max,Median,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,Label
59182,41,0,0,236,0,1269.315,387.181,216.38099999999997,1.7890000000000001,60.157,73172.5,944.669,274.505,404.035,108.19,193.59,137.305,799.926,65799.405,0.5589999999999999,4.855,27.224,0.503,0.7090000000000001,0.809,0.7440000000000001,13990.5,83778.405,0.706,0.5589999999999999,2.166,0.005,0.679,0.462,57912.685,12.81,6.245,34.467,1188.503,10737,0.998,0.013999999999999999,0.0005995,440.17699999999996,0.973,Brassicaceae
106241,177,0,0,254,0,1762.366,448.81300000000005,299.0,1.501,77.75399999999999,109632.0,1209.127,367.791,560.9780000000001,149.5,224.40599999999998,188.507,640.79,105396.546,0.6659999999999999,7.447,29.235,0.672,0.8190000000000001,0.9690000000000001,0.6859999999999999,3391.0,134195.051,0.792,0.6659999999999999,2.326,0.035,0.6559999999999999,0.43,104478.634,16.164,9.574,22.444000000000003,502.85400000000004,45327,0.996,0.031,0.001,492.825,0.953,Brassicaceae
108320,128,0,0,255,0,1715.17,450.014,302.0,1.49,92.773,131159.0,1217.485,371.37199999999996,545.956,151.0,225.007,191.68099999999998,568.54,106739.036,0.6709999999999999,8.039,27.158,0.6809999999999999,0.825,0.826,0.71,22839.0,135904.362,0.797,0.6709999999999999,2.161,0.013000000000000001,0.68,0.46299999999999997,106604.83,31.022,8.129,26.730999999999998,714.313,32971,0.997,0.022000000000000002,0.001,501.79400000000004,0.951,Brassicaceae
79051,130,0,0,235,0,1726.7020000000002,415.44800000000004,254.558,1.632,63.773999999999994,83236.0,1070.625,317.255,549.626,127.279,207.72400000000002,157.393,714.377,83060.398,0.613,5.888999999999999,37.716,0.583,0.764,0.95,0.62,4185.0,105755.78300000001,0.747,0.613,3.0010000000000003,0.042,0.5770000000000001,0.33299999999999996,77324.298,19.997,9.34,22.079,486.36199999999997,33429,0.996,0.031,0.001,489.819,0.9470000000000001,Brassicaceae
87290,122,0,0,250,0,1410.285,393.65,312.13,1.261,98.39200000000001,121680.5,1091.115,333.37800000000004,448.908,156.065,196.825,168.05,268.816,96501.76400000001,0.7929999999999999,10.25,22.785,0.7170000000000001,0.847,0.7170000000000001,0.774,34390.5,122869.86300000001,0.71,0.7929999999999999,1.8130000000000002,0.028999999999999998,0.743,0.552,85879.715,22.135,9.106,25.319000000000003,641.196,31457,0.997,0.025,0.001,486.348,0.9470000000000001,Brassicaceae
81271,211,0,0,242,0,1612.56,341.658,314.53700000000003,1.0859999999999999,79.737,85585.5,1034.275,321.67900000000003,513.294,157.268,170.829,160.69799999999998,20.546,84402.002,0.9209999999999999,35.452,31.996,0.8859999999999999,0.9420000000000001,0.95,0.6409999999999999,4314.5,107463.966,0.7559999999999999,0.9209999999999999,2.546,0.040999999999999995,0.627,0.39299999999999996,79658.44,28.61,11.857999999999999,17.75,313.715,54226,0.9940000000000001,0.047,0.002,501.458,0.945,Brassicaceae
67744,138,0,0,242,0,1437.506,334.22900000000004,281.0,1.189,79.34100000000001,83309.0,954.4680000000001,293.691,457.57199999999995,140.5,167.114,146.511,80.072,73763.291,0.841,16.373,30.503,0.772,0.879,0.813,0.664,15565.0,93918.339,0.721,0.841,2.427,0.017,0.642,0.41200000000000003,66306.494,27.006999999999998,10.607000000000001,20.247,408.756,35473,0.995,0.037000000000000005,0.002,493.885,0.9440000000000001,Brassicaceae
69097,321,0,0,249,0,1563.489,341.86699999999996,254.0,1.3459999999999999,90.412,97103.5,974.4780000000001,296.60900000000004,497.67400000000004,127.0,170.933,150.47,162.707,68199.422,0.743,11.796,35.378,0.753,0.868,0.7120000000000001,0.623,28006.5,86834.201,0.7959999999999999,0.743,2.815,0.006,0.596,0.355,67533.511,63.641000000000005,15.913,13.299000000000001,175.312,82422,0.9890000000000001,0.08,0.004,503.978,0.9440000000000001,Brassicaceae
115638,44,0,0,236,0,1521.1729999999998,453.746,325.745,1.393,85.087,121290.5,1254.64,383.712,484.204,162.873,226.873,196.15900000000002,419.597,116086.064,0.718,9.576,20.01,0.715,0.846,0.953,0.825,5652.5,147805.36800000002,0.782,0.718,1.5919999999999999,0.18899999999999997,0.792,0.628,114116.82699999999,20.274,4.518,46.363,2151.4,11284,0.9990000000000001,0.008,0.0003139,488.86300000000006,0.9229999999999999,Brassicaceae
96076,185,0,0,246,0,1850.491,400.76199999999994,324.298,1.236,80.595,101471.5,1140.427,349.754,589.029,162.149,200.38099999999997,174.447,132.17,102075.354,0.809,15.174000000000001,35.641999999999996,0.762,0.873,0.9470000000000001,0.616,5395.5,129966.37800000001,0.7390000000000001,0.809,2.8360000000000003,0.12300000000000001,0.594,0.353,94225.509,27.663,10.298,20.835,432.93800000000005,47464,0.995,0.035,0.002,477.634,0.924,Brassicaceae
85088,203,0,0,246,0,1753.555,346.598,323.0,1.073,84.09,91562.5,1057.972,329.14599999999996,558.174,161.5,173.299,165.27200000000002,11.380999999999998,87926.16699999999,0.932,48.989,36.139,0.902,0.95,0.929,0.603,6474.5,111951.073,0.76,0.932,2.8760000000000003,0.009000000000000001,0.59,0.348,83334.445,25.866,11.427999999999999,18.7,348.57300000000004,51976,0.9940000000000001,0.043,0.002,480.88199999999995,0.924,Brassicaceae
63407,166,0,0,242,0,1573.405,401.214,234.308,1.712,53.662,67638.0,979.956,284.134,500.83,117.154,200.607,140.981,709.426,73833.533,0.584,5.292999999999999,39.043,0.502,0.708,0.937,0.623,4231.0,94007.773,0.674,0.584,3.1069999999999998,0.37799999999999995,0.5670000000000001,0.322,61833.595,3.109,11.932,17.764,314.08799999999997,42523,0.9940000000000001,0.046,0.002,481.025,0.924,Brassicaceae
60111,119,0,0,248,0,1335.0720000000001,346.602,221.405,1.565,59.75,65060.5,933.434,276.651,424.967,110.70200000000001,173.301,140.546,554.521,60270.920999999995,0.639,5.968,29.651999999999997,0.637,0.7979999999999999,0.924,0.6990000000000001,4949.5,76739.32,0.7829999999999999,0.639,2.36,0.07400000000000001,0.6509999999999999,0.424,58775.928,15.258,10.818,21.213,449.38800000000003,30685,0.996,0.034,0.002,502.83099999999996,0.9209999999999999,Brassicaceae
63679,45,0,0,238,0,1335.055,330.151,247.0,1.337,120.794,125288.0,937.03,284.743,424.961,123.5,165.076,142.905,188.90200000000002,64047.19,0.748,10.398,27.99,0.7440000000000001,0.862,0.508,0.7020000000000001,61609.0,81547.416,0.7809999999999999,0.748,2.227,0.086,0.67,0.449,62343.945,44.092,6.225,34.076,1161.3339999999998,11645,0.998,0.013999999999999999,0.0005957000000000001,498.62699999999995,0.9209999999999999,Brassicaceae
