*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,Label
3.19,4.782,0.56,0.313,26622.675,8.927999999999999,5.093999999999999,23.831999999999997,573.234,2358430,0.996,0.027000000000000003,0.000399,29.412,0.9440000000000001,Asteraceae
1.9680000000000002,0.133,0.713,0.508,29894.646,57.123000000000005,6.854,18.043,326.357,2626945,0.9940000000000001,0.046,0.000722,35.914,0.945,Asteraceae
2.802,2.801,0.597,0.35700000000000004,28303.93,61.886,4.593999999999999,23.479,553.297,2497966,0.996,0.027000000000000003,0.00032439999999999997,39.293,0.9420000000000001,Asteraceae
1.71,0.017,0.765,0.585,68390.959,24.35,25.495,5.088,24.11,6255923,0.93,0.414,0.01,65.869,0.977,Asteraceae
1.7919999999999998,0.397,0.747,0.5579999999999999,60835.138,46.026,26.706999999999997,4.8580000000000005,21.686999999999998,5600009,0.9259999999999999,0.419,0.011000000000000001,65.805,0.975,Asteraceae
2.205,0.893,0.6729999999999999,0.45399999999999996,67814.413,101.943,4.87,25.601,659.1139999999999,5895176,0.997,0.025,0.0003645,62.391999999999996,0.978,Asteraceae
2.62,4.946000000000001,0.618,0.382,60143.342000000004,33.086,5.52,23.683000000000003,560.131,5247554,0.996,0.026000000000000002,0.0004684,78.867,0.975,Asteraceae
1.915,0.782,0.723,0.522,53546.775,91.431,2.655,44.602,2000.9029999999998,4652266,0.9990000000000001,0.009000000000000001,0.0001084,76.899,0.977,Asteraceae
1.883,0.929,0.7290000000000001,0.531,44916.100999999995,24.861,3.7,36.091,1309.879,3911258,0.998,0.013000000000000001,0.0002105,77.889,0.977,Asteraceae
1.949,0.223,0.716,0.513,26322.699,33.529,5.08,25.164,638.082,2312257,0.997,0.025,0.0003967,75.708,0.977,Asteraceae
2.1180000000000003,0.045,0.687,0.47200000000000003,24954.653,12.068,1.61,81.15899999999999,6631.978,2192070,1.0,0.002,3.984e-05,70.318,0.9790000000000001,Asteraceae
2.623,2.3369999999999997,0.617,0.381,21351.498,3.3080000000000003,6.395,18.387,339.345,1895370,0.9940000000000001,0.045,0.0006286000000000001,60.067,0.982,Asteraceae
3.609,0.006,0.526,0.27699999999999997,22654.403,9.147,5.519,20.43,419.39300000000003,2020181,0.995,0.036000000000000004,0.00046819999999999994,69.98,0.9790000000000001,Asteraceae
2.1319999999999997,0.07,0.685,0.469,61164.567,75.46600000000001,5.832999999999999,22.629,512.303,5325073,0.996,0.03,0.000523,111.869,0.9740000000000001,Asteraceae
3.1189999999999998,0.004,0.5660000000000001,0.321,62070.654,117.54799999999999,6.524,20.831999999999997,436.955,5430376,0.995,0.037000000000000005,0.0006542000000000001,126.47200000000001,0.975,Asteraceae
8.295,0.059000000000000004,0.34700000000000003,0.121,42459.485,47.286,12.855,9.939,97.95,3850161,0.98,0.14,0.003,116.484,0.978,Asteraceae
2.75,0.009000000000000001,0.603,0.364,43231.325,115.104,4.146,28.618000000000002,833.0930000000001,3786587,0.997,0.02,0.00026430000000000003,118.33200000000001,0.978,Asteraceae
2.648,18.66,0.615,0.37799999999999995,29075.662999999997,60.198,5.419,23.159000000000002,541.06,2563576,0.996,0.03,0.0004513999999999999,110.92399999999999,0.9790000000000001,Asteraceae
1.6230000000000002,0.013999999999999999,0.785,0.616,48515.042,9.986,3.8810000000000002,35.062,1245.59,4214759,0.998,0.013999999999999999,0.0002316,114.60600000000001,0.978,Asteraceae
2.8819999999999997,0.07200000000000001,0.589,0.34700000000000003,30706.218999999997,30.291,3.425,32.891999999999996,1087.9260000000002,2704547,0.998,0.015,0.0001804,107.70299999999999,0.9790000000000001,Asteraceae
2.501,1.5430000000000001,0.632,0.4,28826.29,75.256,5.292999999999999,22.218000000000004,497.335,2539652,0.996,0.032,0.0004306,111.46,0.9790000000000001,Asteraceae
3.745,0.889,0.517,0.267,23051.632999999998,17.660999999999998,8.753,14.012,194.903,2064976,0.99,0.068,0.001,102.684,0.98,Asteraceae
2.016,1.296,0.7040000000000001,0.496,30731.783,16.619,4.606,26.105,683.27,2693898,0.997,0.023,0.0003261,109.90100000000001,0.9790000000000001,Asteraceae
4.785,0.31,0.457,0.209,67920.872,23.579,17.793,7.0489999999999995,47.908,6121477,0.9620000000000001,0.228,0.005,205.454,0.9670000000000001,Asteraceae
2.4130000000000003,0.006999999999999999,0.644,0.414,71850.62599999999,53.794,3.5180000000000002,32.937,1091.535,6241957,0.998,0.015,0.0001903,139.503,0.976,Asteraceae
2.544,0.036000000000000004,0.627,0.39299999999999996,53637.484000000004,28.436999999999998,6.1770000000000005,20.287,412.11400000000003,4688651,0.995,0.036000000000000004,0.0005865,208.422,0.9670000000000001,Asteraceae
1.922,0.46299999999999997,0.721,0.52,49105.734000000004,106.906,1.9669999999999999,66.10600000000001,4426.902,4269110,1.0,0.004,5.947e-05,208.771,0.9670000000000001,Asteraceae
1.99,0.096,0.7090000000000001,0.502,39602.19,53.62,9.974,13.235999999999999,173.733,3482373,0.9890000000000001,0.077,0.002,223.922,0.965,Asteraceae
1.349,0.01,0.861,0.741,54378.469000000005,26.628,2.302,60.14,3665.7470000000003,4706645,0.9990000000000001,0.005,8.152e-05,218.667,0.966,Asteraceae
2.852,0.019,0.5920000000000001,0.35100000000000003,38659.935,35.764,4.894,21.794,478.07599999999996,3396699,0.996,0.033,0.0003682,223.78,0.965,Asteraceae
3.864,0.215,0.509,0.259,30942.68,8.595,8.512,12.565999999999999,157.251,2758252,0.987,0.08800000000000001,0.001,228.196,0.9640000000000001,Asteraceae
2.3890000000000002,0.127,0.647,0.419,28761.646,32.501,5.672000000000001,21.997,484.413,2532694,0.996,0.032,0.0004944,228.269,0.9640000000000001,Asteraceae
2.718,0.27,0.607,0.368,26899.315,28.697,18.378,7.144,49.281000000000006,2440045,0.963,0.231,0.005,231.206,0.9640000000000001,Asteraceae
2.349,0.034,0.652,0.426,56861.496,32.533,5.115,25.011999999999997,626.765,4956559,0.997,0.025,0.0004022,180.658,0.9590000000000001,Asteraceae
3.048,0.22699999999999998,0.573,0.32799999999999996,56409.844000000005,95.595,4.258,26.319000000000003,696.0269999999999,4930837,0.997,0.023,0.0002788,185.495,0.9570000000000001,Asteraceae
2.625,0.022000000000000002,0.617,0.381,57120.744000000006,70.179,3.7569999999999997,29.873,898.307,4980762,0.998,0.018000000000000002,0.000217,181.78400000000002,0.9590000000000001,Asteraceae
2.623,0.043,0.617,0.381,37913.521,17.914,6.021,19.864,396.41900000000004,3330998,0.995,0.039,0.0005572999999999999,185.40400000000002,0.958,Asteraceae
2.635,0.386,0.616,0.38,36709.793,14.597999999999999,6.185,19.166,368.994,3227754,0.9940000000000001,0.042,0.000588,191.22299999999998,0.956,Asteraceae
4.217,3.563,0.48700000000000004,0.237,29381.455,6.485,8.982999999999999,13.698,188.231,2626018,0.9890000000000001,0.078,0.001,189.30200000000002,0.956,Asteraceae
3.719,6.569,0.519,0.26899999999999996,26809.035,17.928,6.8,17.586,310.23,2386793,0.993,0.049,0.0007106,174.535,0.96,Asteraceae
4.004,0.22399999999999998,0.5,0.25,29260.261000000002,16.743,9.59,11.296,126.59899999999999,2618306,0.9840000000000001,0.106,0.001,200.924,0.953,Asteraceae
2.0380000000000003,0.161,0.7,0.491,21682.895,14.924000000000001,3.738,35.243,1262.878,1909906,0.998,0.013000000000000001,0.00021480000000000002,210.39,0.9520000000000001,Asteraceae
2.124,0.057999999999999996,0.6859999999999999,0.47100000000000003,74708.394,21.469,6.976,30.694000000000003,941.923,17318,0.998,0.017,0.0007479,352.048,0.97,Brassicaceae
1.4780000000000002,0.003,0.8220000000000001,0.6759999999999999,113648.597,43.512,21.886999999999997,10.710999999999999,112.806,233371,0.983,0.11,0.006999999999999999,392.168,0.9740000000000001,Brassicaceae
2.095,0.879,0.691,0.47700000000000004,111548.93800000001,31.162,13.390999999999998,17.101,291.297,88667,0.993,0.051,0.003,401.76300000000003,0.973,Brassicaceae
1.7469999999999999,0.247,0.757,0.5720000000000001,104943.979,12.825999999999999,4.717,44.985,2027.832,11193,0.9990000000000001,0.009000000000000001,0.0003421,406.901,0.972,Brassicaceae
2.036,0.141,0.701,0.491,93588.60699999999,20.986,11.853,19.422,376.5,58124,0.995,0.04,0.002,399.55300000000005,0.973,Brassicaceae
2.158,0.001,0.6809999999999999,0.46299999999999997,92859.683,11.318,6.659,32.471,1055.0739999999998,19401,0.998,0.016,0.0006814,394.231,0.9740000000000001,Brassicaceae
2.08,1.169,0.693,0.48100000000000004,87478.612,12.302999999999999,6.69,32.476,1056.337,18378,0.998,0.016,0.0006877000000000001,402.164,0.973,Brassicaceae
2.022,0.12,0.703,0.495,99797.754,20.46,6.356,33.245,1105.379,19405,0.998,0.015,0.0006209,452.876,0.9740000000000001,Brassicaceae
2.2430000000000003,8.033,0.6679999999999999,0.446,101381.33300000001,43.138000000000005,8.163,26.644000000000002,710.273,31641,0.997,0.023,0.001,453.115,0.975,Brassicaceae
2.252,0.03,0.6659999999999999,0.444,87513.21,39.813,7.499,28.886,836.74,23220,0.998,0.02,0.0008641,471.477,0.975,Brassicaceae
2.839,3.592,0.593,0.35200000000000004,81924.345,16.029,9.799,21.432,458.276,38240,0.996,0.033,0.001,447.346,0.973,Brassicaceae
1.828,1.21,0.74,0.547,81854.205,31.522,5.691,37.336,1395.329,12708,0.9990000000000001,0.012,0.0004978,466.34,0.972,Brassicaceae
2.0069999999999997,0.11800000000000001,0.706,0.498,76513.352,38.89,5.92,35.787,1280.9489999999998,12900,0.998,0.013000000000000001,0.0005386,493.908,0.971,Brassicaceae
2.166,0.005,0.679,0.462,57912.685,12.81,6.245,34.467,1188.503,10737,0.998,0.013999999999999999,0.0005995,440.17699999999996,0.973,Brassicaceae
2.326,0.035,0.6559999999999999,0.43,104478.634,16.164,9.574,22.444000000000003,502.85400000000004,45327,0.996,0.031,0.001,492.825,0.953,Brassicaceae
2.161,0.013000000000000001,0.68,0.46299999999999997,106604.83,31.022,8.129,26.730999999999998,714.313,32971,0.997,0.022000000000000002,0.001,501.79400000000004,0.951,Brassicaceae
3.0010000000000003,0.042,0.5770000000000001,0.33299999999999996,77324.298,19.997,9.34,22.079,486.36199999999997,33429,0.996,0.031,0.001,489.819,0.9470000000000001,Brassicaceae
1.8130000000000002,0.028999999999999998,0.743,0.552,85879.715,22.135,9.106,25.319000000000003,641.196,31457,0.997,0.025,0.001,486.348,0.9470000000000001,Brassicaceae
2.546,0.040999999999999995,0.627,0.39299999999999996,79658.44,28.61,11.857999999999999,17.75,313.715,54226,0.9940000000000001,0.047,0.002,501.458,0.945,Brassicaceae
2.427,0.017,0.642,0.41200000000000003,66306.494,27.006999999999998,10.607000000000001,20.247,408.756,35473,0.995,0.037000000000000005,0.002,493.885,0.9440000000000001,Brassicaceae
2.815,0.006,0.596,0.355,67533.511,63.641000000000005,15.913,13.299000000000001,175.312,82422,0.9890000000000001,0.08,0.004,503.978,0.9440000000000001,Brassicaceae
1.5919999999999999,0.18899999999999997,0.792,0.628,114116.82699999999,20.274,4.518,46.363,2151.4,11284,0.9990000000000001,0.008,0.0003139,488.86300000000006,0.9229999999999999,Brassicaceae
2.8360000000000003,0.12300000000000001,0.594,0.353,94225.509,27.663,10.298,20.835,432.93800000000005,47464,0.995,0.035,0.002,477.634,0.924,Brassicaceae
2.8760000000000003,0.009000000000000001,0.59,0.348,83334.445,25.866,11.427999999999999,18.7,348.57300000000004,51976,0.9940000000000001,0.043,0.002,480.88199999999995,0.924,Brassicaceae
3.1069999999999998,0.37799999999999995,0.5670000000000001,0.322,61833.595,3.109,11.932,17.764,314.08799999999997,42523,0.9940000000000001,0.046,0.002,481.025,0.924,Brassicaceae
2.36,0.07400000000000001,0.6509999999999999,0.424,58775.928,15.258,10.818,21.213,449.38800000000003,30685,0.996,0.034,0.002,502.83099999999996,0.9209999999999999,Brassicaceae
2.227,0.086,0.67,0.449,62343.945,44.092,6.225,34.076,1161.3339999999998,11645,0.998,0.013999999999999999,0.0005957000000000001,498.62699999999995,0.9209999999999999,Brassicaceae
2.439,0.396,0.64,0.41,55243.27099999999,22.223000000000003,9.304,22.469,503.855,23418,0.996,0.03,0.001,479.51199999999994,0.92,Brassicaceae
2.0069999999999997,0.11699999999999999,0.706,0.498,100699.74900000001,31.362,15.258,15.197000000000001,229.52700000000002,102560,0.991,0.061,0.004,425.793,0.938,Brassicaceae
2.905,0.22399999999999998,0.5870000000000001,0.344,112549.63900000001,41.056000000000004,8.45,25.543000000000003,651.974,37938,0.997,0.024,0.001,361.014,0.9590000000000001,Brassicaceae
2.8819999999999997,0.278,0.589,0.34700000000000003,86788.88900000001,22.978,11.306,18.765,350.904,53329,0.9940000000000001,0.043,0.002,364.42,0.9570000000000001,Brassicaceae
2.0140000000000002,0.04,0.705,0.49700000000000005,75566.519,28.996,7.986000000000001,26.32,691.5310000000001,23345,0.997,0.022000000000000002,0.0009798,361.577,0.958,Brassicaceae
2.522,0.433,0.63,0.397,67836.832,33.66,7.973,26.393,696.922,20975,0.997,0.023,0.0009766,356.39300000000003,0.9590000000000001,Brassicaceae
2.702,0.057,0.608,0.37,48817.413,42.365,9.525,21.84,475.909,21854,0.996,0.032,0.001,352.17699999999996,0.96,Brassicaceae
1.8330000000000002,0.049,0.7390000000000001,0.546,5266.026999999999,10.347999999999999,12.556,18.186,329.649,3883,0.9940000000000001,0.042,0.002,1659.089,0.873,Plantaginaceae
1.733,0.177,0.76,0.5770000000000001,9175.944,14.687999999999999,5.358,40.169000000000004,1614.9289999999999,1287,0.9990000000000001,0.009000000000000001,0.00044130000000000005,1305.335,0.9259999999999999,Plantaginaceae
1.9340000000000002,0.278,0.7190000000000001,0.517,7015.773,14.177999999999999,8.049,26.068,679.595,2301,0.997,0.021,0.0009954,1598.832,0.8909999999999999,Plantaginaceae
1.8419999999999999,0.299,0.737,0.5429999999999999,6028.714,7.2170000000000005,21.609,10.25,103.44,13443,0.981,0.12300000000000001,0.006999999999999999,1530.1789999999999,0.89,Plantaginaceae
1.642,8.496,0.78,0.609,5704.411999999999,20.168,5.457000000000001,38.965,1518.655,849,0.9990000000000001,0.009000000000000001,0.0004577,1567.8339999999998,0.8959999999999999,Plantaginaceae
2.8810000000000002,0.27699999999999997,0.589,0.34700000000000003,7432.807,16.009,27.97,7.672999999999999,57.076,28660,0.968,0.20600000000000002,0.012,1485.786,0.905,Plantaginaceae
2.548,0.076,0.626,0.392,4850.559,16.246,17.336,12.372,151.54399999999998,7345,0.987,0.084,0.005,1696.0479999999998,0.8740000000000001,Plantaginaceae
1.528,0.037000000000000005,0.809,0.654,7588.571999999999,13.94,5.315,40.015,1601.9360000000001,1061,0.9990000000000001,0.009000000000000001,0.0004342,1132.327,0.943,Plantaginaceae
1.925,0.932,0.721,0.519,7469.63,5.018,9.237,22.934,524.616,3182,0.996,0.026000000000000002,0.001,1097.569,0.9440000000000001,Plantaginaceae
