Area,Mean,Mode,Min,Max,Median,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V,Label
139454,46337,0,85,234,0,1748.067,541.24,371.231,1.4580000000000002,91.713,155944.5,1396.871,421.37699999999995,556.427,185.61599999999999,270.62,213.13400000000001,829.248,157806.274,0.6859999999999999,7.401,21.912,0.606,0.779,0.894,0.799,16490.5,200925.18899999998,0.6940000000000001,0.6859999999999999,0.467,0.966,254.97,15.968,1.371,0.11,0.332,4.896,0.111,0.33299999999999996,4.907,85.064,0.061,2.785,254.885,5.118,254.982,0.8009999999999999,Apiaceae
130657,43424,0,85,237,0,1872.283,554.217,313.125,1.77,78.403,136509.0,1393.832,407.87,595.966,156.562,277.10900000000004,209.395,1825.42,136297.449,0.565,4.901,26.829,0.542,0.736,0.9570000000000001,0.7440000000000001,5852.0,173539.301,0.753,0.565,0.485,0.9640000000000001,254.96200000000002,15.968,1.52,0.142,0.377,5.5729999999999995,0.14300000000000002,0.37799999999999995,5.602,85.08200000000001,0.083,3.321,254.852,5.797999999999999,254.97799999999998,0.88,Apiaceae
149001,49532,0,85,240,0,2002.005,551.2180000000001,364.226,1.5130000000000001,123.46600000000001,213805.5,1443.185,435.56199999999995,637.258,182.113,275.60900000000004,219.31900000000002,959.931,157682.645,0.6609999999999999,7.079,26.899,0.624,0.79,0.6970000000000001,0.721,64804.5,200767.77899999998,0.742,0.6609999999999999,0.493,0.96,254.951,15.967,1.805,0.17600000000000002,0.419,6.172999999999999,0.17800000000000002,0.42200000000000004,6.239,85.102,0.1,3.653,254.82,6.33,254.97299999999998,0.973,Apiaceae
150174,50657,0,85,251,0,1974.66,554.437,389.44800000000004,1.4240000000000002,149.691,260734.5,1454.761,437.273,628.554,194.72400000000002,277.218,219.783,659.785,169586.36800000002,0.7020000000000001,8.556000000000001,25.965,0.622,0.789,0.5760000000000001,0.737,110560.5,215924.069,0.695,0.7020000000000001,0.494,0.96,254.908,15.966,1.8730000000000002,2.134,1.4609999999999999,22.239,2.026,1.423,21.111,86.35600000000001,0.299,5.187,252.925,21.62,254.92700000000002,1.183,Apiaceae
144627,48346,0,85,252,0,2738.002,522.591,372.49,1.403,93.35,153258.5,1423.8429999999998,429.121,871.533,186.245,261.295,216.761,704.875,152885.6,0.713,8.164,51.833999999999996,0.674,0.821,0.9440000000000001,0.52,8631.5,194659.992,0.743,0.713,0.491,0.96,254.868,15.965,2.565,0.946,0.972,14.759,0.915,0.956,14.267000000000001,85.57600000000001,0.317,5.769,254.048,14.865,254.917,1.5630000000000002,Apiaceae
94870,33272,0,85,248,0,4173.48,478.12699999999995,398.76099999999997,1.199,98.52600000000001,147993.5,1377.455,347.55199999999996,1328.46,199.38,239.063,176.82,972.403,149742.607,0.8340000000000001,5.67,183.59799999999998,0.528,0.727,0.6409999999999999,0.33,53123.5,190658.208,0.498,0.8340000000000001,0.509,0.9670000000000001,252.30200000000002,15.884,14.373,8.415,2.9010000000000002,41.867,8.636000000000001,2.9389999999999996,42.941,89.78399999999999,4.768,24.566,246.83,40.882,253.797,6.2139999999999995,Apiaceae
138550,46039,0,85,241,0,1640.227,501.597,361.30300000000005,1.3880000000000001,186.93200000000002,294570.0,1370.8770000000002,420.009,522.1,180.65099999999998,250.799,213.235,581.045,142336.55800000002,0.72,8.846,19.418,0.701,0.8370000000000001,0.47,0.836,156020.0,181228.53399999999,0.765,0.72,0.495,0.961,254.972,15.968,1.296,0.115,0.34,5.033,0.11599999999999999,0.34,5.0360000000000005,85.068,0.06,2.762,254.878,5.307,254.983,0.782,Apiaceae
116889,38838,0,85,251,0,1528.5279999999998,468.031,322.88,1.45,82.152,120793.0,1260.933,385.782,486.546,161.44,234.015,194.135,699.363,118687.70599999999,0.69,7.341,19.988,0.679,0.8240000000000001,0.968,0.825,3904.0,151117.881,0.773,0.69,0.474,0.966,254.982,15.968,0.9590000000000001,0.099,0.315,4.763,0.098,0.313,4.695,85.06,0.046,2.333,254.898,4.87,254.989,0.589,Apiaceae
100462,36725,0,85,255,0,3340.526,467.462,335.06300000000005,1.395,86.868,127572.0,1329.7379999999998,357.648,1063.323,167.53099999999998,233.731,178.84400000000002,899.309,123016.29,0.7170000000000001,5.9639999999999995,111.07799999999999,0.585,0.765,0.787,0.39799999999999996,27110.0,156629.205,0.6409999999999999,0.7170000000000001,0.467,0.965,251.725,15.866,14.814,14.415,3.7969999999999997,55.346000000000004,14.619000000000002,3.823,56.111000000000004,93.586,7.4879999999999995,30.35,240.835,54.853,253.547,6.287999999999999,Apiaceae
109791,36523,0,85,250,0,1568.889,454.216,322.94599999999997,1.406,180.801,257995.5,1237.583,373.885,499.39300000000003,161.47299999999998,227.108,191.168,499.98199999999997,115208.002,0.711,8.549,22.419,0.6779999999999999,0.823,0.426,0.789,148204.5,146687.385,0.748,0.711,0.45899999999999996,0.963,254.96099999999998,15.967,1.486,0.267,0.517,7.869,0.256,0.506,7.53,85.161,0.086,2.964,254.736,7.763,254.977,0.8220000000000001,Apiaceae
