 ,Area,Mean,Mode,Min,Max,Median,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
21,69097,321,0,0,249,0,Brassicaceae,1563.489,341.867,254.000,1.346,90.412,97103.500,974.478,296.609,497.674,127.000,170.933,150.470,162.707,68199.422,0.743,11.796,35.378,0.753,0.868,0.712,0.623,28006.500,86834.201,0.796,0.743,2.815,0.006,0.596,0.355,67533.511,63.641,15.913,13.299,175.312,82422,0.989,0.080,0.004,503.978,0.944,0.752,0.959,1.088,1.043,14.578,1.229,1.109,16.392,1.262,1.123,16.819,1.193,0.722,9.838,0.210,3.127,1.270,16.939
22,115638,44,0,0,236,0,Brassicaceae,1521.173,453.746,325.745,1.393,85.087,121290.500,1254.640,383.712,484.204,162.873,226.873,196.159,419.597,116086.064,0.718,9.576,20.010,0.715,0.846,0.953,0.825,5652.500,147805.368,0.782,0.718,1.592,0.189,0.792,0.628,114116.827,20.274,4.518,46.363,2151.400,11284,0.999,0.008,3.139E-4,488.863,0.923,0.825,0.965,0.089,0.298,4.112,0.101,0.318,4.680,0.103,0.321,4.776,0.098,0.061,2.847,0.017,0.862,0.104,4.797
23,96076,185,0,0,246,0,Brassicaceae,1850.491,400.762,324.298,1.236,80.595,101471.500,1140.427,349.754,589.029,162.149,200.381,174.447,132.170,102075.354,0.809,15.174,35.642,0.762,0.873,0.947,0.616,5395.500,129966.378,0.739,0.809,2.836,0.123,0.594,0.353,94225.509,27.663,10.298,20.835,432.938,47464,0.995,0.035,0.002,477.634,0.924,0.828,0.965,0.455,0.675,9.513,0.507,0.712,10.565,0.520,0.721,10.831,0.494,0.309,6.548,0.074,1.752,0.521,10.857
24,85088,203,0,0,246,0,Brassicaceae,1753.555,346.598,323.000,1.073,84.090,91562.500,1057.972,329.146,558.174,161.500,173.299,165.272,11.381,87926.167,0.932,48.989,36.139,0.902,0.950,0.929,0.603,6474.500,111951.073,0.760,0.932,2.876,0.009,0.590,0.348,83334.445,25.866,11.428,18.700,348.573,51976,0.994,0.043,0.002,480.882,0.924,0.825,0.965,0.549,0.741,10.285,0.631,0.794,11.805,0.653,0.808,12.207,0.611,0.386,7.232,0.115,2.263,0.653,12.212
25,63407,166,0,0,242,0,Brassicaceae,1573.405,401.214,234.308,1.712,53.662,67638.000,979.956,284.134,500.830,117.154,200.607,140.981,709.426,73833.533,0.584,5.293,39.043,0.502,0.708,0.937,0.623,4231.000,94007.773,0.674,0.584,3.107,0.378,0.567,0.322,61833.595,3.109,11.932,17.764,314.088,42523,0.994,0.046,0.002,481.025,0.924,0.827,0.965,0.611,0.781,10.889,0.691,0.831,12.289,0.711,0.843,12.641,0.671,0.430,7.689,0.112,2.187,0.711,12.654
26,60111,119,0,0,248,0,Brassicaceae,1335.072,346.602,221.405,1.565,59.750,65060.500,933.434,276.651,424.967,110.702,173.301,140.546,554.521,60270.921,0.639,5.968,29.652,0.637,0.798,0.924,0.699,4949.500,76739.320,0.783,0.639,2.360,0.074,0.651,0.424,58775.928,15.258,10.818,21.213,449.388,30685,0.996,0.034,0.002,502.831,0.921,0.825,0.965,0.517,0.719,11.030,0.518,0.720,10.968,0.496,0.704,10.501,0.511,0.135,3.773,0.066,1.491,0.539,11.419
27,63679,45,0,0,238,0,Brassicaceae,1335.055,330.151,247.000,1.337,120.794,125288.000,937.030,284.743,424.961,123.500,165.076,142.905,188.902,64047.190,0.748,10.398,27.990,0.744,0.862,0.508,0.702,61609.000,81547.416,0.781,0.748,2.227,0.086,0.670,0.449,62343.945,44.092,6.225,34.076,1161.334,11645,0.998,0.014,5.957E-4,498.627,0.921,0.827,0.965,0.164,0.405,5.590,0.190,0.436,6.477,0.195,0.441,6.626,0.183,0.115,3.935,0.035,1.303,0.195,6.641
28,56560,91,0,0,236,0,Brassicaceae,1316.729,332.032,219.822,1.510,57.338,59810.000,891.711,268.355,419.128,109.911,166.016,138.825,268.934,57324.619,0.662,8.465,30.654,0.653,0.808,0.946,0.677,3250.000,72987.972,0.775,0.662,2.439,0.396,0.640,0.410,55243.271,22.223,9.304,22.469,503.855,23418,0.996,0.030,0.001,479.512,0.920,0.835,0.967,0.367,0.606,8.269,0.429,0.655,9.639,0.446,0.668,10.022,0.414,0.270,6.116,0.091,2.147,0.447,10.052
29,102306,400,0,0,249,0,Brassicaceae,1606.251,454.401,289.000,1.572,74.178,105891.500,1205.711,360.916,511.286,144.500,227.200,183.069,780.011,103139.903,0.636,6.555,25.219,0.631,0.794,0.966,0.751,3585.500,131321.804,0.779,0.636,2.007,0.117,0.706,0.498,100699.749,31.362,15.258,15.197,229.527,102560,0.991,0.061,0.004,425.793,0.938,0.810,0.966,1.033,1.016,15.794,1.016,1.008,15.457,0.959,0.979,14.575,1.003,0.215,4.561,0.133,2.107,1.060,16.143
30,114595,148,0,0,244,0,Brassicaceae,2045.361,472.488,326.312,1.448,107.708,159878.000,1272.893,381.978,651.059,163.156,236.244,194.284,495.254,121091.479,0.691,8.730,36.507,0.654,0.808,0.717,0.622,45283.000,154178.459,0.743,0.691,2.905,0.224,0.587,0.344,112549.639,41.056,8.450,25.543,651.974,37938,0.997,0.024,0.001,361.014,0.959,0.758,0.964,0.309,0.556,7.922,0.340,0.583,8.671,0.344,0.587,8.779,0.331,0.191,5.110,0.046,1.335,0.348,8.873
31,88580,208,0,0,245,0,Brassicaceae,1791.111,372.539,312.842,1.191,90.028,105366.000,1082.462,335.833,570.128,156.421,186.269,167.484,109.283,91534.920,0.840,16.021,36.217,0.813,0.901,0.841,0.604,16786.000,116545.880,0.760,0.840,2.882,0.278,0.589,0.347,86788.889,22.978,11.306,18.765,350.904,53329,0.994,0.043,0.002,364.420,0.957,0.765,0.964,0.541,0.735,10.180,0.623,0.789,11.701,0.642,0.801,12.058,0.602,0.382,7.199,0.113,2.284,0.643,12.068
32,76962,91,0,0,235,0,Brassicaceae,1395.481,355.542,288.412,1.233,108.968,121713.500,1014.026,313.035,444.196,144.206,177.771,156.986,143.833,80536.652,0.811,13.090,25.303,0.775,0.880,0.632,0.727,44751.500,102542.450,0.751,0.811,2.014,0.040,0.705,0.497,75566.519,28.996,7.986,26.320,691.531,23345,0.997,0.022,9.798E-4,361.577,0.958,0.760,0.963,0.274,0.524,7.231,0.315,0.561,8.294,0.321,0.566,8.442,0.303,0.190,5.023,0.054,1.524,0.322,8.465
33,69319,81,0,0,251,0,Brassicaceae,1482.168,383.438,239.414,1.602,85.059,102462.500,998.813,297.085,471.789,119.707,191.719,148.313,613.542,72100.073,0.624,5.988,31.691,0.600,0.775,0.677,0.674,33143.500,91800.664,0.755,0.624,2.522,0.433,0.630,0.397,67836.832,33.660,7.973,26.393,696.922,20975,0.997,0.023,9.766E-4,356.393,0.959,0.759,0.963,0.271,0.521,7.178,0.312,0.559,8.227,0.324,0.569,8.536,0.303,0.193,5.233,0.063,1.758,0.326,8.577
34,50122,85,0,0,239,0,Brassicaceae,1304.587,332.244,195.837,1.697,162.724,169847.500,858.165,252.621,415.263,97.918,166.122,130.909,482.033,51102.420,0.589,5.963,33.956,0.578,0.760,0.295,0.658,119725.500,65065.622,0.770,0.589,2.702,0.057,0.608,0.370,48817.413,42.365,9.525,21.840,475.909,21854,0.996,0.032,0.001,352.177,0.960,0.756,0.962,0.386,0.621,8.450,0.452,0.672,9.873,0.470,0.686,10.270,0.436,0.288,6.319,0.095,2.215,0.470,10.275
