Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      39 |         925 |       00:09:54 |      100.00% |       96.46% |       0.0494 |       0.1168 |      1.0000e-04 |
|      39 |         930 |       00:09:57 |       96.88% |       93.43% |       0.0758 |       0.2892 |      1.0000e-04 |
|      39 |         935 |       00:10:00 |       90.62% |       95.45% |       0.2043 |       0.2005 |      1.0000e-04 |
|      40 |         940 |       00:10:03 |       93.75% |       92.93% |       0.1902 |       0.2049 |      1.0000e-04 |
|      40 |         945 |       00:10:05 |       98.44% |       93.94% |       0.0749 |       0.1879 |      1.0000e-04 |
|      40 |         950 |       00:10:08 |       98.44% |       94.95% |       0.0231 |       0.1291 |      1.0000e-04 |
|      40 |         955 |       00:10:11 |       98.44% |       95.96% |       0.0535 |       0.1552 |      1.0000e-04 |
|      40 |         960 |       00:10:14 |       92.19% |       94.44% |       0.1541 |       0.2009 |      1.0000e-04 |
|      41 |         965 |       00:10:17 |       93.75% |       96.46% |       0.1543 |       0.1135 |      1.0000e-04 |
|      41 |         970 |       00:10:19 |      100.00% |       93.94% |       0.0214 |       0.1625 |      1.0000e-04 |
|      41 |         975 |       00:10:22 |       92.19% |       94.95% |       0.1822 |       0.1600 |      1.0000e-04 |
|      41 |         980 |       00:10:25 |      100.00% |       96.46% |       0.0084 |       0.2311 |      1.0000e-04 |
|      42 |         985 |       00:10:28 |       98.44% |       95.45% |       0.0739 |       0.1702 |      1.0000e-04 |
|      42 |         990 |       00:10:31 |       95.31% |       96.46% |       0.1181 |       0.0844 |      1.0000e-04 |
|      42 |         995 |       00:10:34 |       93.75% |       95.45% |       0.1119 |       0.0936 |      1.0000e-04 |
|      42 |        1000 |       00:10:36 |      100.00% |       95.96% |       0.0511 |       0.1126 |      1.0000e-04 |
|      42 |        1005 |       00:10:39 |       98.44% |       94.44% |       0.0595 |       0.1404 |      1.0000e-04 |
|      43 |        1010 |       00:10:42 |       95.31% |       95.45% |       0.0975 |       0.1853 |      1.0000e-04 |
|      43 |        1015 |       00:10:45 |       96.88% |       96.97% |       0.0543 |       0.0843 |      1.0000e-04 |
|      43 |        1020 |       00:10:48 |       98.44% |       95.96% |       0.0549 |       0.1166 |      1.0000e-04 |
|      43 |        1025 |       00:10:51 |       95.31% |       93.94% |       0.1222 |       0.1963 |      1.0000e-04 |
|      43 |        1030 |       00:10:54 |      100.00% |       94.44% |       0.0180 |       0.1974 |      1.0000e-04 |
|      44 |        1035 |       00:10:57 |       98.44% |       95.45% |       0.0256 |       0.1542 |      1.0000e-04 |
|      44 |        1040 |       00:10:59 |       92.19% |       94.44% |       0.2496 |       0.1527 |      1.0000e-04 |
|      44 |        1045 |       00:11:02 |       98.44% |       95.45% |       0.0288 |       0.1235 |      1.0000e-04 |
|      44 |        1050 |       00:11:05 |       96.88% |       94.95% |       0.0713 |       0.1625 |      1.0000e-04 |
|      44 |        1055 |       00:11:08 |       98.44% |       94.44% |       0.0419 |       0.1884 |      1.0000e-04 |
|      45 |        1060 |       00:11:11 |       96.88% |       95.45% |       0.0526 |       0.1150 |      1.0000e-04 |
|      45 |        1065 |       00:11:14 |       98.44% |       94.44% |       0.0327 |       0.1849 |      1.0000e-04 |
|      45 |        1070 |       00:11:16 |       98.44% |       92.93% |       0.0209 |       0.1927 |      1.0000e-04 |
|      45 |        1075 |       00:11:19 |      100.00% |       96.97% |       0.0274 |       0.1054 |      1.0000e-04 |
|      45 |        1080 |       00:11:22 |       98.44% |       97.47% |       0.0421 |       0.1146 |      1.0000e-04 |
|      46 |        1085 |       00:11:25 |       95.31% |       96.46% |       0.1154 |       0.1273 |      1.0000e-04 |
|      46 |        1090 |       00:11:28 |       98.44% |       96.46% |       0.0400 |       0.1414 |      1.0000e-04 |
|      46 |        1095 |       00:11:30 |       96.88% |       96.97% |       0.0638 |       0.1267 |      1.0000e-04 |
|      46 |        1100 |       00:11:33 |      100.00% |       93.94% |       0.0063 |       0.1389 |      1.0000e-04 |
|      47 |        1105 |       00:11:36 |       95.31% |       93.43% |       0.0827 |       0.2165 |      1.0000e-04 |
|      47 |        1110 |       00:11:39 |       98.44% |       95.45% |       0.0501 |       0.1768 |      1.0000e-04 |
|      47 |        1115 |       00:11:41 |       98.44% |       95.45% |       0.0655 |       0.1442 |      1.0000e-04 |
|      47 |        1120 |       00:11:44 |       93.75% |       94.44% |       0.1534 |       0.1600 |      1.0000e-04 |
|      47 |        1125 |       00:11:47 |      100.00% |       95.96% |       0.0195 |       0.1583 |      1.0000e-04 |
|      48 |        1130 |       00:11:50 |       96.88% |       95.45% |       0.0892 |       0.2028 |      1.0000e-04 |
|      48 |        1135 |       00:11:52 |       96.88% |       94.95% |       0.0742 |       0.1777 |      1.0000e-04 |
|      48 |        1140 |       00:11:55 |       93.75% |       94.95% |       0.1060 |       0.1977 |      1.0000e-04 |
|      48 |        1145 |       00:11:58 |       95.31% |       92.93% |       0.1247 |       0.2459 |      1.0000e-04 |
|      48 |        1150 |       00:12:01 |       96.88% |       92.93% |       0.0513 |       0.3192 |      1.0000e-04 |
|      49 |        1155 |       00:12:04 |      100.00% |       92.93% |       0.0195 |       0.2013 |      1.0000e-04 |
|      49 |        1160 |       00:12:07 |      100.00% |       94.95% |       0.0073 |       0.1601 |      1.0000e-04 |
|      49 |        1165 |       00:12:10 |      100.00% |       92.42% |       0.0324 |       0.2160 |      1.0000e-04 |
|      49 |        1170 |       00:12:12 |      100.00% |       94.95% |       0.0533 |       0.1843 |      1.0000e-04 |
|      49 |        1175 |       00:12:15 |       96.88% |       92.93% |       0.0522 |       0.2423 |      1.0000e-04 |
|      50 |        1180 |       00:12:18 |       93.75% |       94.44% |       0.1604 |       0.1606 |      1.0000e-04 |
|      50 |        1185 |       00:12:21 |       98.44% |       95.96% |       0.0385 |       0.1665 |      1.0000e-04 |
|      50 |        1190 |       00:12:24 |      100.00% |       95.96% |       0.0072 |       0.0854 |      1.0000e-04 |
|      50 |        1195 |       00:12:27 |      100.00% |       95.45% |       0.0207 |       0.1786 |      1.0000e-04 |
|      50 |        1200 |       00:12:29 |       96.88% |       96.46% |       0.0838 |       0.1236 |      1.0000e-04 |
|      51 |        1205 |       00:12:32 |       98.44% |       95.96% |       0.0363 |       0.1388 |      1.0000e-04 |
|      51 |        1210 |       00:12:35 |      100.00% |       95.45% |       0.0140 |       0.1406 |      1.0000e-04 |
