Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      16 |         375 |       00:04:23 |       87.50% |       91.41% |       0.4432 |       0.2538 |      1.0000e-04 |
|      16 |         380 |       00:04:28 |       98.44% |       93.43% |       0.0596 |       0.1777 |      1.0000e-04 |
|      17 |         385 |       00:04:31 |       90.62% |       93.94% |       0.1965 |       0.1862 |      1.0000e-04 |
|      17 |         390 |       00:04:35 |       96.88% |       92.42% |       0.1556 |       0.2272 |      1.0000e-04 |
|      17 |         395 |       00:04:39 |       93.75% |       93.43% |       0.2595 |       0.2560 |      1.0000e-04 |
|      17 |         400 |       00:04:43 |       90.62% |       92.93% |       0.3049 |       0.1932 |      1.0000e-04 |
|      17 |         405 |       00:04:47 |       92.19% |       92.93% |       0.2025 |       0.2228 |      1.0000e-04 |
|      18 |         410 |       00:04:51 |       89.06% |       93.43% |       0.3097 |       0.1799 |      1.0000e-04 |
|      18 |         415 |       00:04:55 |       98.44% |       89.90% |       0.1054 |       0.2425 |      1.0000e-04 |
|      18 |         420 |       00:05:00 |       93.75% |       93.94% |       0.1585 |       0.1466 |      1.0000e-04 |
|      18 |         425 |       00:05:04 |       92.19% |       91.92% |       0.2343 |       0.2224 |      1.0000e-04 |
|      18 |         430 |       00:05:09 |       93.75% |       93.43% |       0.0992 |       0.2063 |      1.0000e-04 |
|      19 |         435 |       00:05:12 |       98.44% |       94.44% |       0.0948 |       0.1729 |      1.0000e-04 |
|      19 |         440 |       00:05:16 |       98.44% |       91.92% |       0.0994 |       0.2140 |      1.0000e-04 |
|      19 |         445 |       00:05:19 |       96.88% |       92.42% |       0.0987 |       0.2458 |      1.0000e-04 |
|      19 |         450 |       00:05:22 |       96.88% |       90.91% |       0.1002 |       0.2690 |      1.0000e-04 |
|      19 |         455 |       00:05:25 |       95.31% |       95.45% |       0.1248 |       0.2052 |      1.0000e-04 |
|      20 |         460 |       00:05:28 |       95.31% |       94.44% |       0.1383 |       0.1595 |      1.0000e-04 |
|      20 |         465 |       00:05:31 |       92.19% |       91.92% |       0.2289 |       0.2435 |      1.0000e-04 |
|      20 |         470 |       00:05:34 |       93.75% |       91.41% |       0.1037 |       0.2661 |      1.0000e-04 |
|      20 |         475 |       00:05:37 |       95.31% |       92.42% |       0.1453 |       0.2418 |      1.0000e-04 |
|      20 |         480 |       00:05:40 |       87.50% |       94.44% |       0.2514 |       0.1702 |      1.0000e-04 |
|      21 |         485 |       00:05:43 |       95.31% |       88.89% |       0.1446 |       0.3044 |      1.0000e-04 |
|      21 |         490 |       00:05:46 |       96.88% |       93.43% |       0.0877 |       0.1983 |      1.0000e-04 |
|      21 |         495 |       00:05:50 |       90.62% |       91.41% |       0.3091 |       0.2189 |      1.0000e-04 |
|      21 |         500 |       00:05:53 |      100.00% |       93.94% |       0.0378 |       0.1934 |      1.0000e-04 |
|      22 |         505 |       00:05:56 |       92.19% |       94.44% |       0.1965 |       0.1500 |      1.0000e-04 |
|      22 |         510 |       00:05:59 |       95.31% |       94.44% |       0.1529 |       0.1645 |      1.0000e-04 |
|      22 |         515 |       00:06:03 |       95.31% |       94.44% |       0.1805 |       0.2193 |      1.0000e-04 |
|      22 |         520 |       00:06:06 |       93.75% |       94.44% |       0.2330 |       0.2235 |      1.0000e-04 |
|      22 |         525 |       00:06:09 |       96.88% |       92.42% |       0.0734 |       0.2677 |      1.0000e-04 |
|      23 |         530 |       00:06:12 |       90.62% |       93.94% |       0.1994 |       0.1891 |      1.0000e-04 |
|      23 |         535 |       00:06:15 |       98.44% |       93.43% |       0.0479 |       0.1828 |      1.0000e-04 |
|      23 |         540 |       00:06:18 |       95.31% |       90.91% |       0.1497 |       0.2346 |      1.0000e-04 |
|      23 |         545 |       00:06:22 |       90.62% |       90.40% |       0.1573 |       0.2874 |      1.0000e-04 |
|      23 |         550 |       00:06:25 |       95.31% |       92.42% |       0.1009 |       0.1923 |      1.0000e-04 |
|      24 |         555 |       00:06:28 |       96.88% |       94.44% |       0.0765 |       0.1462 |      1.0000e-04 |
|      24 |         560 |       00:06:31 |       96.88% |       91.41% |       0.0704 |       0.2184 |      1.0000e-04 |
|      24 |         565 |       00:06:34 |       95.31% |       93.94% |       0.0944 |       0.1778 |      1.0000e-04 |
|      24 |         570 |       00:06:37 |       95.31% |       93.94% |       0.0947 |       0.1676 |      1.0000e-04 |
|      24 |         575 |       00:06:40 |       95.31% |       93.94% |       0.1117 |       0.1653 |      1.0000e-04 |
|      25 |         580 |       00:06:44 |       95.31% |       96.46% |       0.1275 |       0.1224 |      1.0000e-04 |
|      25 |         585 |       00:06:47 |       95.31% |       94.44% |       0.1416 |       0.2076 |      1.0000e-04 |
|      25 |         590 |       00:06:50 |      100.00% |       94.95% |       0.0296 |       0.1466 |      1.0000e-04 |
|      25 |         595 |       00:06:53 |       92.19% |       95.45% |       0.1803 |       0.1681 |      1.0000e-04 |
|      25 |         600 |       00:06:56 |       95.31% |       95.45% |       0.1598 |       0.1320 |      1.0000e-04 |
|      26 |         605 |       00:06:59 |       95.31% |       95.45% |       0.1601 |       0.1388 |      1.0000e-04 |
|      26 |         610 |       00:07:02 |       98.44% |       92.93% |       0.0799 |       0.1944 |      1.0000e-04 |
|      26 |         615 |       00:07:05 |       93.75% |       94.95% |       0.1280 |       0.1666 |      1.0000e-04 |
|      26 |         620 |       00:07:08 |      100.00% |       94.44% |       0.0227 |       0.1681 |      1.0000e-04 |
|      27 |         625 |       00:07:11 |       95.31% |       94.95% |       0.0950 |       0.1323 |      1.0000e-04 |
|      27 |         630 |       00:07:14 |       92.19% |       96.46% |       0.2803 |       0.1355 |      1.0000e-04 |
|      27 |         635 |       00:07:17 |       95.31% |       95.45% |       0.0836 |       0.1793 |      1.0000e-04 |
|      27 |         640 |       00:07:20 |       95.31% |       92.42% |       0.1350 |       0.2474 |      1.0000e-04 |
|      27 |         645 |       00:07:23 |       90.62% |       92.93% |       0.3180 |       0.2104 |      1.0000e-04 |
|      28 |         650 |       00:07:25 |       96.88% |       96.46% |       0.0822 |       0.1329 |      1.0000e-04 |
|      28 |         655 |       00:07:28 |       98.44% |       91.92% |       0.0777 |       0.2191 |      1.0000e-04 |
|      28 |         660 |       00:07:31 |       92.19% |       92.93% |       0.2348 |       0.2513 |      1.0000e-04 |
|      28 |         665 |       00:07:34 |       93.75% |       92.42% |       0.1402 |       0.2412 |      1.0000e-04 |
|      28 |         670 |       00:07:36 |       93.75% |       92.93% |       0.1944 |       0.2059 |      1.0000e-04 |
|      29 |         675 |       00:07:39 |       98.44% |       94.95% |       0.0461 |       0.1635 |      1.0000e-04 |
|      29 |         680 |       00:07:42 |       96.88% |       94.44% |       0.0751 |       0.1183 |      1.0000e-04 |
|      29 |         685 |       00:07:44 |       96.88% |       94.95% |       0.0591 |       0.1538 |      1.0000e-04 |
|      29 |         690 |       00:07:47 |       96.88% |       94.95% |       0.0749 |       0.1853 |      1.0000e-04 |
