Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      50 |         500 |       00:06:08 |       87.50% |       85.71% |       0.2031 |       1.0043 |      1.0000e-04 |
|      51 |         505 |       00:06:12 |       93.75% |       85.71% |       0.0692 |       1.1441 |      1.0000e-04 |
|      51 |         510 |       00:06:16 |      100.00% |       90.48% |       0.0018 |       0.4005 |      1.0000e-04 |
|      52 |         515 |       00:06:20 |      100.00% |       95.24% |       0.0660 |       0.2085 |      1.0000e-04 |
|      52 |         520 |       00:06:23 |       93.75% |       80.95% |       0.3208 |       0.5877 |      1.0000e-04 |
|      53 |         525 |       00:06:27 |       93.75% |       95.24% |       0.2326 |       0.2635 |      1.0000e-04 |
|      53 |         530 |       00:06:31 |      100.00% |       85.71% |       0.0251 |       0.6278 |      1.0000e-04 |
|      54 |         535 |       00:06:34 |       93.75% |       71.43% |       0.1914 |       1.3297 |      1.0000e-04 |
|      54 |         540 |       00:06:38 |       62.50% |       90.48% |       2.0516 |       0.4274 |      1.0000e-04 |
|      55 |         545 |       00:06:42 |       81.25% |       66.67% |       0.1610 |       1.0697 |      1.0000e-04 |
|      55 |         550 |       00:06:45 |       87.50% |       71.43% |       0.1841 |       0.9173 |      1.0000e-04 |
|      56 |         555 |       00:06:49 |       93.75% |       90.48% |       0.3290 |       0.4553 |      1.0000e-04 |
|      56 |         560 |       00:06:53 |       87.50% |       76.19% |       0.2338 |       1.1994 |      1.0000e-04 |
|      57 |         565 |       00:06:57 |      100.00% |       76.19% |       0.0376 |       0.7972 |      1.0000e-04 |
|      57 |         570 |       00:07:00 |      100.00% |       90.48% |       0.0117 |       0.2757 |      1.0000e-04 |
|      58 |         575 |       00:07:04 |       93.75% |       80.95% |       0.1265 |       0.6490 |      1.0000e-04 |
|      58 |         580 |       00:07:07 |      100.00% |       80.95% |       0.0095 |       0.6013 |      1.0000e-04 |
|      59 |         585 |       00:07:11 |      100.00% |       90.48% |       0.0052 |       0.3456 |      1.0000e-04 |
|      59 |         590 |       00:07:15 |      100.00% |       90.48% |       0.0013 |       0.2841 |      1.0000e-04 |
|      60 |         595 |       00:07:19 |      100.00% |       90.48% |       0.0013 |       0.2149 |      1.0000e-04 |
|      60 |         600 |       00:07:22 |      100.00% |       90.48% |       0.0110 |       0.1431 |      1.0000e-04 |
|      61 |         605 |       00:07:26 |      100.00% |       85.71% |       0.0063 |       0.9156 |      1.0000e-04 |
|      61 |         610 |       00:07:30 |      100.00% |       71.43% |       0.0002 |       1.4372 |      1.0000e-04 |
|      62 |         615 |       00:07:33 |      100.00% |       90.48% |       0.0011 |       0.3313 |      1.0000e-04 |
|      62 |         620 |       00:07:37 |       93.75% |       85.71% |       0.0912 |       0.4437 |      1.0000e-04 |
|      63 |         625 |       00:07:41 |      100.00% |       95.24% |       0.0005 |       0.0815 |      1.0000e-04 |
