Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      41 |         975 |       00:14:46 |      100.00% |       96.46% |       0.0120 |       0.1093 |      1.0000e-04 |
|      41 |         980 |       00:14:50 |      100.00% |       95.45% |       0.0068 |       0.1030 |      1.0000e-04 |
|      42 |         985 |       00:14:55 |      100.00% |       97.47% |       0.0089 |       0.0789 |      1.0000e-04 |
|      42 |         990 |       00:14:59 |      100.00% |       96.46% |       0.0134 |       0.0954 |      1.0000e-04 |
|      42 |         995 |       00:15:03 |      100.00% |       96.97% |       0.0040 |       0.0802 |      1.0000e-04 |
|      42 |        1000 |       00:15:08 |      100.00% |       97.47% |       0.0050 |       0.0872 |      1.0000e-04 |
|      42 |        1005 |       00:15:13 |      100.00% |       96.46% |       0.0044 |       0.0855 |      1.0000e-04 |
|      43 |        1010 |       00:15:17 |      100.00% |       96.97% |       0.0049 |       0.0770 |      1.0000e-04 |
|      43 |        1015 |       00:15:22 |      100.00% |       96.46% |       0.0092 |       0.0974 |      1.0000e-04 |
|      43 |        1020 |       00:15:26 |      100.00% |       97.47% |       0.0076 |       0.0955 |      1.0000e-04 |
|      43 |        1025 |       00:15:31 |      100.00% |       97.47% |       0.0053 |       0.0923 |      1.0000e-04 |
|      43 |        1030 |       00:15:35 |      100.00% |       96.97% |       0.0155 |       0.0934 |      1.0000e-04 |
|      44 |        1035 |       00:15:40 |      100.00% |       97.98% |       0.0079 |       0.0589 |      1.0000e-04 |
|      44 |        1040 |       00:15:44 |      100.00% |       97.98% |       0.0067 |       0.0792 |      1.0000e-04 |
|      44 |        1045 |       00:15:49 |      100.00% |       96.97% |       0.0094 |       0.1010 |      1.0000e-04 |
|      44 |        1050 |       00:15:53 |      100.00% |       97.98% |       0.0154 |       0.0690 |      1.0000e-04 |
|      44 |        1055 |       00:15:58 |      100.00% |       96.97% |       0.0073 |       0.0784 |      1.0000e-04 |
|      45 |        1060 |       00:16:02 |       98.44% |       98.48% |       0.0167 |       0.0748 |      1.0000e-04 |
|      45 |        1065 |       00:16:07 |      100.00% |       97.47% |       0.0123 |       0.0773 |      1.0000e-04 |
|      45 |        1070 |       00:16:11 |      100.00% |       97.98% |       0.0069 |       0.0564 |      1.0000e-04 |
|      45 |        1075 |       00:16:16 |      100.00% |       97.47% |       0.0066 |       0.0911 |      1.0000e-04 |
|      45 |        1080 |       00:16:20 |      100.00% |       96.46% |       0.0151 |       0.0708 |      1.0000e-04 |
|      46 |        1085 |       00:16:25 |      100.00% |       96.46% |       0.0056 |       0.1052 |      1.0000e-04 |
|      46 |        1090 |       00:16:29 |      100.00% |       96.46% |       0.0068 |       0.0948 |      1.0000e-04 |
|      46 |        1095 |       00:16:34 |      100.00% |       97.47% |       0.0071 |       0.0635 |      1.0000e-04 |
