Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      16 |         375 |       00:12:09 |       98.44% |       95.45% |       0.0372 |       0.1370 |      1.0000e-04 |
|      16 |         380 |       00:12:19 |      100.00% |       94.95% |       0.0238 |       0.1418 |      1.0000e-04 |
|      17 |         385 |       00:12:29 |       98.44% |       95.45% |       0.0377 |       0.1362 |      1.0000e-04 |
|      17 |         390 |       00:12:39 |      100.00% |       96.97% |       0.0192 |       0.1182 |      1.0000e-04 |
|      17 |         395 |       00:12:48 |       98.44% |       95.96% |       0.0327 |       0.1323 |      1.0000e-04 |
|      17 |         400 |       00:12:58 |       98.44% |       95.96% |       0.0520 |       0.1334 |      1.0000e-04 |
|      17 |         405 |       00:13:08 |       98.44% |       96.46% |       0.0328 |       0.1164 |      1.0000e-04 |
|      18 |         410 |       00:13:18 |      100.00% |       96.46% |       0.0244 |       0.1475 |      1.0000e-04 |
|      18 |         415 |       00:13:28 |       98.44% |       96.46% |       0.0257 |       0.1310 |      1.0000e-04 |
|      18 |         420 |       00:13:39 |      100.00% |       94.95% |       0.0284 |       0.1477 |      1.0000e-04 |
|      18 |         425 |       00:13:49 |      100.00% |       96.46% |       0.0135 |       0.1285 |      1.0000e-04 |
|      18 |         430 |       00:13:59 |      100.00% |       96.46% |       0.0146 |       0.1308 |      1.0000e-04 |
|      19 |         435 |       00:14:09 |      100.00% |       95.96% |       0.0175 |       0.1565 |      1.0000e-04 |
|      19 |         440 |       00:14:19 |      100.00% |       95.45% |       0.0221 |       0.1618 |      1.0000e-04 |
|      19 |         445 |       00:14:29 |       98.44% |       94.44% |       0.0663 |       0.1869 |      1.0000e-04 |
|      19 |         450 |       00:14:39 |       98.44% |       96.46% |       0.0350 |       0.1291 |      1.0000e-04 |
|      19 |         455 |       00:14:49 |      100.00% |       97.47% |       0.0211 |       0.1078 |      1.0000e-04 |
|      20 |         460 |       00:14:59 |       98.44% |       95.45% |       0.0379 |       0.1271 |      1.0000e-04 |
|      20 |         465 |       00:15:09 |       98.44% |       93.94% |       0.0259 |       0.1565 |      1.0000e-04 |
|      20 |         470 |       00:15:18 |      100.00% |       95.45% |       0.0096 |       0.1385 |      1.0000e-04 |
|      20 |         475 |       00:15:28 |      100.00% |       96.46% |       0.0081 |       0.1107 |      1.0000e-04 |
|      20 |         480 |       00:15:37 |      100.00% |       94.95% |       0.0128 |       0.1469 |      1.0000e-04 |
|      21 |         485 |       00:15:47 |       98.44% |       94.44% |       0.0377 |       0.1600 |      1.0000e-04 |
|      21 |         490 |       00:15:56 |      100.00% |       94.44% |       0.0062 |       0.1479 |      1.0000e-04 |
|      21 |         495 |       00:16:06 |      100.00% |       95.96% |       0.0201 |       0.1509 |      1.0000e-04 |
|      21 |         500 |       00:16:16 |      100.00% |       98.48% |       0.0095 |       0.1105 |      1.0000e-04 |
|      22 |         505 |       00:16:26 |       98.44% |       95.96% |       0.0243 |       0.1371 |      1.0000e-04 |
|      22 |         510 |       00:16:35 |      100.00% |       96.46% |       0.0149 |       0.1029 |      1.0000e-04 |
|      22 |         515 |       00:16:45 |       98.44% |       96.46% |       0.0280 |       0.1203 |      1.0000e-04 |
|      22 |         520 |       00:16:54 |      100.00% |       97.47% |       0.0069 |       0.1054 |      1.0000e-04 |
|      22 |         525 |       00:17:04 |      100.00% |       96.97% |       0.0141 |       0.0949 |      1.0000e-04 |
|      23 |         530 |       00:17:14 |      100.00% |       96.46% |       0.0057 |       0.1179 |      1.0000e-04 |
|      23 |         535 |       00:17:23 |      100.00% |       96.46% |       0.0152 |       0.1045 |      1.0000e-04 |
|      23 |         540 |       00:17:30 |       98.44% |       96.46% |       0.0200 |       0.1228 |      1.0000e-04 |
|      23 |         545 |       00:17:37 |      100.00% |       96.97% |       0.0181 |       0.0947 |      1.0000e-04 |
|      23 |         550 |       00:17:44 |      100.00% |       96.97% |       0.0054 |       0.1158 |      1.0000e-04 |
|      24 |         555 |       00:17:51 |      100.00% |       96.97% |       0.0209 |       0.1114 |      1.0000e-04 |
|      24 |         560 |       00:17:58 |      100.00% |       96.97% |       0.0131 |       0.1052 |      1.0000e-04 |
|      24 |         565 |       00:18:05 |      100.00% |       96.97% |       0.0222 |       0.1024 |      1.0000e-04 |
|      24 |         570 |       00:18:12 |      100.00% |       95.96% |       0.0043 |       0.1212 |      1.0000e-04 |
|      24 |         575 |       00:18:19 |      100.00% |       95.96% |       0.0158 |       0.1179 |      1.0000e-04 |
|      25 |         580 |       00:18:26 |      100.00% |       96.97% |       0.0083 |       0.1401 |      1.0000e-04 |
|      25 |         585 |       00:18:33 |      100.00% |       96.46% |       0.0108 |       0.1101 |      1.0000e-04 |
|      25 |         590 |       00:18:40 |      100.00% |       95.96% |       0.0062 |       0.0950 |      1.0000e-04 |
|      25 |         595 |       00:18:46 |      100.00% |       95.45% |       0.0052 |       0.1248 |      1.0000e-04 |
|      25 |         600 |       00:18:53 |      100.00% |       96.46% |       0.0089 |       0.1023 |      1.0000e-04 |
|      26 |         605 |       00:19:00 |      100.00% |       96.46% |       0.0149 |       0.1365 |      1.0000e-04 |
|      26 |         610 |       00:19:07 |      100.00% |       97.47% |       0.0048 |       0.1082 |      1.0000e-04 |
|      26 |         615 |       00:19:14 |      100.00% |       97.98% |       0.0112 |       0.0931 |      1.0000e-04 |
|      26 |         620 |       00:19:21 |      100.00% |       96.97% |       0.0056 |       0.1297 |      1.0000e-04 |
|      27 |         625 |       00:19:28 |      100.00% |       95.96% |       0.0098 |       0.1088 |      1.0000e-04 |
|      27 |         630 |       00:19:36 |      100.00% |       96.97% |       0.0088 |       0.0822 |      1.0000e-04 |
|      27 |         635 |       00:19:43 |      100.00% |       97.98% |       0.0053 |       0.0963 |      1.0000e-04 |
|      27 |         640 |       00:19:50 |      100.00% |       95.96% |       0.0135 |       0.1534 |      1.0000e-04 |
|      27 |         645 |       00:19:58 |      100.00% |       97.47% |       0.0132 |       0.1034 |      1.0000e-04 |
|      28 |         650 |       00:20:05 |      100.00% |       96.97% |       0.0037 |       0.1602 |      1.0000e-04 |
|      28 |         655 |       00:20:12 |      100.00% |       95.96% |       0.0177 |       0.1272 |      1.0000e-04 |
|      28 |         660 |       00:20:19 |      100.00% |       96.97% |       0.0049 |       0.1044 |      1.0000e-04 |
|      28 |         665 |       00:20:26 |      100.00% |       96.97% |       0.0071 |       0.1083 |      1.0000e-04 |
|      28 |         670 |       00:20:33 |      100.00% |       95.96% |       0.0037 |       0.1169 |      1.0000e-04 |
|      29 |         675 |       00:20:40 |      100.00% |       95.96% |       0.0118 |       0.1421 |      1.0000e-04 |
|      29 |         680 |       00:20:47 |      100.00% |       95.96% |       0.0045 |       0.1136 |      1.0000e-04 |
|      29 |         685 |       00:20:54 |      100.00% |       97.98% |       0.0052 |       0.1051 |      1.0000e-04 |
|      29 |         690 |       00:21:02 |      100.00% |       95.45% |       0.0211 |       0.1248 |      1.0000e-04 |
|      29 |         695 |       00:21:09 |      100.00% |       95.45% |       0.0052 |       0.1333 |      1.0000e-04 |
|      30 |         700 |       00:21:17 |      100.00% |       97.47% |       0.0053 |       0.1105 |      1.0000e-04 |
|      30 |         705 |       00:21:24 |      100.00% |       95.45% |       0.0036 |       0.1585 |      1.0000e-04 |
|      30 |         710 |       00:21:31 |      100.00% |       96.46% |       0.0124 |       0.1164 |      1.0000e-04 |
|      30 |         715 |       00:21:39 |      100.00% |       96.46% |       0.0050 |       0.1707 |      1.0000e-04 |
|      30 |         720 |       00:21:46 |      100.00% |       98.48% |       0.0033 |       0.0897 |      1.0000e-04 |
|      31 |         725 |       00:21:53 |      100.00% |       97.98% |       0.0057 |       0.1081 |      1.0000e-04 |
|      31 |         730 |       00:22:00 |      100.00% |       96.46% |       0.0102 |       0.1171 |      1.0000e-04 |
|      31 |         735 |       00:22:07 |      100.00% |       96.46% |       0.0041 |       0.1209 |      1.0000e-04 |
|      31 |         740 |       00:22:15 |      100.00% |       95.96% |       0.0112 |       0.0993 |      1.0000e-04 |
|      32 |         745 |       00:22:22 |      100.00% |       97.47% |       0.0046 |       0.0972 |      1.0000e-04 |
|      32 |         750 |       00:22:29 |      100.00% |       96.97% |       0.0035 |       0.0984 |      1.0000e-04 |
|      32 |         755 |       00:22:36 |      100.00% |       97.47% |       0.0049 |       0.0750 |      1.0000e-04 |
|      32 |         760 |       00:22:43 |      100.00% |       97.98% |       0.0026 |       0.0948 |      1.0000e-04 |
|      32 |         765 |       00:22:50 |      100.00% |       94.95% |       0.0027 |       0.1309 |      1.0000e-04 |
|      33 |         770 |       00:22:57 |      100.00% |       95.96% |       0.0073 |       0.1109 |      1.0000e-04 |
|      33 |         775 |       00:23:04 |      100.00% |       96.97% |       0.0099 |       0.0950 |      1.0000e-04 |
|      33 |         780 |       00:23:11 |      100.00% |       96.46% |       0.0027 |       0.0971 |      1.0000e-04 |
|      33 |         785 |       00:23:18 |      100.00% |       96.97% |       0.0087 |       0.0775 |      1.0000e-04 |
|      33 |         790 |       00:23:25 |      100.00% |       96.46% |       0.0036 |       0.0963 |      1.0000e-04 |
|      34 |         795 |       00:23:32 |      100.00% |       95.96% |       0.0083 |       0.1446 |      1.0000e-04 |
|      34 |         800 |       00:23:39 |      100.00% |       98.48% |       0.0049 |       0.0951 |      1.0000e-04 |
|      34 |         805 |       00:23:46 |       98.44% |       97.98% |       0.0240 |       0.0907 |      1.0000e-04 |
